lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.628922300560123e+20,5.453031475003156e+20,5.628922300560123e+20,5.8048131261170896e+20
1,971.6244310048473,0.36625663400749947,5.610778828972263e+20,5.4287351817610684e+20,5.610778828972263e+20,5.792822476183457e+20
2,956.7542402749618,0.5001096160252074,5.429251428847607e+20,5.2428809112023617e+20,5.429251428847607e+20,5.615621946492852e+20
3,941.8841473755075,0.6358236496946832,4.910372457004559e+20,4.727786682379059e+20,4.910372457004559e+20,5.092958231630059e+20
4,927.0137936180281,0.7737023136984883,4.229551853867501e+20,4.08340466763427e+20,4.229551853867501e+20,4.375699040100731e+20
5,912.1431877107561,0.9140599557728831,3.5226238153913074e+20,3.4141455870622505e+20,3.5226238153913074e+20,3.6311020437203635e+20
6,897.2725265381572,1.056517394691973,2.6341503203074258e+20,2.5499889280194865e+20,2.6341503203074258e+20,2.718311712595365e+20
7,882.4015480213002,1.200972749516894,1.8820762493769646e+20,1.800895830858244e+20,1.8820762493769646e+20,1.963256667895685e+20
8,867.5303567964003,1.3475120190675405,1.7145042163390628e+20,1.6350841264378544e+20,1.7145042163390628e+20,1.793924306240271e+20
9,852.6592652163091,1.4962539028284811,1.680667911822339e+20,1.6042094195437404e+20,1.680667911822339e+20,1.7571264041009378e+20
10,837.7879949747113,1.6472308870137926,1.5954602344509846e+20,1.5216030764985506e+20,1.5954602344509846e+20,1.669317392403419e+20
11,822.9164001887356,1.8005751816165532,1.4646627598299913e+20,1.3935196592326045e+20,1.4646627598299913e+20,1.535805860427378e+20
12,805.5656263644386,1.9827939680123745,1.265331733981825e+20,1.1964907471758918e+20,1.265331733981825e+20,1.334172720787758e+20
13,783.256871457526,2.2224936871622756,9.711328577696265e+19,9.049036762389329e+19,9.711328577696265e+19,1.03736203930032e+20
14,758.4695103909143,2.4962949930620897,7.485070839436137e+19,6.847513421558582e+19,7.485070839436137e+19,8.122628257313692e+19
15,733.6809880795391,2.77814138452743,7.013614649726707e+19,6.400342406149958e+19,7.013614649726707e+19,7.626886893303457e+19
16,708.8908488634015,3.067972755313559,7.475281538008459e+19,6.855729500387431e+19,7.475281538008459e+19,8.094833575629486e+19
17,684.1004760822683,3.3661126328894038,8.50443186728929e+19,7.845528078022708e+19,8.50443186728929e+19,9.163335656555872e+19
