lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,7.035633022278671e+19,7.035633022278671e+19,7.035633022278671e+19,7.035633022278671e+19
1,971.6244310048473,0.36625663400749947,7.2817458884477714e+19,7.2817458884477714e+19,7.2817458884477714e+19,7.2817458884477714e+19
2,956.7542402749618,0.5001096160252074,7.454820705809806e+19,7.454820705809806e+19,7.454820705809806e+19,7.454820705809806e+19
3,941.8841473755075,0.6358236496946832,7.3034309850200015e+19,7.3034309850200015e+19,7.3034309850200015e+19,7.3034309850200015e+19
4,927.0137936180281,0.7737023136984883,5.845887449329205e+19,5.845887449329205e+19,5.845887449329205e+19,5.845887449329205e+19
5,912.1431877107561,0.9140599557728831,4.3391291331622535e+19,4.3391291331622535e+19,4.3391291331622535e+19,4.3391291331622535e+19
6,897.2725265381572,1.056517394691973,3.366455691517572e+19,3.366455691517572e+19,3.366455691517572e+19,3.366455691517572e+19
7,882.4015480213002,1.200972749516894,3.2472167407488205e+19,3.2472167407488205e+19,3.2472167407488205e+19,3.2472167407488205e+19
8,867.5303567964003,1.3475120190675405,3.1768035960483414e+19,3.1768035960483414e+19,3.1768035960483414e+19,3.1768035960483414e+19
9,852.6592652163091,1.4962539028284811,3.0583396911439446e+19,3.0583396911439446e+19,3.0583396911439446e+19,3.0583396911439446e+19
10,837.7879949747113,1.6472308870137926,2.9542863180973638e+19,2.9542863180973638e+19,2.9542863180973638e+19,2.9542863180973638e+19
11,822.9164001887356,1.8005751816165532,2.845724023895466e+19,2.845724023895466e+19,2.845724023895466e+19,2.845724023895466e+19
12,805.5656263644386,1.9827939680123745,2.7536394722373222e+19,2.7536394722373222e+19,2.7536394722373222e+19,2.7536394722373222e+19
13,783.256871457526,2.2224936871622756,2.6491672612277436e+19,2.6491672612277436e+19,2.6491672612277436e+19,2.6491672612277436e+19
14,758.4695103909143,2.4962949930620897,2.5502296715102224e+19,2.5502296715102224e+19,2.5502296715102224e+19,2.5502296715102224e+19
15,733.6809880795391,2.77814138452743,2.453088974306997e+19,2.453088974306997e+19,2.453088974306997e+19,2.453088974306997e+19
16,708.8908488634015,3.067972755313559,2.4782081504841105e+19,2.4782081504841105e+19,2.4782081504841105e+19,2.4782081504841105e+19
17,684.1004760822683,3.3661126328894038,2.6356151570663244e+19,2.6356151570663244e+19,2.6356151570663244e+19,2.6356151570663244e+19
18,653.1112285285492,3.753393324301299,2.723905650440482e+19,2.723905650440482e+19,2.723905650440482e+19,2.723905650440482e+19
19,615.9205705120047,4.2379797038361025,2.5841302469078008e+19,2.5841302469078008e+19,2.5841302469078008e+19,2.5841302469078008e+19
20,578.7272043823215,4.752775529501931,2.3740589920803144e+19,2.3740589920803144e+19,2.3740589920803144e+19,2.3740589920803144e+19
21,541.5297974405477,5.293982624262083,2.1638177979192803e+19,2.1638177979192803e+19,2.1638177979192803e+19,2.1638177979192803e+19
22,504.3267976709419,5.866525051820845,2.0770683235048915e+19,2.0770683235048915e+19,2.0770683235048915e+19,2.0770683235048915e+19
23,467.1182254346348,6.4783499666903825,1.9623691494234915e+19,1.9623691494234915e+19,1.9623691494234915e+19,1.9623691494234915e+19
24,429.9018516259439,7.130616001171602,1.8935472202041065e+19,1.8935472202041065e+19,1.8935472202041065e+19,1.8935472202041065e+19
25,392.6748148107893,7.8276962056910495,1.980564844986309e+19,1.980564844986309e+19,1.980564844986309e+19,1.980564844986309e+19
26,355.4364121658684,8.582381437087088,2.214087649436192e+19,2.214087649436192e+19,2.214087649436192e+19,2.214087649436192e+19
27,312.2568471757569,9.510262026437415,2.8910406970753483e+19,2.8910406970753483e+19,2.8910406970753483e+19,2.8910406970753483e+19
28,266.2024287155883,10.602168136966553,3.3758668768314753e+19,3.3758668768314753e+19,3.3758668768314753e+19,3.3758668768314753e+19
29,226.40807678064118,11.660990898666412,2.698779477010927e+19,2.698779477010927e+19,2.698779477010927e+19,2.698779477010927e+19
30,192.52002788560424,12.736811932907898,2.2421901179403583e+19,2.2421901179403583e+19,2.2421901179403583e+19,2.2421901179403583e+19
31,163.6614990234374,13.78656633117675,2.05237015210042e+19,2.05237015210042e+19,2.05237015210042e+19,2.05237015210042e+19
32,139.11500549316403,14.787671064298221,1.8995933592028873e+19,1.8995933592028873e+19,1.8995933592028873e+19,1.8995933592028873e+19
33,118.25,15.906170270258151,2.337204279317748e+19,2.337204279317748e+19,2.337204279317748e+19,2.337204279317748e+19
34,100.51435089111324,17.24273064490245,2.3159698024102298e+19,2.3159698024102298e+19,2.3159698024102298e+19,2.3159698024102298e+19
35,85.43901824951189,18.813372559902348,1.3550685110735012e+19,1.3550685110735012e+19,1.3550685110735012e+19,1.3550685110735012e+19
36,72.55786132812501,20.65052603534648,3.7845222941775626e+18,3.7845222941775626e+18,3.7845222941775626e+18,3.7845222941775626e+18
37,61.495662689209006,22.74331462627693,1.3109701980946432e+16,1.3109701980946432e+16,1.3109701980946432e+16,1.3109701980946432e+16
38,52.015911102294844,24.86505040859316,-2.4934448345884262e+17,-2.4934448345884262e+17,-2.4934448345884262e+17,-2.4934448345884262e+17
39,43.90966415405282,27.052485734519244,3.7213114767396045e+17,3.7213114767396045e+17,3.7213114767396045e+17,3.7213114767396045e+17
40,36.9927101135254,29.32647120258809,1.9775756922447462e+17,1.9775756922447462e+17,1.9775756922447462e+17,1.9775756922447462e+17
41,31.08891105651863,31.748905700260213,5.921697418611917e+17,5.921697418611917e+17,5.921697418611917e+17,5.921697418611917e+17
42,26.049108505249027,34.31199278898532,-3.5566167396122624e+16,-3.5566167396122624e+16,-3.5566167396122624e+16,-3.5566167396122624e+16
43,21.76100349426269,37.02114906529215,3.833009558473933e+17,3.833009558473933e+17,3.833009558473933e+17,3.833009558473933e+17
44,18.124349594116172,40.00166859906441,3.297480932387717e+17,3.297480932387717e+17,3.297480932387717e+17,3.297480932387717e+17
45,15.05025005340576,43.13537659190267,5.2989231038909645e+17,5.2989231038909645e+17,5.2989231038909645e+17,5.2989231038909645e+17
46,12.460150718688988,46.41231625206779,9.33675496920318e+17,9.33675496920318e+17,9.33675496920318e+17,9.33675496920318e+17
47,10.284920692443848,49.82768019095182,3.7459830859300864e+17,3.7459830859300864e+17,3.7459830859300864e+17,3.7459830859300864e+17
48,8.45639133453367,53.56635280817698,-3.5559471561467494e+17,-3.5559471561467494e+17,-3.5559471561467494e+17,-3.5559471561467494e+17
49,6.9183211326599094,57.94668908538693,-6.517116479826821e+17,-6.517116479826821e+17,-6.517116479826821e+17,-6.517116479826821e+17
50,5.631801128387452,62.66958728955136,-9.454777770980147e+17,-9.454777770980147e+17,-9.454777770980147e+17,-9.454777770980147e+17
51,4.561686038970957,67.91525438663359,-6.749760776209695e+17,-6.749760776209695e+17,-6.749760776209695e+17,-6.749760776209695e+17
52,3.6765010356903076,73.3631121633128,-8.459799190125937e+17,-8.459799190125937e+17,-8.459799190125937e+17,-8.459799190125937e+17
53,2.948321104049681,79.34230382171329,-1.0753675211525325e+18,-1.0753675211525325e+18,-1.0753675211525325e+18,-1.0753675211525325e+18
54,2.352590560913084,86.018857705306,-1.1524470944569754e+18,-1.1524470944569754e+18,-1.1524470944569754e+18,-1.1524470944569754e+18
55,1.867879986762998,93.22960225320968,-1.1208012813554156e+18,-1.1208012813554156e+18,-1.1208012813554156e+18,-1.1208012813554156e+18
56,1.475649952888488,100.60502256166222,-1.740415580209021e+18,-1.740415580209021e+18,-1.740415580209021e+18,-1.740415580209021e+18
57,1.159975051879883,107.73082344928824,-2.670575008083935e+18,-2.670575008083935e+18,-2.670575008083935e+18,-2.670575008083935e+18
58,0.9072870612144474,113.85502993179693,-3.101030316930892e+18,-3.101030316930892e+18,-3.101030316930892e+18,-3.101030316930892e+18
59,0.705956518650055,119.50150429056178,-2.0921264785935565e+18,-2.0921264785935565e+18,-2.0921264785935565e+18,-2.0921264785935565e+18
60,0.5462926030159002,124.26019209911512,-1.3908699936998687e+18,-1.3908699936998687e+18,-1.3908699936998687e+18,-1.3908699936998687e+18
61,0.4204235970973968,129.0678850820543,-1.0581164578025636e+18,-1.0581164578025636e+18,-1.0581164578025636e+18,-1.0581164578025636e+18
62,0.3217835724353792,134.07248354606006,-8.068929496181637e+17,-8.068929496181637e+17,-8.068929496181637e+17,-8.068929496181637e+17
63,0.24493755400180758,139.49182341933508,-5.696578881752269e+17,-5.696578881752269e+17,-5.696578881752269e+17,-5.696578881752269e+17
64,0.18542200326919586,145.53657974798668,-5.0681824721587405e+17,-5.0681824721587405e+17,-5.0681824721587405e+17,-5.0681824721587405e+17
65,0.13959898054599765,151.93939327345697,-4.827104839303496e+17,-4.827104839303496e+17,-4.827104839303496e+17,-4.827104839303496e+17
66,0.10452400892972945,158.88929696286775,-4.704159223876813e+17,-4.704159223876813e+17,-4.704159223876813e+17,-4.704159223876813e+17
67,0.07767251133918768,165.48256960765983,-4.218855954247516e+17,-4.218855954247516e+17,-4.218855954247516e+17,-4.218855954247516e+17
68,0.056792508810758584,171.42659336444058,-4.424726720859013e+17,-4.424726720859013e+17,-4.424726720859013e+17,-4.424726720859013e+17
69,0.04014250636100761,177.6333305500759,-7.139979690149806e+17,-7.139979690149806e+17,-7.139979690149806e+17,-7.139979690149806e+17
70,0.02635000087320806,187.62940859763327,-1.2689864526817853e+18,-1.2689864526817853e+18,-1.2689864526817853e+18,-1.2689864526817853e+18
71,0.014999999664723887,209.86898406193973,-1.9740749966154793e+18,-1.9740749966154793e+18,-1.9740749966154793e+18,-1.9740749966154793e+18
