lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.6890954362682375e+21,2.684385397949799e+21,2.6890954362682375e+21,2.6938054745866764e+21
1,971.6244310048473,0.36625663400749947,2.6855070509297214e+21,2.6809659585408837e+21,2.6855070509297214e+21,2.690048143318559e+21
2,956.7542402749618,0.5001096160252074,2.6558594887106785e+21,2.6509630043755286e+21,2.6558594887106785e+21,2.6607559730458285e+21
3,941.8841473755075,0.6358236496946832,2.577104412293578e+21,2.571112173238357e+21,2.577104412293578e+21,2.5830966513487986e+21
4,927.0137936180281,0.7737023136984883,2.4251195034877915e+21,2.4184111825320595e+21,2.4251195034877915e+21,2.431827824443524e+21
5,912.1431877107561,0.9140599557728831,2.0446838295209186e+21,2.0369847872677187e+21,2.0446838295209186e+21,2.0523828717741183e+21
6,897.2725265381572,1.056517394691973,1.7710619169745388e+21,1.7629513803419012e+21,1.7710619169745388e+21,1.7791724536071767e+21
7,882.4015480213002,1.200972749516894,1.5036428487313835e+21,1.4949071984585322e+21,1.5036428487313835e+21,1.5123784990042347e+21
8,867.5303567964003,1.3475120190675405,1.2964952341974307e+21,1.2875035361509743e+21,1.2964952341974307e+21,1.3054869322438872e+21
9,852.6592652163091,1.4962539028284811,1.1377785849598561e+21,1.1290734678347933e+21,1.1377785849598561e+21,1.1464837020849188e+21
10,837.7879949747113,1.6472308870137926,1.017115912945694e+21,1.0088129689202165e+21,1.017115912945694e+21,1.0254188569711715e+21
11,822.9164001887356,1.8005751816165532,8.992630431728578e+20,8.915510228314983e+20,8.992630431728578e+20,9.069750635142174e+20
12,805.5656263644386,1.9827939680123745,7.666388450173627e+20,7.594969516366034e+20,7.666388450173627e+20,7.737807383981219e+20
13,783.256871457526,2.2224936871622756,6.013247865092382e+20,5.952944866438087e+20,6.013247865092382e+20,6.073550863746678e+20
14,758.4695103909143,2.4962949930620897,4.602392084883206e+20,4.5464436295196364e+20,4.602392084883206e+20,4.6583405402467756e+20
15,733.6809880795391,2.77814138452743,3.86046680208406e+20,3.81042997174275e+20,3.86046680208406e+20,3.91050363242537e+20
16,708.8908488634015,3.067972755313559,3.535989459677869e+20,3.487554294533207e+20,3.535989459677869e+20,3.584424624822531e+20
17,684.1004760822683,3.3661126328894038,3.4670348994343286e+20,3.417949742285369e+20,3.4670348994343286e+20,3.516120056583289e+20
18,653.1112285285492,3.753393324301299,3.3739806850403376e+20,3.324123163660688e+20,3.3739806850403376e+20,3.423838206419988e+20
19,615.9205705120047,4.2379797038361025,3.060281602514114e+20,3.008870320057073e+20,3.060281602514114e+20,3.1116928849711556e+20
20,578.7272043823215,4.752775529501931,2.5990749114615733e+20,2.55021518557274e+20,2.5990749114615733e+20,2.6479346373504067e+20
21,541.5297974405477,5.293982624262083,2.1762446334061235e+20,2.1307166585818402e+20,2.1762446334061235e+20,2.2217726082304072e+20
22,504.3267976709419,5.866525051820845,1.7636046970169413e+20,1.719266212472894e+20,1.7636046970169413e+20,1.807943181560989e+20
23,467.1182254346348,6.4783499666903825,1.7267186007215407e+20,1.682518604454245e+20,1.7267186007215407e+20,1.770918596988837e+20
24,429.9018516259439,7.130616001171602,1.9890567827231133e+20,1.9444320032995685e+20,1.9890567827231133e+20,2.0336815621466577e+20
25,392.6748148107893,7.8276962056910495,2.3613879279507505e+20,2.317399860431574e+20,2.3613879279507505e+20,2.4053759954699272e+20
26,355.4364121658684,8.582381437087088,2.218046970425588e+20,2.1772877551381407e+20,2.218046970425588e+20,2.2588061857130355e+20
27,312.2568471757569,9.510262026437415,1.654173869215263e+20,1.6200270337653945e+20,1.654173869215263e+20,1.6883207046651314e+20
28,266.2024287155883,10.602168136966553,1.3740367743868073e+20,1.3460980475475996e+20,1.3740367743868073e+20,1.401975501226015e+20
29,226.40807678064118,11.660990898666412,1.3274645461040415e+20,1.3025939338398556e+20,1.3274645461040415e+20,1.3523351583682275e+20
30,192.52002788560424,12.736811932907898,1.1911163547463054e+20,1.1626157655637272e+20,1.1911163547463054e+20,1.2196169439288838e+20
31,163.6614990234374,13.78656633117675,1.4348626943775402e+20,1.3932254793729783e+20,1.4348626943775402e+20,1.4764999093821024e+20
32,139.11500549316403,14.787671064298221,1.9865711436403153e+20,1.9212816722932023e+20,1.9865711436403153e+20,2.0518606149874287e+20
33,118.25,15.906170270258151,2.314977785323303e+20,2.2462687070328888e+20,2.314977785323303e+20,2.3836868636137177e+20
34,100.51435089111324,17.24273064490245,2.4237798830922596e+20,2.3757020235280705e+20,2.4237798830922596e+20,2.471857742656449e+20
35,85.43901824951189,18.813372559902348,2.365369572385645e+20,2.3403932991469345e+20,2.365369572385645e+20,2.3903458456243556e+20
36,72.55786132812501,20.65052603534648,2.2060170039150674e+20,2.2009804350950415e+20,2.2060170039150674e+20,2.2110535727350933e+20
37,61.495662689209006,22.74331462627693,2.028666631052445e+20,2.0272308150352894e+20,2.028666631052445e+20,2.0301024470696008e+20
38,52.015911102294844,24.86505040859316,2.1225899013335214e+20,2.122486646541432e+20,2.1225899013335214e+20,2.122693156125611e+20
39,43.90966415405282,27.052485734519244,2.4399180454709985e+20,2.439554760494671e+20,2.4399180454709985e+20,2.4402813304473256e+20
40,36.9927101135254,29.32647120258809,2.8668486431409193e+20,2.8661568449515474e+20,2.8668486431409193e+20,2.8675404413302912e+20
41,31.08891105651863,31.748905700260213,3.5894872263151596e+20,3.5888980558575134e+20,3.5894872263151596e+20,3.5900763967728065e+20
