lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.884015327375524e+19,1.884015327375524e+19,1.884015327375524e+19,1.884015327375524e+19
1,971.6244310048473,0.36625663400749947,1.816436955535219e+19,1.816436955535219e+19,1.816436955535219e+19,1.816436955535219e+19
2,956.7542402749618,0.5001096160252074,1.958593734059963e+19,1.958593734059963e+19,1.958593734059963e+19,1.958593734059963e+19
3,941.8841473755075,0.6358236496946832,2.3968956220882026e+19,2.3968956220882026e+19,2.3968956220882026e+19,2.3968956220882026e+19
4,927.0137936180281,0.7737023136984883,2.683328382292984e+19,2.683328382292984e+19,2.683328382292984e+19,2.683328382292984e+19
5,912.1431877107561,0.9140599557728831,3.079616901279934e+19,3.079616901279934e+19,3.079616901279934e+19,3.079616901279934e+19
6,897.2725265381572,1.056517394691973,3.2442146530551136e+19,3.2442146530551136e+19,3.2442146530551136e+19,3.2442146530551136e+19
7,882.4015480213002,1.200972749516894,3.494260109140558e+19,3.494260109140558e+19,3.494260109140558e+19,3.494260109140558e+19
8,867.5303567964003,1.3475120190675405,3.5966792185826247e+19,3.5966792185826247e+19,3.5966792185826247e+19,3.5966792185826247e+19
9,852.6592652163091,1.4962539028284811,3.4820468500250886e+19,3.4820468500250886e+19,3.4820468500250886e+19,3.4820468500250886e+19
10,837.7879949747113,1.6472308870137926,3.3211776101910315e+19,3.3211776101910315e+19,3.3211776101910315e+19,3.3211776101910315e+19
11,822.9164001887356,1.8005751816165532,3.084808136543843e+19,3.084808136543843e+19,3.084808136543843e+19,3.084808136543843e+19
12,805.5656263644386,1.9827939680123745,2.8567573523036635e+19,2.8567573523036635e+19,2.8567573523036635e+19,2.8567573523036635e+19
13,783.256871457526,2.2224936871622756,2.4121199461718295e+19,2.4121199461718295e+19,2.4121199461718295e+19,2.4121199461718295e+19
14,758.4695103909143,2.4962949930620897,2.23793821454279e+19,2.23793821454279e+19,2.23793821454279e+19,2.23793821454279e+19
15,733.6809880795391,2.77814138452743,2.001473213652402e+19,2.001473213652402e+19,2.001473213652402e+19,2.001473213652402e+19
16,708.8908488634015,3.067972755313559,1.9374066057864675e+19,1.9374066057864675e+19,1.9374066057864675e+19,1.9374066057864675e+19
17,684.1004760822683,3.3661126328894038,1.9634062859584078e+19,1.9634062859584078e+19,1.9634062859584078e+19,1.9634062859584078e+19
18,653.1112285285492,3.753393324301299,1.994300855186011e+19,1.994300855186011e+19,1.994300855186011e+19,1.994300855186011e+19
19,615.9205705120047,4.2379797038361025,2.0564512982816653e+19,2.0564512982816653e+19,2.0564512982816653e+19,2.0564512982816653e+19
20,578.7272043823215,4.752775529501931,1.9543890355533283e+19,1.9543890355533283e+19,1.9543890355533283e+19,1.9543890355533283e+19
21,541.5297974405477,5.293982624262083,1.821118992971337e+19,1.821118992971337e+19,1.821118992971337e+19,1.821118992971337e+19
22,504.3267976709419,5.866525051820845,1.7735393817619038e+19,1.7735393817619038e+19,1.7735393817619038e+19,1.7735393817619038e+19
23,467.1182254346348,6.4783499666903825,1.767999850691838e+19,1.767999850691838e+19,1.767999850691838e+19,1.767999850691838e+19
24,429.9018516259439,7.130616001171602,1.784991176941781e+19,1.784991176941781e+19,1.784991176941781e+19,1.784991176941781e+19
25,392.6748148107893,7.8276962056910495,1.7595227007670583e+19,1.7595227007670583e+19,1.7595227007670583e+19,1.7595227007670583e+19
26,355.4364121658684,8.582381437087088,1.630368611497902e+19,1.630368611497902e+19,1.630368611497902e+19,1.630368611497902e+19
27,312.2568471757569,9.510262026437415,1.365873417994738e+19,1.365873417994738e+19,1.365873417994738e+19,1.365873417994738e+19
28,266.2024287155883,10.602168136966553,1.1175490735683076e+19,1.1175490735683076e+19,1.1175490735683076e+19,1.1175490735683076e+19
29,226.40807678064118,11.660990898666412,9.948244905674359e+18,9.948244905674359e+18,9.948244905674359e+18,9.948244905674359e+18
30,192.52002788560424,12.736811932907898,1.1400235673031295e+19,1.1400235673031295e+19,1.1400235673031295e+19,1.1400235673031295e+19
31,163.6614990234374,13.78656633117675,1.6654886001824809e+19,1.6654886001824809e+19,1.6654886001824809e+19,1.6654886001824809e+19
32,139.11500549316403,14.787671064298221,2.6115788538845233e+19,2.6115788538845233e+19,2.6115788538845233e+19,2.6115788538845233e+19
33,118.25,15.906170270258151,2.748363131616582e+19,2.748363131616582e+19,2.748363131616582e+19,2.748363131616582e+19
34,100.51435089111324,17.24273064490245,1.9231143825675747e+19,1.9231143825675747e+19,1.9231143825675747e+19,1.9231143825675747e+19
35,85.43901824951189,18.813372559902348,9.99050929548424e+18,9.99050929548424e+18,9.99050929548424e+18,9.99050929548424e+18
36,72.55786132812501,20.65052603534648,2.014627528010367e+18,2.014627528010367e+18,2.014627528010367e+18,2.014627528010367e+18
37,61.495662689209006,22.74331462627693,-5.743264068622418e+17,-5.743264068622418e+17,-5.743264068622418e+17,-5.743264068622418e+17
38,52.015911102294844,24.86505040859316,-4.130191683587277e+16,-4.130191683587277e+16,-4.130191683587277e+16,-4.130191683587277e+16
39,43.90966415405282,27.052485734519244,1.4531399053092454e+17,1.4531399053092454e+17,1.4531399053092454e+17,1.4531399053092454e+17
40,36.9927101135254,29.32647120258809,2.767192757487534e+17,2.767192757487534e+17,2.767192757487534e+17,2.767192757487534e+17
41,31.08891105651863,31.748905700260213,-2.356681830585467e+17,-2.356681830585467e+17,-2.356681830585467e+17,-2.356681830585467e+17
42,26.049108505249027,34.31199278898532,-1.7144883963756544e+17,-1.7144883963756544e+17,-1.7144883963756544e+17,-1.7144883963756544e+17
43,21.76100349426269,37.02114906529215,7.559574448776151e+17,7.559574448776151e+17,7.559574448776151e+17,7.559574448776151e+17
44,18.124349594116172,40.00166859906441,-4.944458848576471e+17,-4.944458848576471e+17,-4.944458848576471e+17,-4.944458848576471e+17
45,15.05025005340576,43.13537659190267,-3.4277351517690266e+17,-3.4277351517690266e+17,-3.4277351517690266e+17,-3.4277351517690266e+17
46,12.460150718688988,46.41231625206779,-2.5436682691529933e+17,-2.5436682691529933e+17,-2.5436682691529933e+17,-2.5436682691529933e+17
47,10.284920692443848,49.82768019095182,-3.6394656877235405e+17,-3.6394656877235405e+17,-3.6394656877235405e+17,-3.6394656877235405e+17
48,8.45639133453367,53.56635280817698,-6.733381826433516e+17,-6.733381826433516e+17,-6.733381826433516e+17,-6.733381826433516e+17
49,6.9183211326599094,57.94668908538693,-8.381269393875927e+17,-8.381269393875927e+17,-8.381269393875927e+17,-8.381269393875927e+17
50,5.631801128387452,62.66958728955136,-6.612023413867807e+17,-6.612023413867807e+17,-6.612023413867807e+17,-6.612023413867807e+17
51,4.561686038970957,67.91525438663359,-7.457318734006845e+17,-7.457318734006845e+17,-7.457318734006845e+17,-7.457318734006845e+17
52,3.6765010356903076,73.3631121633128,-7.779670783851233e+17,-7.779670783851233e+17,-7.779670783851233e+17,-7.779670783851233e+17
53,2.948321104049681,79.34230382171329,-8.081836987670856e+17,-8.081836987670856e+17,-8.081836987670856e+17,-8.081836987670856e+17
54,2.352590560913084,86.018857705306,-1.1291524000995082e+18,-1.1291524000995082e+18,-1.1291524000995082e+18,-1.1291524000995082e+18
55,1.867879986762998,93.22960225320968,-1.0074063942717276e+18,-1.0074063942717276e+18,-1.0074063942717276e+18,-1.0074063942717276e+18
56,1.475649952888488,100.60502256166222,-1.6441835089486152e+18,-1.6441835089486152e+18,-1.6441835089486152e+18,-1.6441835089486152e+18
57,1.159975051879883,107.73082344928824,-1.8296397698942894e+18,-1.8296397698942894e+18,-1.8296397698942894e+18,-1.8296397698942894e+18
58,0.9072870612144474,113.85502993179693,-2.2313302354762793e+18,-2.2313302354762793e+18,-2.2313302354762793e+18,-2.2313302354762793e+18
59,0.705956518650055,119.50150429056178,-2.0650720998087066e+18,-2.0650720998087066e+18,-2.0650720998087066e+18,-2.0650720998087066e+18
60,0.5462926030159002,124.26019209911512,-1.2876298857810493e+18,-1.2876298857810493e+18,-1.2876298857810493e+18,-1.2876298857810493e+18
61,0.4204235970973968,129.0678850820543,-8.40494906709377e+17,-8.40494906709377e+17,-8.40494906709377e+17,-8.40494906709377e+17
62,0.3217835724353792,134.07248354606006,-4.728678661799936e+17,-4.728678661799936e+17,-4.728678661799936e+17,-4.728678661799936e+17
63,0.24493755400180758,139.49182341933508,-3.351984975519416e+17,-3.351984975519416e+17,-3.351984975519416e+17,-3.351984975519416e+17
64,0.18542200326919586,145.53657974798668,-2.6637041482969907e+17,-2.6637041482969907e+17,-2.6637041482969907e+17,-2.6637041482969907e+17
65,0.13959898054599765,151.93939327345697,-2.1839162981767578e+17,-2.1839162981767578e+17,-2.1839162981767578e+17,-2.1839162981767578e+17
66,0.10452400892972945,158.88929696286775,-1.7399380605904486e+17,-1.7399380605904486e+17,-1.7399380605904486e+17,-1.7399380605904486e+17
67,0.07767251133918768,165.48256960765983,-1.9175274922550886e+17,-1.9175274922550886e+17,-1.9175274922550886e+17,-1.9175274922550886e+17
68,0.056792508810758584,171.42659336444058,-2.9244689376313344e+17,-2.9244689376313344e+17,-2.9244689376313344e+17,-2.9244689376313344e+17
69,0.04014250636100761,177.6333305500759,-4.538521259536548e+17,-4.538521259536548e+17,-4.538521259536548e+17,-4.538521259536548e+17
70,0.02635000087320806,187.62940859763327,-7.663132364826542e+17,-7.663132364826542e+17,-7.663132364826542e+17,-7.663132364826542e+17
71,0.014999999664723887,209.86898406193973,-1.190497377654866e+18,-1.190497377654866e+18,-1.190497377654866e+18,-1.190497377654866e+18
