lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.8688810959242575e+22,3.8688727084792986e+22,3.8688810959242575e+22,3.8688894833692164e+22
1,971.6244310048473,0.36625663400749947,3.776382649566376e+22,3.7763742204164743e+22,3.776382649566376e+22,3.7763910787162777e+22
2,956.7542402749618,0.5001096160252074,3.578432637896138e+22,3.578424057324253e+22,3.578432637896138e+22,3.578441218468023e+22
3,941.8841473755075,0.6358236496946832,3.2737764658435473e+22,3.273767567084759e+22,3.2737764658435473e+22,3.2737853646023357e+22
4,927.0137936180281,0.7737023136984883,2.8854292762309178e+22,2.885419652325834e+22,2.8854292762309178e+22,2.8854389001360016e+22
5,912.1431877107561,0.9140599557728831,2.270147914280674e+22,2.2701385302746883e+22,2.270147914280674e+22,2.2701572982866597e+22
6,897.2725265381572,1.056517394691973,1.6323339547331443e+22,1.6323233533365422e+22,1.6323339547331443e+22,1.6323445561297463e+22
7,882.4015480213002,1.200972749516894,1.1343952002562925e+22,1.1343837795346368e+22,1.1343952002562925e+22,1.1344066209779483e+22
8,867.5303567964003,1.3475120190675405,7.578535153763268e+21,7.578416369977719e+21,7.578535153763268e+21,7.578653937548816e+21
9,852.6592652163091,1.4962539028284811,5.007131617759409e+21,5.007020304198476e+21,5.007131617759409e+21,5.007242931320341e+21
10,837.7879949747113,1.6472308870137926,3.459512885870572e+21,3.459417099967919e+21,3.459512885870572e+21,3.459608671773225e+21
11,822.9164001887356,1.8005751816165532,2.5378348874587235e+21,2.537729067867544e+21,2.5378348874587235e+21,2.537940707049903e+21
12,805.5656263644386,1.9827939680123745,1.8433871184374548e+21,1.843286601379596e+21,1.8433871184374548e+21,1.8434876354953137e+21
13,783.256871457526,2.2224936871622756,1.2930001409728294e+21,1.2929081228651914e+21,1.2930001409728294e+21,1.2930921590804673e+21
14,758.4695103909143,2.4962949930620897,8.903270301686267e+20,8.902434740217307e+20,8.903270301686267e+20,8.904105863155224e+20
15,733.6809880795391,2.77814138452743,6.172502607145832e+20,6.17179380730922e+20,6.172502607145832e+20,6.173211406982443e+20
16,708.8908488634015,3.067972755313559,4.211563280380272e+20,4.210952475097998e+20,4.211563280380272e+20,4.212174085662547e+20
17,684.1004760822683,3.3661126328894038,2.7515461458404128e+20,2.751008099148755e+20,2.7515461458404128e+20,2.7520841925320707e+20
18,653.1112285285492,3.753393324301299,1.614114769353728e+20,1.6136279543024514e+20,1.614114769353728e+20,1.6146015844050046e+20
19,615.9205705120047,4.2379797038361025,7.701728213265288e+19,7.697186632049784e+19,7.701728213265288e+19,7.706269794480793e+19
