lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-3.354977983403131e+17,-3.354977983403131e+17,-3.354977983403131e+17,-3.354977983403131e+17
1,971.6244310048473,0.36625663400749947,-3.37165996068438e+17,-3.37165996068438e+17,-3.37165996068438e+17,-3.37165996068438e+17
2,956.7542402749618,0.5001096160252074,-3.4322287539152486e+17,-3.4322287539152486e+17,-3.4322287539152486e+17,-3.4322287539152486e+17
3,941.8841473755075,0.6358236496946832,-3.55950351544746e+17,-3.55950351544746e+17,-3.55950351544746e+17,-3.55950351544746e+17
4,927.0137936180281,0.7737023136984883,-3.849562033540301e+17,-3.849562033540301e+17,-3.849562033540301e+17,-3.849562033540301e+17
5,912.1431877107561,0.9140599557728831,-3.7536023942109594e+17,-3.7536023942109594e+17,-3.7536023942109594e+17,-3.7536023942109594e+17
6,897.2725265381572,1.056517394691973,-4.240558640815145e+17,-4.240558640815145e+17,-4.240558640815145e+17,-4.240558640815145e+17
7,882.4015480213002,1.200972749516894,-4.568288662315336e+17,-4.568288662315336e+17,-4.568288662315336e+17,-4.568288662315336e+17
8,867.5303567964003,1.3475120190675405,-4.75135142195626e+17,-4.75135142195626e+17,-4.75135142195626e+17,-4.75135142195626e+17
9,852.6592652163091,1.4962539028284811,-4.452542437318984e+17,-4.452542437318984e+17,-4.452542437318984e+17,-4.452542437318984e+17
10,837.7879949747113,1.6472308870137926,-3.8314361061113856e+17,-3.8314361061113856e+17,-3.8314361061113856e+17,-3.8314361061113856e+17
11,822.9164001887356,1.8005751816165532,-4.232783647180063e+17,-4.232783647180063e+17,-4.232783647180063e+17,-4.232783647180063e+17
12,805.5656263644386,1.9827939680123745,-4.020682314361078e+17,-4.020682314361078e+17,-4.020682314361078e+17,-4.020682314361078e+17
13,783.256871457526,2.2224936871622756,-3.680724305515643e+17,-3.680724305515643e+17,-3.680724305515643e+17,-3.680724305515643e+17
14,758.4695103909143,2.4962949930620897,-3.342245875832586e+17,-3.342245875832586e+17,-3.342245875832586e+17,-3.342245875832586e+17
15,733.6809880795391,2.77814138452743,-2.835199346447483e+17,-2.835199346447483e+17,-2.835199346447483e+17,-2.835199346447483e+17
16,708.8908488634015,3.067972755313559,-2.4432211290980352e+17,-2.4432211290980352e+17,-2.4432211290980352e+17,-2.4432211290980352e+17
17,684.1004760822683,3.3661126328894038,-2.152186766630912e+17,-2.152186766630912e+17,-2.152186766630912e+17,-2.152186766630912e+17
18,653.1112285285492,3.753393324301299,-1.9472602051064627e+17,-1.9472602051064627e+17,-1.9472602051064627e+17,-1.9472602051064627e+17
19,615.9205705120047,4.2379797038361025,-1.8166324862019174e+17,-1.8166324862019174e+17,-1.8166324862019174e+17,-1.8166324862019174e+17
20,578.7272043823215,4.752775529501931,-1.762171778597028e+17,-1.762171778597028e+17,-1.762171778597028e+17,-1.762171778597028e+17
21,541.5297974405477,5.293982624262083,-1.716723279144059e+17,-1.716723279144059e+17,-1.716723279144059e+17,-1.716723279144059e+17
22,504.3267976709419,5.866525051820845,-1.5778642482354176e+17,-1.5778642482354176e+17,-1.5778642482354176e+17,-1.5778642482354176e+17
23,467.1182254346348,6.4783499666903825,-1.39254221724117e+17,-1.39254221724117e+17,-1.39254221724117e+17,-1.39254221724117e+17
24,429.9018516259439,7.130616001171602,-1.239187930482094e+17,-1.239187930482094e+17,-1.239187930482094e+17,-1.239187930482094e+17
