lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.443985940881294e+22,2.443975555368387e+22,2.443985940881294e+22,2.4439963263942007e+22
1,971.6244310048473,0.36625663400749947,2.3319720464706162e+22,2.3319620665611483e+22,2.3319720464706162e+22,2.331982026380084e+22
2,956.7542402749618,0.5001096160252074,2.1282820258015285e+22,2.1282712950983428e+22,2.1282820258015285e+22,2.1282927565047146e+22
3,941.8841473755075,0.6358236496946832,1.7898253720453265e+22,1.789814519075901e+22,1.7898253720453265e+22,1.789836225014752e+22
4,927.0137936180281,0.7737023136984883,1.2777633995005643e+22,1.2777561041438727e+22,1.2777633995005643e+22,1.2777706948572561e+22
5,912.1431877107561,0.9140599557728831,7.076844502597606e+21,7.07679217539224e+21,7.076844502597606e+21,7.076896829802971e+21
6,897.2725265381572,1.056517394691973,3.050961365699122e+21,3.0509383068852033e+21,3.050961365699122e+21,3.0509844245130405e+21
7,882.4015480213002,1.200972749516894,1.1280446297069339e+21,1.1280273454257457e+21,1.1280446297069339e+21,1.1280619139881221e+21
8,867.5303567964003,1.3475120190675405,5.834862297917345e+20,5.834731640062687e+20,5.834862297917345e+20,5.834992955772002e+20
9,852.6592652163091,1.4962539028284811,4.2906359153152505e+20,4.290506182934825e+20,4.2906359153152505e+20,4.2907656476956754e+20
10,837.7879949747113,1.6472308870137926,3.475310599132742e+20,3.475190108423729e+20,3.475310599132742e+20,3.475431089841755e+20
11,822.9164001887356,1.8005751816165532,3.0072629913368186e+20,3.0071491553706646e+20,3.0072629913368186e+20,3.007376827302973e+20
12,805.5656263644386,1.9827939680123745,2.6190116769936985e+20,2.618905885817092e+20,2.6190116769936985e+20,2.6191174681703052e+20
13,783.256871457526,2.2224936871622756,2.1910297557817413e+20,2.1909333967597968e+20,2.1910297557817413e+20,2.191126114803686e+20
14,758.4695103909143,2.4962949930620897,1.7934456614970504e+20,1.793364276160057e+20,1.7934456614970504e+20,1.793527046834044e+20
15,733.6809880795391,2.77814138452743,1.3993377254461994e+20,1.3992651430011101e+20,1.3993377254461994e+20,1.3994103078912888e+20
16,708.8908488634015,3.067972755313559,9.16670814812088e+19,9.166087635413054e+19,9.16670814812088e+19,9.167328660828707e+19
17,684.1004760822683,3.3661126328894038,5.177361248796386e+19,5.176821813534657e+19,5.177361248796386e+19,5.177900684058115e+19
18,653.1112285285492,3.753393324301299,2.906765243887743e+19,2.9062576917556945e+19,2.906765243887743e+19,2.9072727960197915e+19
19,615.9205705120047,4.2379797038361025,1.7337097145227332e+19,1.733201862824027e+19,1.7337097145227332e+19,1.7342175662214394e+19
20,578.7272043823215,4.752775529501931,1.2883102116159744e+19,1.2877578680600898e+19,1.2883102116159744e+19,1.288862555171859e+19
21,541.5297974405477,5.293982624262083,9.025434520862092e+18,9.019168686273366e+18,9.025434520862092e+18,9.031700355450819e+18
22,504.3267976709419,5.866525051820845,6.95185460221225e+18,6.944737659779795e+18,6.95185460221225e+18,6.958971544644705e+18
23,467.1182254346348,6.4783499666903825,5.958360474904148e+18,5.950645383141346e+18,5.958360474904148e+18,5.966075566666949e+18
24,429.9018516259439,7.130616001171602,5.433822536719962e+18,5.425026958193719e+18,5.433822536719962e+18,5.442618115246206e+18
25,392.6748148107893,7.8276962056910495,5.187619311167947e+18,5.176740492846888e+18,5.187619311167947e+18,5.198498129489005e+18
26,355.4364121658684,8.582381437087088,5.136162829217479e+18,5.121494558527863e+18,5.136162829217479e+18,5.150831099907094e+18
27,312.2568471757569,9.510262026437415,4.945861166882217e+18,4.923838440624825e+18,4.945861166882217e+18,4.967883893139609e+18
28,266.2024287155883,10.602168136966553,4.3613552580971694e+18,4.3339136145853814e+18,4.3613552580971694e+18,4.3887969016089574e+18
29,226.40807678064118,11.660990898666412,3.2376096925479967e+18,3.2134413779741604e+18,3.2376096925479967e+18,3.2617780071218324e+18
30,192.52002788560424,12.736811932907898,2.701266878670392e+18,2.676546741681405e+18,2.701266878670392e+18,2.7259870156593787e+18
31,163.6614990234374,13.78656633117675,2.629553141661174e+18,2.6044268925519913e+18,2.629553141661174e+18,2.6546793907703557e+18
32,139.11500549316403,14.787671064298221,2.570678094588552e+18,2.5471940370121723e+18,2.570678094588552e+18,2.5941621521649326e+18
33,118.25,15.906170270258151,2.612788199409725e+18,2.58527388885841e+18,2.612788199409725e+18,2.64030250996104e+18
34,100.51435089111324,17.24273064490245,2.2670167483379215e+18,2.2477395833935066e+18,2.2670167483379215e+18,2.2862939132823363e+18
35,85.43901824951189,18.813372559902348,1.4589145029069297e+18,1.45021886685142e+18,1.4589145029069297e+18,1.4676101389624394e+18
36,72.55786132812501,20.65052603534648,7.326799249016676e+17,7.309973203313844e+17,7.326799249016676e+17,7.343625294719506e+17
37,61.495662689209006,22.74331462627693,3.0619668926872294e+17,3.0614244689797786e+17,3.0619668926872294e+17,3.06250931639468e+17
38,52.015911102294844,24.86505040859316,2.0674783220358752e+17,2.067468131702637e+17,2.0674783220358752e+17,2.067488512369113e+17
39,43.90966415405282,27.052485734519244,1.4179013015358474e+17,1.4177923352962571e+17,1.4179013015358474e+17,1.4180102677754374e+17
40,36.9927101135254,29.32647120258809,6.238103179962176e+16,6.231636567931543e+16,6.238103179962176e+16,6.24456979199281e+16
41,31.08891105651863,31.748905700260213,1.827115221407321e+16,1.82507759866873e+16,1.827115221407321e+16,1.8291528441459116e+16
42,26.049108505249027,34.31199278898532,1.0861546552392924e+16,1.0854023467491222e+16,1.0861546552392924e+16,1.0869069637294626e+16
43,21.76100349426269,37.02114906529215,7505336993604280.0,7499323875028342.0,7505336993604280.0,7511350112180219.0
44,18.124349594116172,40.00166859906441,2837210952352000.0,2834631515690391.0,2837210952352000.0,2839790389013609.5
45,15.05025005340576,43.13537659190267,1073471203350468.6,1072686417446168.8,1073471203350468.6,1074255989254768.5
46,12.460150718688988,46.41231625206779,764294825467341.6,763794588584625.4,764294825467341.6,764795062350057.9
47,10.284920692443848,49.82768019095182,597437417839310.2,597077754947773.0,597437417839310.2,597797080730847.5
48,8.45639133453367,53.56635280817698,410496794702030.75,410180419572470.4,410496794702030.75,410813169831591.1
