lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-4.154205162753229e+17,-4.154205162753229e+17,-4.154205162753229e+17,-4.154205162753229e+17
1,971.6244310048473,0.36625663400749947,-3.991963787161764e+17,-3.991963787161764e+17,-3.991963787161764e+17,-3.991963787161764e+17
2,956.7542402749618,0.5001096160252074,-4.292281274413875e+17,-4.292281274413875e+17,-4.292281274413875e+17,-4.292281274413875e+17
3,941.8841473755075,0.6358236496946832,-4.341187770182533e+17,-4.341187770182533e+17,-4.341187770182533e+17,-4.341187770182533e+17
4,927.0137936180281,0.7737023136984883,-2.918142676660388e+17,-2.918142676660388e+17,-2.918142676660388e+17,-2.918142676660388e+17
5,912.1431877107561,0.9140599557728831,-2.093088214614016e+17,-2.093088214614016e+17,-2.093088214614016e+17,-2.093088214614016e+17
6,897.2725265381572,1.056517394691973,-9.22352556745687e+16,-9.22352556745687e+16,-9.22352556745687e+16,-9.22352556745687e+16
7,882.4015480213002,1.200972749516894,-6.913712475288371e+16,-6.913712475288371e+16,-6.913712475288371e+16,-6.913712475288371e+16
8,867.5303567964003,1.3475120190675405,-5.226314186286694e+16,-5.226314186286694e+16,-5.226314186286694e+16,-5.226314186286694e+16
9,852.6592652163091,1.4962539028284811,-5.189295217016832e+16,-5.189295217016832e+16,-5.189295217016832e+16,-5.189295217016832e+16
10,837.7879949747113,1.6472308870137926,-4.819628360518861e+16,-4.819628360518861e+16,-4.819628360518861e+16,-4.819628360518861e+16
11,822.9164001887356,1.8005751816165532,-4.553438646167142e+16,-4.553438646167142e+16,-4.553438646167142e+16,-4.553438646167142e+16
12,805.5656263644386,1.9827939680123745,-4.231647064267162e+16,-4.231647064267162e+16,-4.231647064267162e+16,-4.231647064267162e+16
13,783.256871457526,2.2224936871622756,-3.854360877790003e+16,-3.854360877790003e+16,-3.854360877790003e+16,-3.854360877790003e+16
14,758.4695103909143,2.4962949930620897,-3.2554134797418496e+16,-3.2554134797418496e+16,-3.2554134797418496e+16,-3.2554134797418496e+16
15,733.6809880795391,2.77814138452743,-2.903297803572019e+16,-2.903297803572019e+16,-2.903297803572019e+16,-2.903297803572019e+16
16,708.8908488634015,3.067972755313559,-2.482050831302656e+16,-2.482050831302656e+16,-2.482050831302656e+16,-2.482050831302656e+16
17,684.1004760822683,3.3661126328894038,-2.1577410469167104e+16,-2.1577410469167104e+16,-2.1577410469167104e+16,-2.1577410469167104e+16
18,653.1112285285492,3.753393324301299,-2.0302085281931264e+16,-2.0302085281931264e+16,-2.0302085281931264e+16,-2.0302085281931264e+16
19,615.9205705120047,4.2379797038361025,-2.031406794824909e+16,-2.031406794824909e+16,-2.031406794824909e+16,-2.031406794824909e+16
20,578.7272043823215,4.752775529501931,-2.2093742235385856e+16,-2.2093742235385856e+16,-2.2093742235385856e+16,-2.2093742235385856e+16
21,541.5297974405477,5.293982624262083,-2.5063338354907136e+16,-2.5063338354907136e+16,-2.5063338354907136e+16,-2.5063338354907136e+16
22,504.3267976709419,5.866525051820845,-2.846776972981965e+16,-2.846776972981965e+16,-2.846776972981965e+16,-2.846776972981965e+16
23,467.1182254346348,6.4783499666903825,-3.0860367051203584e+16,-3.0860367051203584e+16,-3.0860367051203584e+16,-3.0860367051203584e+16
24,429.9018516259439,7.130616001171602,-3.5182314104974336e+16,-3.5182314104974336e+16,-3.5182314104974336e+16,-3.5182314104974336e+16
25,392.6748148107893,7.8276962056910495,-4.351527328423424e+16,-4.351527328423424e+16,-4.351527328423424e+16,-4.351527328423424e+16
26,355.4364121658684,8.582381437087088,-5.867308275846042e+16,-5.867308275846042e+16,-5.867308275846042e+16,-5.867308275846042e+16
27,312.2568471757569,9.510262026437415,-8.809090502956646e+16,-8.809090502956646e+16,-8.809090502956646e+16,-8.809090502956646e+16
28,266.2024287155883,10.602168136966553,-1.0976657404715213e+17,-1.0976657404715213e+17,-1.0976657404715213e+17,-1.0976657404715213e+17
29,226.40807678064118,11.660990898666412,-9.667325829534362e+16,-9.667325829534362e+16,-9.667325829534362e+16,-9.667325829534362e+16
30,192.52002788560424,12.736811932907898,-9.888054795594854e+16,-9.888054795594854e+16,-9.888054795594854e+16,-9.888054795594854e+16
31,163.6614990234374,13.78656633117675,-1.0050499643672934e+17,-1.0050499643672934e+17,-1.0050499643672934e+17,-1.0050499643672934e+17
32,139.11500549316403,14.787671064298221,-9.393623030552013e+16,-9.393623030552013e+16,-9.393623030552013e+16,-9.393623030552013e+16
33,118.25,15.906170270258151,-1.100572422052608e+17,-1.100572422052608e+17,-1.100572422052608e+17,-1.100572422052608e+17
34,100.51435089111324,17.24273064490245,-7.710865977765965e+16,-7.710865977765965e+16,-7.710865977765965e+16,-7.710865977765965e+16
