lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.0188502736207203e+22,1.0188477501733419e+22,1.0188502736207203e+22,1.0188527970680985e+22
1,971.6244310048473,0.36625663400749947,9.920014394956647e+21,9.91998823689703e+21,9.920014394956647e+21,9.920040553016266e+21
2,956.7542402749618,0.5001096160252074,9.652733695490173e+21,9.652707940463117e+21,9.652733695490173e+21,9.65275945051723e+21
3,941.8841473755075,0.6358236496946832,8.610528125341721e+21,8.610502189776152e+21,8.610528125341721e+21,8.61055406090729e+21
4,927.0137936180281,0.7737023136984883,6.541684157196674e+21,6.541661920398697e+21,6.541684157196674e+21,6.54170639399465e+21
5,912.1431877107561,0.9140599557728831,4.5808873531255973e+21,4.5808721767784173e+21,4.5808873531255973e+21,4.580902529472777e+21
6,897.2725265381572,1.056517394691973,3.1414121455121334e+21,3.1414025373117564e+21,3.1414121455121334e+21,3.1414217537125105e+21
7,882.4015480213002,1.200972749516894,1.7452575954358764e+21,1.7452499603695888e+21,1.7452575954358764e+21,1.7452652305021636e+21
8,867.5303567964003,1.3475120190675405,1.1041219044329754e+21,1.1041157841445477e+21,1.1041219044329754e+21,1.1041280247214032e+21
9,852.6592652163091,1.4962539028284811,8.088160263342643e+20,8.088119011212982e+20,8.088160263342643e+20,8.088201515472304e+20
10,837.7879949747113,1.6472308870137926,6.318970501050241e+20,6.318906985016503e+20,6.318970501050241e+20,6.319034017083979e+20
11,822.9164001887356,1.8005751816165532,4.963330167376807e+20,4.963242291507322e+20,4.963330167376807e+20,4.963418043246292e+20
12,805.5656263644386,1.9827939680123745,3.8528408921922273e+20,3.852734319585621e+20,3.8528408921922273e+20,3.852947464798834e+20
13,783.256871457526,2.2224936871622756,2.626848787622733e+20,2.6267343538571398e+20,2.626848787622733e+20,2.6269632213883263e+20
14,758.4695103909143,2.4962949930620897,1.708324002849683e+20,1.708196298188456e+20,1.708324002849683e+20,1.7084517075109098e+20
15,733.6809880795391,2.77814138452743,1.189622181067974e+20,1.1895008864763406e+20,1.189622181067974e+20,1.1897434756596072e+20
16,708.8908488634015,3.067972755313559,8.491148629067098e+19,8.489939678919852e+19,8.491148629067098e+19,8.492357579214345e+19
17,684.1004760822683,3.3661126328894038,5.981924963200816e+19,5.980668817420458e+19,5.981924963200816e+19,5.983181108981173e+19
18,653.1112285285492,3.753393324301299,4.263389121597334e+19,4.262107369499446e+19,4.263389121597334e+19,4.264670873695223e+19
19,615.9205705120047,4.2379797038361025,2.949369031137838e+19,2.9482244079132176e+19,2.949369031137838e+19,2.9505136543624585e+19
20,578.7272043823215,4.752775529501931,2.1337697509556097e+19,2.1328071849032704e+19,2.1337697509556097e+19,2.134732317007949e+19
21,541.5297974405477,5.293982624262083,1.4865910651942724e+19,1.4857461433358328e+19,1.4865910651942724e+19,1.487435987052712e+19
22,504.3267976709419,5.866525051820845,9.48531885460398e+18,9.477688282188296e+18,9.48531885460398e+18,9.492949427019665e+18
23,467.1182254346348,6.4783499666903825,6.554186052791155e+18,6.546425428348554e+18,6.554186052791155e+18,6.561946677233756e+18
24,429.9018516259439,7.130616001171602,4.893200919716643e+18,4.884699080296263e+18,4.893200919716643e+18,4.901702759137022e+18
25,392.6748148107893,7.8276962056910495,4.158730745067507e+18,4.1488975253121516e+18,4.158730745067507e+18,4.168563964822863e+18
26,355.4364121658684,8.582381437087088,3.6470291556889713e+18,3.637820337060688e+18,3.6470291556889713e+18,3.656237974317255e+18
27,312.2568471757569,9.510262026437415,2.673592903841573e+18,2.6661498216621046e+18,2.673592903841573e+18,2.6810359860210417e+18
28,266.2024287155883,10.602168136966553,2.0085135816411036e+18,2.0023257855399178e+18,2.0085135816411036e+18,2.0147013777422894e+18
29,226.40807678064118,11.660990898666412,1.5842290539280282e+18,1.5779395269287255e+18,1.5842290539280282e+18,1.5905185809273308e+18
30,192.52002788560424,12.736811932907898,1.47212962977864e+18,1.4653365197216264e+18,1.47212962977864e+18,1.4789227398356534e+18
31,163.6614990234374,13.78656633117675,1.924771875256528e+18,1.9148605722037215e+18,1.924771875256528e+18,1.934683178309334e+18
32,139.11500549316403,14.787671064298221,2.922694631431883e+18,2.9060372747951764e+18,2.922694631431883e+18,2.9393519880685885e+18
33,118.25,15.906170270258151,3.0101859935048146e+18,2.9931689523674583e+18,3.0101859935048146e+18,3.027203034642171e+18
34,100.51435089111324,17.24273064490245,2.103393770372449e+18,2.0924269179944622e+18,2.103393770372449e+18,2.1143606227504358e+18
35,85.43901824951189,18.813372559902348,1.1294835979506738e+18,1.1260029000773663e+18,1.1294835979506738e+18,1.1329642958239813e+18
