lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-1.009378951346258e+17,-1.009378951346258e+17,-1.009378951346258e+17,-1.009378951346258e+17
1,971.6244310048473,0.36625663400749947,-1.0463223847111885e+17,-1.0463223847111885e+17,-1.0463223847111885e+17,-1.0463223847111885e+17
2,956.7542402749618,0.5001096160252074,-1.0302010822125158e+17,-1.0302010822125158e+17,-1.0302010822125158e+17,-1.0302010822125158e+17
3,941.8841473755075,0.6358236496946832,-1.0374226227966771e+17,-1.0374226227966771e+17,-1.0374226227966771e+17,-1.0374226227966771e+17
4,927.0137936180281,0.7737023136984883,-8.894719190787686e+16,-8.894719190787686e+16,-8.894719190787686e+16,-8.894719190787686e+16
5,912.1431877107561,0.9140599557728831,-6.070538871976755e+16,-6.070538871976755e+16,-6.070538871976755e+16,-6.070538871976755e+16
6,897.2725265381572,1.056517394691973,-3.843280150829466e+16,-3.843280150829466e+16,-3.843280150829466e+16,-3.843280150829466e+16
7,882.4015480213002,1.200972749516894,-3.0540265149956096e+16,-3.0540265149956096e+16,-3.0540265149956096e+16,-3.0540265149956096e+16
8,867.5303567964003,1.3475120190675405,-2.448115371081728e+16,-2.448115371081728e+16,-2.448115371081728e+16,-2.448115371081728e+16
9,852.6592652163091,1.4962539028284811,-1.6500851864502272e+16,-1.6500851864502272e+16,-1.6500851864502272e+16,-1.6500851864502272e+16
10,837.7879949747113,1.6472308870137926,-2.540641349533696e+16,-2.540641349533696e+16,-2.540641349533696e+16,-2.540641349533696e+16
11,822.9164001887356,1.8005751816165532,-3.5150347793924096e+16,-3.5150347793924096e+16,-3.5150347793924096e+16,-3.5150347793924096e+16
12,805.5656263644386,1.9827939680123745,-4.262904264261632e+16,-4.262904264261632e+16,-4.262904264261632e+16,-4.262904264261632e+16
13,783.256871457526,2.2224936871622756,-4.57735062372352e+16,-4.57735062372352e+16,-4.57735062372352e+16,-4.57735062372352e+16
14,758.4695103909143,2.4962949930620897,-5.108186449077862e+16,-5.108186449077862e+16,-5.108186449077862e+16,-5.108186449077862e+16
15,733.6809880795391,2.77814138452743,-4.851783665333043e+16,-4.851783665333043e+16,-4.851783665333043e+16,-4.851783665333043e+16
16,708.8908488634015,3.067972755313559,-4.83580058898432e+16,-4.83580058898432e+16,-4.83580058898432e+16,-4.83580058898432e+16
17,684.1004760822683,3.3661126328894038,-5.024583121427661e+16,-5.024583121427661e+16,-5.024583121427661e+16,-5.024583121427661e+16
18,653.1112285285492,3.753393324301299,-5.127008391554662e+16,-5.127008391554662e+16,-5.127008391554662e+16,-5.127008391554662e+16
19,615.9205705120047,4.2379797038361025,-4.578492898482176e+16,-4.578492898482176e+16,-4.578492898482176e+16,-4.578492898482176e+16
20,578.7272043823215,4.752775529501931,-3.85026420935639e+16,-3.85026420935639e+16,-3.85026420935639e+16,-3.85026420935639e+16
21,541.5297974405477,5.293982624262083,-3.3796874337583104e+16,-3.3796874337583104e+16,-3.3796874337583104e+16,-3.3796874337583104e+16
22,504.3267976709419,5.866525051820845,-3.052228966274253e+16,-3.052228966274253e+16,-3.052228966274253e+16,-3.052228966274253e+16
23,467.1182254346348,6.4783499666903825,-3.1042497770404864e+16,-3.1042497770404864e+16,-3.1042497770404864e+16,-3.1042497770404864e+16
24,429.9018516259439,7.130616001171602,-3.400735768151757e+16,-3.400735768151757e+16,-3.400735768151757e+16,-3.400735768151757e+16
25,392.6748148107893,7.8276962056910495,-3.933287902142157e+16,-3.933287902142157e+16,-3.933287902142157e+16,-3.933287902142157e+16
26,355.4364121658684,8.582381437087088,-3.68352745131351e+16,-3.68352745131351e+16,-3.68352745131351e+16,-3.68352745131351e+16
27,312.2568471757569,9.510262026437415,-2.9772328717873664e+16,-2.9772328717873664e+16,-2.9772328717873664e+16,-2.9772328717873664e+16
28,266.2024287155883,10.602168136966553,-2.475118440474317e+16,-2.475118440474317e+16,-2.475118440474317e+16,-2.475118440474317e+16
29,226.40807678064118,11.660990898666412,-2.5158107997210624e+16,-2.5158107997210624e+16,-2.5158107997210624e+16,-2.5158107997210624e+16
30,192.52002788560424,12.736811932907898,-2.7172440228054016e+16,-2.7172440228054016e+16,-2.7172440228054016e+16,-2.7172440228054016e+16
31,163.6614990234374,13.78656633117675,-3.964521221122534e+16,-3.964521221122534e+16,-3.964521221122534e+16,-3.964521221122534e+16
32,139.11500549316403,14.787671064298221,-6.66294265468247e+16,-6.66294265468247e+16,-6.66294265468247e+16,-6.66294265468247e+16
33,118.25,15.906170270258151,-6.806816454942515e+16,-6.806816454942515e+16,-6.806816454942515e+16,-6.806816454942515e+16
34,100.51435089111324,17.24273064490245,-4.386740951194675e+16,-4.386740951194675e+16,-4.386740951194675e+16,-4.386740951194675e+16
35,85.43901824951189,18.813372559902348,-1.3922791493230336e+16,-1.3922791493230336e+16,-1.3922791493230336e+16,-1.3922791493230336e+16
36,72.55786132812501,20.65052603534648,-540521510354944.0,-540521510354944.0,-540521510354944.0,-540521510354944.0
37,61.495662689209006,22.74331462627693,-610043252555392.0,-610043252555392.0,-610043252555392.0,-610043252555392.0
38,52.015911102294844,24.86505040859316,-684885513088672.0,-684885513088672.0,-684885513088672.0,-684885513088672.0
39,43.90966415405282,27.052485734519244,-120881859963152.0,-120881859963152.0,-120881859963152.0,-120881859963152.0
40,36.9927101135254,29.32647120258809,-85101519427896.0,-85101519427896.0,-85101519427896.0,-85101519427896.0
41,31.08891105651863,31.748905700260213,-60626652154868.0,-60626652154868.0,-60626652154868.0,-60626652154868.0
42,26.049108505249027,34.31199278898532,-20481407899237.0,-20481407899237.0,-20481407899237.0,-20481407899237.0
43,21.76100349426269,37.02114906529215,-7926038631685.5,-7926038631685.5,-7926038631685.5,-7926038631685.5
44,18.124349594116172,40.00166859906441,-7634021241217.0,-7634021241217.0,-7634021241217.0,-7634021241217.0
45,15.05025005340576,43.13537659190267,-4901551233870.75,-4901551233870.75,-4901551233870.75,-4901551233870.75
46,12.460150718688988,46.41231625206779,-1367423399139.3125,-1367423399139.3125,-1367423399139.3125,-1367423399139.3125
47,10.284920692443848,49.82768019095182,-693381448487.4375,-693381448487.4375,-693381448487.4375,-693381448487.4375
48,8.45639133453367,53.56635280817698,-803747016371.8125,-803747016371.8125,-803747016371.8125,-803747016371.8125
49,6.9183211326599094,57.94668908538693,-859331654979.7188,-859331654979.7188,-859331654979.7188,-859331654979.7188
50,5.631801128387452,62.66958728955136,-579370116539.4688,-579370116539.4688,-579370116539.4688,-579370116539.4688
51,4.561686038970957,67.91525438663359,-416013929244.5781,-416013929244.5781,-416013929244.5781,-416013929244.5781
52,3.6765010356903076,73.3631121633128,-279444644270.09375,-279444644270.09375,-279444644270.09375,-279444644270.09375
53,2.948321104049681,79.34230382171329,-195985846600.98828,-195985846600.98828,-195985846600.98828,-195985846600.98828
54,2.352590560913084,86.018857705306,-112687895572.20312,-112687895572.20312,-112687895572.20312,-112687895572.20312
55,1.867879986762998,93.22960225320968,-77907554563.47461,-77907554563.47461,-77907554563.47461,-77907554563.47461
56,1.475649952888488,100.60502256166222,-51758163620.08594,-51758163620.08594,-51758163620.08594,-51758163620.08594
57,1.159975051879883,107.73082344928824,-29086239948.34375,-29086239948.34375,-29086239948.34375,-29086239948.34375
58,0.9072870612144474,113.85502993179693,-14918130838.158936,-14918130838.158936,-14918130838.158936,-14918130838.158936
59,0.705956518650055,119.50150429056178,-6227200472.167603,-6227200472.167603,-6227200472.167603,-6227200472.167603
60,0.5462926030159002,124.26019209911512,-3091777424.928833,-3091777424.928833,-3091777424.928833,-3091777424.928833
61,0.4204235970973968,129.0678850820543,-1828858583.198944,-1828858583.198944,-1828858583.198944,-1828858583.198944
62,0.3217835724353792,134.07248354606006,-1033043507.4468079,-1033043507.4468079,-1033043507.4468079,-1033043507.4468079
63,0.24493755400180758,139.49182341933508,-696562307.960144,-696562307.960144,-696562307.960144,-696562307.960144
64,0.18542200326919586,145.53657974798668,-505000934.27565,-505000934.27565,-505000934.27565,-505000934.27565
65,0.13959898054599765,151.93939327345697,-317629345.90132904,-317629345.90132904,-317629345.90132904,-317629345.90132904
