lag_step,lag_hours,r
-12,-12.000000000349246,0.2700529767979462
-11,-11.000000000320142,0.2633197501552442
-10,-10.000000000291038,0.257157558081176
-9,-9.000000000261934,0.2520836058145051
-8,-8.00000000023283,0.24826650491417335
-7,-7.000000000203727,0.24574431933609198
-6,-6.000000000174623,0.24469354993962103
-5,-5.000000000145519,0.24423027612134293
-4,-4.000000000116415,0.2439322489048228
-3,-3.0000000000873115,0.24377408602466671
-2,-2.0000000000582077,0.24333831993998215
-1,-1.0000000000291038,0.24246728963711184
0,0.0,0.24073187832053783
1,1.0000000000291038,0.2430933044115883
2,2.0000000000582077,0.24707944420684852
3,3.0000000000873115,0.25248027474669354
4,4.000000000116415,0.2595230242956501
5,5.000000000145519,0.26761653114628925
6,6.000000000174623,0.27638802768756054
7,7.000000000203727,0.286288659657779
8,8.00000000023283,0.2946683876902392
9,9.000000000261934,0.3013712014225134
10,10.000000000291038,0.3063276347810366
11,11.000000000320142,0.3097184629506309
12,12.000000000349246,0.3118326553839284
