lag_step,lag_hours,r
-12,-12.000000000349246,0.24548412930669275
-11,-11.000000000320142,0.24851994732607596
-10,-10.000000000291038,0.25178957767917587
-9,-9.000000000261934,0.2552542723024729
-8,-8.00000000023283,0.25641552553756386
-7,-7.000000000203727,0.2576186616853351
-6,-6.000000000174623,0.2588667302000393
-5,-5.000000000145519,0.25975891633254333
-4,-4.000000000116415,0.2597968792558561
-3,-3.0000000000873115,0.2590723460280368
-2,-2.0000000000582077,0.2587720309895888
-1,-1.0000000000291038,0.2582612822574799
0,0.0,0.2574858201464136
1,1.0000000000291038,0.26189915663528207
2,2.0000000000582077,0.26791608099325087
3,3.0000000000873115,0.2753729211915123
4,4.000000000116415,0.284891251080285
5,5.000000000145519,0.29568202099309526
6,6.000000000174623,0.30774097487632596
7,7.000000000203727,0.3195439474415053
8,8.00000000023283,0.33113385341057594
9,9.000000000261934,0.3426391796723181
10,10.000000000291038,0.3530191897028448
11,11.000000000320142,0.3626840865029033
12,12.000000000349246,0.3716416191420901
