lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.2325743852893656e-10,1.2325743852893656e-10,1.2325743852893656e-10,1.2325743852893656e-10
1,971.6244310048473,0.36625663400749947,1.1896774065865936e-10,1.1896774065865936e-10,1.1896774065865936e-10,1.1896774065865936e-10
2,956.7542402749618,0.5001096160252074,1.1255782680125713e-10,1.1255782680125713e-10,1.1255782680125713e-10,1.1255782680125713e-10
3,941.8841473755075,0.6358236496946832,1.0548056461536703e-10,1.0548056461536703e-10,1.0548056461536703e-10,1.0548056461536703e-10
4,927.0137936180281,0.7737023136984883,9.63542595736958e-11,9.63542595736958e-11,9.63542595736958e-11,9.63542595736958e-11
5,912.1431877107561,0.9140599557728831,8.218484858752956e-11,8.218484858752956e-11,8.218484858752956e-11,8.218484858752956e-11
6,897.2725265381572,1.056517394691973,6.799218430381582e-11,6.799218430381582e-11,6.799218430381582e-11,6.799218430381582e-11
7,882.4015480213002,1.200972749516894,5.667111246733274e-11,5.667111246733274e-11,5.667111246733274e-11,5.667111246733274e-11
8,867.5303567964003,1.3475120190675405,4.753841059317502e-11,4.753841059317502e-11,4.753841059317502e-11,4.753841059317502e-11
9,852.6592652163091,1.4962539028284811,4.036077252503693e-11,4.036077252503693e-11,4.036077252503693e-11,4.036077252503693e-11
10,837.7879949747113,1.6472308870137926,3.447341296396095e-11,3.447341296396095e-11,3.447341296396095e-11,3.447341296396095e-11
11,822.9164001887356,1.8005751816165532,3.03048841990865e-11,3.03048841990865e-11,3.03048841990865e-11,3.03048841990865e-11
12,805.5656263644386,1.9827939680123745,2.641559931659956e-11,2.641559931659956e-11,2.641559931659956e-11,2.641559931659956e-11
13,783.256871457526,2.2224936871622756,2.2440079024316673e-11,2.2440079024316673e-11,2.2440079024316673e-11,2.2440079024316673e-11
14,758.4695103909143,2.4962949930620897,1.9357069548433127e-11,1.9357069548433127e-11,1.9357069548433127e-11,1.9357069548433127e-11
15,733.6809880795391,2.77814138452743,1.7394129538679104e-11,1.7394129538679104e-11,1.7394129538679104e-11,1.7394129538679104e-11
16,708.8908488634015,3.067972755313559,1.565065694768805e-11,1.565065694768805e-11,1.565065694768805e-11,1.565065694768805e-11
17,684.1004760822683,3.3661126328894038,1.3165839624789479e-11,1.3165839624789479e-11,1.3165839624789479e-11,1.3165839624789479e-11
18,653.1112285285492,3.753393324301299,1.0152597342033597e-11,1.0152597342033597e-11,1.0152597342033597e-11,1.0152597342033597e-11
19,615.9205705120047,4.2379797038361025,7.233263844307211e-12,7.233263844307211e-12,7.233263844307211e-12,7.233263844307211e-12
20,578.7272043823215,4.752775529501931,7.458800035123891e-12,7.458800035123891e-12,7.458800035123891e-12,7.458800035123891e-12
21,541.5297974405477,5.293982624262083,6.911192332804899e-12,6.911192332804899e-12,6.911192332804899e-12,6.911192332804899e-12
22,504.3267976709419,5.866525051820845,7.767521429231096e-12,7.767521429231096e-12,7.767521429231096e-12,7.767521429231096e-12
23,467.1182254346348,6.4783499666903825,7.619657205862088e-12,7.619657205862088e-12,7.619657205862088e-12,7.619657205862088e-12
24,429.9018516259439,7.130616001171602,6.59033598451303e-12,6.59033598451303e-12,6.59033598451303e-12,6.59033598451303e-12
25,392.6748148107893,7.8276962056910495,5.553475323336147e-12,5.553475323336147e-12,5.553475323336147e-12,5.553475323336147e-12
26,355.4364121658684,8.582381437087088,6.217907132137044e-12,6.217907132137044e-12,6.217907132137044e-12,6.217907132137044e-12
27,312.2568471757569,9.510262026437415,5.903171988019573e-12,5.903171988019573e-12,5.903171988019573e-12,5.903171988019573e-12
28,266.2024287155883,10.602168136966553,5.926523693647988e-12,5.926523693647988e-12,5.926523693647988e-12,5.926523693647988e-12
29,226.40807678064118,11.660990898666412,5.583051872630918e-12,5.583051872630918e-12,5.583051872630918e-12,5.583051872630918e-12
30,192.52002788560424,12.736811932907898,6.949607783129864e-12,6.949607783129864e-12,6.949607783129864e-12,6.949607783129864e-12
31,163.6614990234374,13.78656633117675,9.209529984607036e-12,9.209529984607036e-12,9.209529984607036e-12,9.209529984607036e-12
32,139.11500549316403,14.787671064298221,1.2808345784047092e-11,1.2808345784047092e-11,1.2808345784047092e-11,1.2808345784047092e-11
33,118.25,15.906170270258151,3.913527963959975e-12,3.913527963959975e-12,3.913527963959975e-12,3.913527963959975e-12
34,100.51435089111324,17.24273064490245,1.3000725120375817e-13,1.3000725120375817e-13,1.3000725120375817e-13,1.3000725120375817e-13
35,85.43901824951189,18.813372559902348,1.8931014292076378e-16,1.8931014292076378e-16,1.8931014292076378e-16,1.8931014292076378e-16
36,72.55786132812501,20.65052603534648,8.094364154448063e-19,8.094364154448063e-19,8.094364154448063e-19,8.094364154448063e-19
37,61.495662689209006,22.74331462627693,5.848251558093262e-21,5.848251558093262e-21,5.848251558093262e-21,5.848251558093262e-21
38,52.015911102294844,24.86505040859316,7.233942185889915e-23,7.233942185889915e-23,7.233942185889915e-23,7.233942185889915e-23
39,43.90966415405282,27.052485734519244,2.852074927017506e-24,2.852074927017506e-24,2.852074927017506e-24,2.852074927017506e-24
40,36.9927101135254,29.32647120258809,1.5013520990306221e-25,1.5013520990306221e-25,1.5013520990306221e-25,1.5013520990306221e-25
41,31.08891105651863,31.748905700260213,8.707720456270704e-27,8.707720456270704e-27,8.707720456270704e-27,8.707720456270704e-27
42,26.049108505249027,34.31199278898532,4.1755986087821535e-28,4.1755986087821535e-28,4.1755986087821535e-28,4.1755986087821535e-28
43,21.76100349426269,37.02114906529215,2.0948207598956452e-29,2.0948207598956452e-29,2.0948207598956452e-29,2.0948207598956452e-29
44,18.124349594116172,40.00166859906441,1.190857143606921e-30,1.190857143606921e-30,1.190857143606921e-30,1.190857143606921e-30
45,15.05025005340576,43.13537659190267,8.720593609022847e-32,8.720593609022847e-32,8.720593609022847e-32,8.720593609022847e-32
46,12.460150718688988,46.41231625206779,5.688437306511853e-33,5.688437306511853e-33,5.688437306511853e-33,5.688437306511853e-33
