lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,6.162871926446828e-11,3.081435963223414e-11,6.162871926446828e-11,9.244307889670243e-11
1,971.6244310048473,0.36625663400749947,5.948387032932968e-11,2.974193516466484e-11,5.948387032932968e-11,8.922580549399452e-11
2,956.7542402749618,0.5001096160252074,5.6278913400628565e-11,2.8139456700314282e-11,5.6278913400628565e-11,8.441837010094285e-11
3,941.8841473755075,0.6358236496946832,5.2740282307683514e-11,2.6370141153841757e-11,5.2740282307683514e-11,7.911042346152527e-11
4,927.0137936180281,0.7737023136984883,4.81771297868479e-11,2.408856489342395e-11,4.81771297868479e-11,7.226569468027184e-11
5,912.1431877107561,0.9140599557728831,4.109242429376478e-11,2.054621214688239e-11,4.109242429376478e-11,6.163863644064717e-11
6,897.2725265381572,1.056517394691973,3.399609215190791e-11,1.6998046075953956e-11,3.399609215190791e-11,5.099413822786187e-11
7,882.4015480213002,1.200972749516894,2.833555623366637e-11,1.4167778116833185e-11,2.833555623366637e-11,4.2503334350499555e-11
8,867.5303567964003,1.3475120190675405,2.376920529658751e-11,1.1884602648293755e-11,2.376920529658751e-11,3.565380794488127e-11
9,852.6592652163091,1.4962539028284811,2.0180386262518464e-11,1.0090193131259232e-11,2.0180386262518464e-11,3.0270579393777696e-11
10,837.7879949747113,1.6472308870137926,1.7236706481980477e-11,8.618353240990238e-12,1.7236706481980477e-11,2.5855059722970715e-11
11,822.9164001887356,1.8005751816165532,1.515244209954325e-11,7.576221049771625e-12,1.515244209954325e-11,2.2728663149314876e-11
12,805.5656263644386,1.9827939680123745,1.320779965829978e-11,6.603899829149891e-12,1.320779965829978e-11,1.981169948744967e-11
13,783.256871457526,2.2224936871622756,1.1220039512158336e-11,5.610019756079169e-12,1.1220039512158336e-11,1.6830059268237506e-11
14,758.4695103909143,2.4962949930620897,9.678534774216564e-12,4.839267387108283e-12,9.678534774216564e-12,1.4517802161324846e-11
15,733.6809880795391,2.77814138452743,8.697064769339552e-12,4.348532384669777e-12,8.697064769339552e-12,1.3045597154009328e-11
16,708.8908488634015,3.067972755313559,7.825328473844026e-12,3.912664236922014e-12,7.825328473844026e-12,1.1737992710766038e-11
17,684.1004760822683,3.3661126328894038,6.582919812394741e-12,3.2914599061973706e-12,6.582919812394741e-12,9.874379718592111e-12
18,653.1112285285492,3.753393324301299,5.0762986710168e-12,2.5381493355084e-12,5.0762986710168e-12,7.614448006525199e-12
19,615.9205705120047,4.2379797038361025,3.6166319221536065e-12,1.8083159610768034e-12,3.6166319221536065e-12,5.42494788323041e-12
20,578.7272043823215,4.752775529501931,3.729400017561946e-12,1.8647000087809737e-12,3.729400017561946e-12,5.594100026342919e-12
21,541.5297974405477,5.293982624262083,3.4555961664024505e-12,1.7277980832012254e-12,3.4555961664024505e-12,5.183394249603675e-12
22,504.3267976709419,5.866525051820845,3.883760714615548e-12,1.9418803573077748e-12,3.883760714615548e-12,5.825641071923322e-12
23,467.1182254346348,6.4783499666903825,3.8098286029310456e-12,1.9049143014655228e-12,3.8098286029310456e-12,5.7147429043965675e-12
24,429.9018516259439,7.130616001171602,3.295167992256516e-12,1.6475839961282586e-12,3.295167992256516e-12,4.9427519883847735e-12
25,392.6748148107893,7.8276962056910495,2.7767376616680744e-12,1.3883688308340378e-12,2.7767376616680744e-12,4.165106492502111e-12
26,355.4364121658684,8.582381437087088,3.1089535660685226e-12,1.5544767830342617e-12,3.1089535660685226e-12,4.663430349102783e-12
27,312.2568471757569,9.510262026437415,2.9515859940097875e-12,1.4757929970048941e-12,2.9515859940097875e-12,4.427378991014681e-12
28,266.2024287155883,10.602168136966553,2.9632618468239947e-12,1.4816309234119973e-12,2.9632618468239947e-12,4.4448927702359914e-12
29,226.40807678064118,11.660990898666412,2.791525936315459e-12,1.39576296815773e-12,2.791525936315459e-12,4.1872889044731886e-12
30,192.52002788560424,12.736811932907898,3.4748038915649327e-12,1.7374019457824663e-12,3.4748038915649327e-12,5.2122058373473986e-12
31,163.6614990234374,13.78656633117675,4.604764992303518e-12,2.3023824961517595e-12,4.604764992303518e-12,6.9071474884552776e-12
32,139.11500549316403,14.787671064298221,6.404172892023546e-12,3.2020864460117734e-12,6.404172892023546e-12,9.606259338035319e-12
33,118.25,15.906170270258151,1.9567639819799876e-12,9.783819909899938e-13,1.9567639819799876e-12,2.9351459729699814e-12
34,100.51435089111324,17.24273064490245,6.500362560187908e-14,3.250181280093954e-14,6.500362560187908e-14,9.750543840281863e-14
35,85.43901824951189,18.813372559902348,9.465507146038189e-17,4.732753573019095e-17,9.465507146038189e-17,1.4198260719057283e-16
36,72.55786132812501,20.65052603534648,4.0471820772240316e-19,2.023591038612016e-19,4.0471820772240316e-19,6.070773115836047e-19
37,61.495662689209006,22.74331462627693,2.9241257790466317e-21,1.4620628895233158e-21,2.9241257790466317e-21,4.3861886685699475e-21
38,52.015911102294844,24.86505040859316,3.6169710929449773e-23,1.808485546472498e-23,3.6169710929449773e-23,5.425456639417456e-23
39,43.90966415405282,27.052485734519244,1.4260374635088301e-24,7.130187317544535e-25,1.4260374635088301e-24,2.1390561952632064e-24
40,36.9927101135254,29.32647120258809,7.506760495154121e-26,3.753380247577566e-26,7.506760495154121e-26,1.1260140742730676e-25
41,31.08891105651863,31.748905700260213,4.353860228136305e-27,2.176930114068629e-27,4.353860228136305e-27,6.53079034220398e-27
42,26.049108505249027,34.31199278898532,2.0877993043915987e-28,1.0438996521960606e-28,2.0877993043915987e-28,3.131698956587137e-28
43,21.76100349426269,37.02114906529215,1.0474103799480701e-29,5.237051899741587e-30,1.0474103799480701e-29,1.5711155699219814e-29
44,18.124349594116172,40.00166859906441,5.95428571803539e-31,2.977142859018088e-31,5.95428571803539e-31,8.931428577052693e-31
45,15.05025005340576,43.13537659190267,4.3602968045116317e-32,2.18014840225592e-32,4.3602968045116317e-32,6.540445206767343e-32
46,12.460150718688988,46.41231625206779,2.8442186532559325e-33,1.422109326627969e-33,2.8442186532559325e-33,4.266327979883896e-33
47,10.284920692443848,49.82768019095182,2.2485222558747046e-34,1.1242611279373523e-34,2.2485222558747046e-34,3.372783383812057e-34
48,8.45639133453367,53.56635280817698,1.3067868324705759e-35,6.533934162352879e-36,1.3067868324705759e-35,1.9601802487058638e-35
49,6.9183211326599094,57.94668908538693,7.32703235648045e-37,3.663516178240225e-37,7.32703235648045e-37,1.0990548534720676e-36
50,5.631801128387452,62.66958728955136,4.612476070461131e-38,2.3062380352305656e-38,4.612476070461131e-38,6.918714105691697e-38
51,4.561686038970957,67.91525438663359,2.5281891792807623e-39,1.2640945896403812e-39,2.5281891792807623e-39,3.792283768921143e-39
52,3.6765010356903076,73.3631121633128,1.2520062828443243e-40,6.260032752830886e-41,1.2520062828443243e-40,1.87800929040556e-40
53,2.948321104049681,79.34230382171329,3.920303227666336e-42,1.961814698888832e-42,3.920303227666336e-42,5.878791756443839e-42
54,2.352590560913084,86.018857705306,2.661244958358526e-41,1.3408215654560345e-41,2.661244958358526e-41,3.981668351261019e-41
55,1.867879986762998,93.22960225320968,9.064715544913851e-40,4.576518374971935e-40,9.064715544913851e-40,1.3552912714855766e-39
56,1.475649952888488,100.60502256166222,2.645176825932333e-38,1.4269872128907116e-38,2.645176825932333e-38,3.8633664389739546e-38
57,1.159975051879883,107.73082344928824,5.365973038681808e-37,2.7825378642356345e-37,5.365973038681808e-37,7.949408213127981e-37
58,0.9072870612144474,113.85502993179693,1.2705949552129976e-35,8.19225931074067e-36,1.2705949552129976e-35,1.721963979351928e-35
59,0.705956518650055,119.50150429056178,2.6531615026117346e-34,2.4026787045587545e-34,2.6531615026117346e-34,2.903644300664715e-34
60,0.5462926030159002,124.26019209911512,1.4512911841159963e-33,1.4393032207678358e-33,1.4512911841159963e-33,1.4632791474641569e-33
61,0.4204235970973968,129.0678850820543,4.8376493056501905e-33,4.7101385998947255e-33,4.8376493056501905e-33,4.9651600114056554e-33
62,0.3217835724353792,134.07248354606006,1.139594165245849e-32,1.10564918371087e-32,1.139594165245849e-32,1.1735391467808279e-32
63,0.24493755400180758,139.49182341933508,2.3063176101832814e-32,2.2643625345208777e-32,2.3063176101832814e-32,2.348272685845685e-32
64,0.18542200326919586,145.53657974798668,3.4380576248435564e-32,3.396285041261074e-32,3.4380576248435564e-32,3.479830208426038e-32
65,0.13959898054599765,151.93939327345697,4.746039623424161e-32,4.7170486261447205e-32,4.746039623424161e-32,4.7750306207036026e-32
66,0.10452400892972945,158.88929696286775,5.912737226619967e-32,5.879330901805051e-32,5.912737226619967e-32,5.946143551434883e-32
67,0.07767251133918768,165.48256960765983,7.115382675073506e-32,7.088324231044814e-32,7.115382675073506e-32,7.142441119102197e-32
68,0.056792508810758584,171.42659336444058,7.979114258633788e-32,7.954498648373182e-32,7.979114258633788e-32,8.003729868894395e-32
69,0.04014250636100761,177.6333305500759,7.724081492753411e-32,7.705251704915078e-32,7.724081492753411e-32,7.742911280591744e-32
70,0.02635000087320806,187.62940859763327,5.896615861866934e-32,5.881373755082279e-32,5.896615861866934e-32,5.911857968651588e-32
71,0.014999999664723887,209.86898406193973,2.8859484319180153e-32,2.875261980688023e-32,2.8859484319180153e-32,2.896634883148007e-32
