lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.516136705172844e-11,4.516136705172844e-11,4.516136705172844e-11,4.516136705172844e-11
1,971.6244310048473,0.36625663400749947,3.586367749616053e-11,3.586367749616053e-11,3.586367749616053e-11,3.586367749616053e-11
2,956.7542402749618,0.5001096160252074,2.994756267806026e-11,2.994756267806026e-11,2.994756267806026e-11,2.994756267806026e-11
3,941.8841473755075,0.6358236496946832,2.289247393943257e-11,2.289247393943257e-11,2.289247393943257e-11,2.289247393943257e-11
4,927.0137936180281,0.7737023136984883,1.5480659403133115e-11,1.5480659403133115e-11,1.5480659403133115e-11,1.5480659403133115e-11
5,912.1431877107561,0.9140599557728831,8.934837263209683e-12,8.934837263209683e-12,8.934837263209683e-12,8.934837263209683e-12
6,897.2725265381572,1.056517394691973,4.357677769001253e-12,4.357677769001253e-12,4.357677769001253e-12,4.357677769001253e-12
7,882.4015480213002,1.200972749516894,1.6009849431849798e-12,1.6009849431849798e-12,1.6009849431849798e-12,1.6009849431849798e-12
8,867.5303567964003,1.3475120190675405,7.002200521049482e-13,7.002200521049482e-13,7.002200521049482e-13,7.002200521049482e-13
9,852.6592652163091,1.4962539028284811,5.655039115609306e-13,5.655039115609306e-13,5.655039115609306e-13,5.655039115609306e-13
10,837.7879949747113,1.6472308870137926,5.477381313526421e-13,5.477381313526421e-13,5.477381313526421e-13,5.477381313526421e-13
11,822.9164001887356,1.8005751816165532,6.010763833833398e-13,6.010763833833398e-13,6.010763833833398e-13,6.010763833833398e-13
12,805.5656263644386,1.9827939680123745,6.831238552911955e-13,6.831238552911955e-13,6.831238552911955e-13,6.831238552911955e-13
13,783.256871457526,2.2224936871622756,8.391580452364057e-13,8.391580452364057e-13,8.391580452364057e-13,8.391580452364057e-13
14,758.4695103909143,2.4962949930620897,1.0761499240138337e-12,1.0761499240138337e-12,1.0761499240138337e-12,1.0761499240138337e-12
15,733.6809880795391,2.77814138452743,1.2167602453776304e-12,1.2167602453776304e-12,1.2167602453776304e-12,1.2167602453776304e-12
16,708.8908488634015,3.067972755313559,1.0262773464554576e-12,1.0262773464554576e-12,1.0262773464554576e-12,1.0262773464554576e-12
17,684.1004760822683,3.3661126328894038,6.565166680322028e-13,6.565166680322028e-13,6.565166680322028e-13,6.565166680322028e-13
18,653.1112285285492,3.753393324301299,3.22632239225141e-13,3.22632239225141e-13,3.22632239225141e-13,3.22632239225141e-13
19,615.9205705120047,4.2379797038361025,1.4882308031769816e-13,1.4882308031769816e-13,1.4882308031769816e-13,1.4882308031769816e-13
20,578.7272043823215,4.752775529501931,1.487894874513591e-13,1.487894874513591e-13,1.487894874513591e-13,1.487894874513591e-13
21,541.5297974405477,5.293982624262083,1.1150106972098582e-13,1.1150106972098582e-13,1.1150106972098582e-13,1.1150106972098582e-13
22,504.3267976709419,5.866525051820845,1.0167660627079194e-13,1.0167660627079194e-13,1.0167660627079194e-13,1.0167660627079194e-13
23,467.1182254346348,6.4783499666903825,2.083902879963671e-13,2.083902879963671e-13,2.083902879963671e-13,2.083902879963671e-13
24,429.9018516259439,7.130616001171602,2.679434168058183e-13,2.679434168058183e-13,2.679434168058183e-13,2.679434168058183e-13
25,392.6748148107893,7.8276962056910495,2.28362021635651e-13,2.28362021635651e-13,2.28362021635651e-13,2.28362021635651e-13
26,355.4364121658684,8.582381437087088,3.005479388689898e-13,3.005479388689898e-13,3.005479388689898e-13,3.005479388689898e-13
27,312.2568471757569,9.510262026437415,4.452589962870803e-13,4.452589962870803e-13,4.452589962870803e-13,4.452589962870803e-13
28,266.2024287155883,10.602168136966553,5.677505323825584e-13,5.677505323825584e-13,5.677505323825584e-13,5.677505323825584e-13
29,226.40807678064118,11.660990898666412,4.752259837922744e-13,4.752259837922744e-13,4.752259837922744e-13,4.752259837922744e-13
30,192.52002788560424,12.736811932907898,3.4400958067150417e-13,3.4400958067150417e-13,3.4400958067150417e-13,3.4400958067150417e-13
31,163.6614990234374,13.78656633117675,1.782369696217781e-13,1.782369696217781e-13,1.782369696217781e-13,1.782369696217781e-13
32,139.11500549316403,14.787671064298221,6.853930224848983e-14,6.853930224848983e-14,6.853930224848983e-14,6.853930224848983e-14
33,118.25,15.906170270258151,6.7277738663730914e-15,6.7277738663730914e-15,6.7277738663730914e-15,6.7277738663730914e-15
34,100.51435089111324,17.24273064490245,3.3693775204297094e-16,3.3693775204297094e-16,3.3693775204297094e-16,3.3693775204297094e-16
35,85.43901824951189,18.813372559902348,7.87090471238854e-17,7.87090471238854e-17,7.87090471238854e-17,7.87090471238854e-17
36,72.55786132812501,20.65052603534648,4.121095209246971e-18,4.121095209246971e-18,4.121095209246971e-18,4.121095209246971e-18
37,61.495662689209006,22.74331462627693,1.743144788750484e-19,1.743144788750484e-19,1.743144788750484e-19,1.743144788750484e-19
38,52.015911102294844,24.86505040859316,3.1237065206430103e-21,3.1237065206430103e-21,3.1237065206430103e-21,3.1237065206430103e-21
39,43.90966415405282,27.052485734519244,7.692094308525276e-23,7.692094308525276e-23,7.692094308525276e-23,7.692094308525276e-23
40,36.9927101135254,29.32647120258809,7.367270558879453e-25,7.367270558879453e-25,7.367270558879453e-25,7.367270558879453e-25
41,31.08891105651863,31.748905700260213,1.4603437853534845e-26,1.4603437853534845e-26,1.4603437853534845e-26,1.4603437853534845e-26
42,26.049108505249027,34.31199278898532,1.5199624075542176e-28,1.5199624075542176e-28,1.5199624075542176e-28,1.5199624075542176e-28
43,21.76100349426269,37.02114906529215,4.353046166364317e-30,4.353046166364317e-30,4.353046166364317e-30,4.353046166364317e-30
44,18.124349594116172,40.00166859906441,1.541002934800843e-31,1.541002934800843e-31,1.541002934800843e-31,1.541002934800843e-31
45,15.05025005340576,43.13537659190267,1.2128034958012535e-32,1.2128034958012535e-32,1.2128034958012535e-32,1.2128034958012535e-32
46,12.460150718688988,46.41231625206779,3.047867274632636e-34,3.047867274632636e-34,3.047867274632636e-34,3.047867274632636e-34
47,10.284920692443848,49.82768019095182,1.7971454766858978e-35,1.7971454766858978e-35,1.7971454766858978e-35,1.7971454766858978e-35
48,8.45639133453367,53.56635280817698,3.644682348613866e-37,3.644682348613866e-37,3.644682348613866e-37,3.644682348613866e-37
49,6.9183211326599094,57.94668908538693,2.1143065471501368e-38,2.1143065471501368e-38,2.1143065471501368e-38,2.1143065471501368e-38
50,5.631801128387452,62.66958728955136,5.061119342213324e-40,5.061119342213324e-40,5.061119342213324e-40,5.061119342213324e-40
51,4.561686038970957,67.91525438663359,2.892720883359417e-41,2.892720883359417e-41,2.892720883359417e-41,2.892720883359417e-41
52,3.6765010356903076,73.3631121633128,8.204082726161398e-43,8.204082726161398e-43,8.204082726161398e-43,8.204082726161398e-43
