lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.258068352586422e-11,1.129034176293211e-11,2.258068352586422e-11,3.387102528879633e-11
1,971.6244310048473,0.36625663400749947,1.7931838748080265e-11,8.965919374040133e-12,1.7931838748080265e-11,2.68977581221204e-11
2,956.7542402749618,0.5001096160252074,1.497378133903013e-11,7.486890669515065e-12,1.497378133903013e-11,2.2460672008545195e-11
3,941.8841473755075,0.6358236496946832,1.1446236969716285e-11,5.7231184848581425e-12,1.1446236969716285e-11,1.7169355454574427e-11
4,927.0137936180281,0.7737023136984883,7.740329701566558e-12,3.870164850783279e-12,7.740329701566558e-12,1.1610494552349836e-11
5,912.1431877107561,0.9140599557728831,4.467418631604841e-12,2.2337093158024206e-12,4.467418631604841e-12,6.701127947407262e-12
6,897.2725265381572,1.056517394691973,2.1788388845006263e-12,1.0894194422503132e-12,2.1788388845006263e-12,3.2682583267509393e-12
7,882.4015480213002,1.200972749516894,8.004924715924899e-13,4.0024623579624496e-13,8.004924715924899e-13,1.200738707388735e-12
8,867.5303567964003,1.3475120190675405,3.501100260524741e-13,1.7505501302623706e-13,3.501100260524741e-13,5.251650390787112e-13
9,852.6592652163091,1.4962539028284811,2.827519557804653e-13,1.4137597789023265e-13,2.827519557804653e-13,4.2412793367069797e-13
10,837.7879949747113,1.6472308870137926,2.7386906567632103e-13,1.3693453283816052e-13,2.7386906567632103e-13,4.1080359851448155e-13
11,822.9164001887356,1.8005751816165532,3.005381916916699e-13,1.5026909584583496e-13,3.005381916916699e-13,4.5080728753750487e-13
12,805.5656263644386,1.9827939680123745,3.4156192764559776e-13,1.7078096382279888e-13,3.4156192764559776e-13,5.123428914683966e-13
13,783.256871457526,2.2224936871622756,4.1957902261820285e-13,2.0978951130910143e-13,4.1957902261820285e-13,6.293685339273043e-13
14,758.4695103909143,2.4962949930620897,5.380749620069168e-13,2.690374810034584e-13,5.380749620069168e-13,8.071124430103753e-13
