lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.9536797813567673e-11,1.9536797813567673e-11,1.9536797813567673e-11,1.9536797813567673e-11
1,971.6244310048473,0.36625663400749947,1.8263000282718565e-11,1.8263000282718565e-11,1.8263000282718565e-11,1.8263000282718565e-11
2,956.7542402749618,0.5001096160252074,1.743816681018373e-11,1.743816681018373e-11,1.743816681018373e-11,1.743816681018373e-11
3,941.8841473755075,0.6358236496946832,1.4866025691173588e-11,1.4866025691173588e-11,1.4866025691173588e-11,1.4866025691173588e-11
4,927.0137936180281,0.7737023136984883,1.1549630487239265e-11,1.1549630487239265e-11,1.1549630487239265e-11,1.1549630487239265e-11
5,912.1431877107561,0.9140599557728831,8.871256857709691e-12,8.871256857709691e-12,8.871256857709691e-12,8.871256857709691e-12
6,897.2725265381572,1.056517394691973,6.5885137594529044e-12,6.5885137594529044e-12,6.5885137594529044e-12,6.5885137594529044e-12
7,882.4015480213002,1.200972749516894,3.979280206003898e-12,3.979280206003898e-12,3.979280206003898e-12,3.979280206003898e-12
8,867.5303567964003,1.3475120190675405,2.7424159276419462e-12,2.7424159276419462e-12,2.7424159276419462e-12,2.7424159276419462e-12
9,852.6592652163091,1.4962539028284811,2.1009709017676937e-12,2.1009709017676937e-12,2.1009709017676937e-12,2.1009709017676937e-12
10,837.7879949747113,1.6472308870137926,1.7813679211468464e-12,1.7813679211468464e-12,1.7813679211468464e-12,1.7813679211468464e-12
11,822.9164001887356,1.8005751816165532,1.5813796147941772e-12,1.5813796147941772e-12,1.5813796147941772e-12,1.5813796147941772e-12
12,805.5656263644386,1.9827939680123745,1.3969511085832368e-12,1.3969511085832368e-12,1.3969511085832368e-12,1.3969511085832368e-12
13,783.256871457526,2.2224936871622756,1.1972277578246127e-12,1.1972277578246127e-12,1.1972277578246127e-12,1.1972277578246127e-12
14,758.4695103909143,2.4962949930620897,1.0793212429409186e-12,1.0793212429409186e-12,1.0793212429409186e-12,1.0793212429409186e-12
15,733.6809880795391,2.77814138452743,1.0200232617826226e-12,1.0200232617826226e-12,1.0200232617826226e-12,1.0200232617826226e-12
16,708.8908488634015,3.067972755313559,8.585227989992545e-13,8.585227989992545e-13,8.585227989992545e-13,8.585227989992545e-13
17,684.1004760822683,3.3661126328894038,6.188765619241346e-13,6.188765619241346e-13,6.188765619241346e-13,6.188765619241346e-13
18,653.1112285285492,3.753393324301299,4.076869346330491e-13,4.076869346330491e-13,4.076869346330491e-13,4.076869346330491e-13
19,615.9205705120047,4.2379797038361025,2.8064230281154497e-13,2.8064230281154497e-13,2.8064230281154497e-13,2.8064230281154497e-13
20,578.7272043823215,4.752775529501931,3.997907820801265e-13,3.997907820801265e-13,3.997907820801265e-13,3.997907820801265e-13
21,541.5297974405477,5.293982624262083,6.286320225013293e-13,6.286320225013293e-13,6.286320225013293e-13,6.286320225013293e-13
22,504.3267976709419,5.866525051820845,7.317948578382303e-13,7.317948578382303e-13,7.317948578382303e-13,7.317948578382303e-13
23,467.1182254346348,6.4783499666903825,6.122229219736298e-13,6.122229219736298e-13,6.122229219736298e-13,6.122229219736298e-13
24,429.9018516259439,7.130616001171602,5.795142513074853e-13,5.795142513074853e-13,5.795142513074853e-13,5.795142513074853e-13
25,392.6748148107893,7.8276962056910495,5.625224006719871e-13,5.625224006719871e-13,5.625224006719871e-13,5.625224006719871e-13
26,355.4364121658684,8.582381437087088,7.536501549378015e-13,7.536501549378015e-13,7.536501549378015e-13,7.536501549378015e-13
27,312.2568471757569,9.510262026437415,6.641999657388603e-13,6.641999657388603e-13,6.641999657388603e-13,6.641999657388603e-13
28,266.2024287155883,10.602168136966553,4.851229097716809e-13,4.851229097716809e-13,4.851229097716809e-13,4.851229097716809e-13
29,226.40807678064118,11.660990898666412,2.82372152452857e-13,2.82372152452857e-13,2.82372152452857e-13,2.82372152452857e-13
30,192.52002788560424,12.736811932907898,1.8378255375125926e-13,1.8378255375125926e-13,1.8378255375125926e-13,1.8378255375125926e-13
