lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,9.768398906783836e-12,4.884199453391918e-12,9.768398906783836e-12,1.4652598360175754e-11
1,971.6244310048473,0.36625663400749947,9.131500141359283e-12,4.565750070679641e-12,9.131500141359283e-12,1.3697250212038923e-11
2,956.7542402749618,0.5001096160252074,8.719083405091865e-12,4.359541702545932e-12,8.719083405091865e-12,1.3078625107637798e-11
3,941.8841473755075,0.6358236496946832,7.433012845586794e-12,3.716506422793397e-12,7.433012845586794e-12,1.1149519268380191e-11
4,927.0137936180281,0.7737023136984883,5.774815243619633e-12,2.8874076218098164e-12,5.774815243619633e-12,8.66222286542945e-12
5,912.1431877107561,0.9140599557728831,4.4356284288548455e-12,2.2178142144274227e-12,4.4356284288548455e-12,6.653442643282269e-12
6,897.2725265381572,1.056517394691973,3.2942568797264522e-12,1.6471284398632261e-12,3.2942568797264522e-12,4.9413853195896785e-12
7,882.4015480213002,1.200972749516894,1.989640103001949e-12,9.948200515009746e-13,1.989640103001949e-12,2.9844601545029237e-12
8,867.5303567964003,1.3475120190675405,1.3712079638209731e-12,6.856039819104866e-13,1.3712079638209731e-12,2.0568119457314596e-12
9,852.6592652163091,1.4962539028284811,1.0504854508838468e-12,5.252427254419235e-13,1.0504854508838468e-12,1.5757281763257701e-12
10,837.7879949747113,1.6472308870137926,8.906839605734232e-13,4.4534198028671166e-13,8.906839605734232e-13,1.3360259408601349e-12
11,822.9164001887356,1.8005751816165532,7.906898073970886e-13,3.9534490369854435e-13,7.906898073970886e-13,1.186034711095633e-12
12,805.5656263644386,1.9827939680123745,6.984755542916184e-13,3.4923777714580926e-13,6.984755542916184e-13,1.0477133314374276e-12
13,783.256871457526,2.2224936871622756,5.986138789123063e-13,2.993069394561532e-13,5.986138789123063e-13,8.979208183684595e-13
14,758.4695103909143,2.4962949930620897,5.396606214704593e-13,2.698303107352297e-13,5.396606214704593e-13,8.09490932205689e-13
15,733.6809880795391,2.77814138452743,5.100116308913113e-13,2.550058154456557e-13,5.100116308913113e-13,7.650174463369669e-13
16,708.8908488634015,3.067972755313559,4.2926139949962735e-13,2.146306997498137e-13,4.2926139949962735e-13,6.43892099249441e-13
17,684.1004760822683,3.3661126328894038,3.094382809620674e-13,1.5471914048103375e-13,3.094382809620674e-13,4.64157421443101e-13
18,653.1112285285492,3.753393324301299,2.0384346731652465e-13,1.0192173365826238e-13,2.0384346731652465e-13,3.0576520097478694e-13
19,615.9205705120047,4.2379797038361025,1.4032115140577258e-13,7.016057570288633e-14,1.4032115140577258e-13,2.1048172710865884e-13
20,578.7272043823215,4.752775529501931,1.998953910400633e-13,9.994769552003168e-14,1.998953910400633e-13,2.998430865600949e-13
21,541.5297974405477,5.293982624262083,3.1431601125066464e-13,1.5715800562533237e-13,3.1431601125066464e-13,4.71474016875997e-13
22,504.3267976709419,5.866525051820845,3.6589742891911516e-13,1.829487144595576e-13,3.6589742891911516e-13,5.488461433786728e-13
23,467.1182254346348,6.4783499666903825,3.061114609868149e-13,1.5305573049340748e-13,3.061114609868149e-13,4.591671914802224e-13
24,429.9018516259439,7.130616001171602,2.8975712565374266e-13,1.4487856282687136e-13,2.8975712565374266e-13,4.34635688480614e-13
25,392.6748148107893,7.8276962056910495,2.8126120033599355e-13,1.406306001679968e-13,2.8126120033599355e-13,4.2189180050399034e-13
26,355.4364121658684,8.582381437087088,3.7682507746890073e-13,1.884125387344504e-13,3.7682507746890073e-13,5.652376162033511e-13
27,312.2568471757569,9.510262026437415,3.3209998286943017e-13,1.660499914347151e-13,3.3209998286943017e-13,4.981499743041453e-13
28,266.2024287155883,10.602168136966553,2.4256145488584044e-13,1.2128072744292025e-13,2.4256145488584044e-13,3.638421823287607e-13
29,226.40807678064118,11.660990898666412,1.411860762264285e-13,7.059303811321425e-14,1.411860762264285e-13,2.1177911433964274e-13
30,192.52002788560424,12.736811932907898,9.189127687562963e-14,4.5945638437814816e-14,9.189127687562963e-14,1.3783691531344445e-13
31,163.6614990234374,13.78656633117675,4.128429699414004e-14,2.064214849707002e-14,4.128429699414004e-14,6.192644549121006e-14
32,139.11500549316403,14.787671064298221,5.231015238417763e-15,2.6155076192088816e-15,5.231015238417763e-15,7.846522857626645e-15
33,118.25,15.906170270258151,1.7378165970089526e-16,8.689082985044763e-17,1.7378165970089526e-16,2.606724895513429e-16
34,100.51435089111324,17.24273064490245,1.4044801096047002e-18,7.022400548023502e-19,1.4044801096047002e-18,2.10672016440705e-18
35,85.43901824951189,18.813372559902348,1.7397898317294364e-19,8.698949158647183e-20,1.7397898317294364e-19,2.6096847475941544e-19
36,72.55786132812501,20.65052603534648,1.3711229744073028e-20,6.855614872036516e-21,1.3711229744073028e-20,2.056684461610954e-20
37,61.495662689209006,22.74331462627693,9.274291865356164e-22,4.637145932678084e-22,9.274291865356164e-22,1.3911437798034247e-21
38,52.015911102294844,24.86505040859316,4.0523090873418016e-23,2.0261545436709064e-23,4.0523090873418016e-23,6.078463631012697e-23
39,43.90966415405282,27.052485734519244,4.0245833842938885e-24,2.012291692146957e-24,4.0245833842938885e-24,6.03687507644082e-24
40,36.9927101135254,29.32647120258809,2.766025819758019e-25,1.3830129098790256e-25,2.766025819758019e-25,4.149038729637012e-25
41,31.08891105651863,31.748905700260213,1.4219036813865547e-26,7.109518406932964e-27,1.4219036813865547e-26,2.132855522079813e-26
42,26.049108505249027,34.31199278898532,6.149359785422856e-28,3.0746798927116056e-28,6.149359785422856e-28,9.224039678134106e-28
43,21.76100349426269,37.02114906529215,2.0873470375136615e-29,1.0436735187569271e-29,2.0873470375136615e-29,3.131020556270396e-29
44,18.124349594116172,40.00166859906441,6.931787176752196e-31,3.4658935883766357e-31,6.931787176752196e-31,1.0397680765127756e-30
45,15.05025005340576,43.13537659190267,2.2812788534277e-32,1.1406394267141033e-32,2.2812788534277e-32,3.4219182801412964e-32
46,12.460150718688988,46.41231625206779,7.198986393813182e-34,3.5994931969073042e-34,7.198986393813182e-34,1.0798479590719059e-33
47,10.284920692443848,49.82768019095182,2.281342572954322e-35,1.140671286477161e-35,2.281342572954322e-35,3.422013859431483e-35
48,8.45639133453367,53.56635280817698,4.516937461598128e-37,2.258468730799064e-37,4.516937461598128e-37,6.775406192397192e-37
49,6.9183211326599094,57.94668908538693,1.2899835771221418e-38,6.449917885610709e-39,1.2899835771221418e-38,1.934975365683213e-38
50,5.631801128387452,62.66958728955136,3.336641917147474e-40,1.668320958573737e-40,3.336641917147474e-40,5.004962875721211e-40
51,4.561686038970957,67.91525438663359,1.3848111679338897e-41,6.924055839669448e-42,1.3848111679338897e-41,2.0772167519008345e-41
52,3.6765010356903076,73.3631121633128,3.82214854573162e-43,1.911093432952841e-43,3.82214854573162e-43,5.733203658510399e-43
53,2.948321104049681,79.34230382171329,7.614930848133716e-43,3.841672847338749e-43,7.614930848133716e-43,1.1388188848928686e-42
54,2.352590560913084,86.018857705306,2.4215447862345683e-41,1.2232993072428935e-41,2.4215447862345683e-41,3.619790265226243e-41
55,1.867879986762998,93.22960225320968,8.721638440847965e-40,4.501030910411762e-40,8.721638440847965e-40,1.2942245971284168e-39
56,1.475649952888488,100.60502256166222,3.403074155982636e-38,1.8072516358792714e-38,3.403074155982636e-38,4.998896676086001e-38
