lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.3579483373666197e-12,1.3579483373666197e-12,1.3579483373666197e-12,1.3579483373666197e-12
1,971.6244310048473,0.36625663400749947,1.3580199439887087e-12,1.3580199439887087e-12,1.3580199439887087e-12,1.3580199439887087e-12
2,956.7542402749618,0.5001096160252074,1.3442588240224146e-12,1.3442588240224146e-12,1.3442588240224146e-12,1.3442588240224146e-12
3,941.8841473755075,0.6358236496946832,1.3051974514398055e-12,1.3051974514398055e-12,1.3051974514398055e-12,1.3051974514398055e-12
4,927.0137936180281,0.7737023136984883,1.251669195778573e-12,1.251669195778573e-12,1.251669195778573e-12,1.251669195778573e-12
5,912.1431877107561,0.9140599557728831,1.200660529666237e-12,1.200660529666237e-12,1.200660529666237e-12,1.200660529666237e-12
6,897.2725265381572,1.056517394691973,1.1204918734931278e-12,1.1204918734931278e-12,1.1204918734931278e-12,1.1204918734931278e-12
7,882.4015480213002,1.200972749516894,1.0310530532453428e-12,1.0310530532453428e-12,1.0310530532453428e-12,1.0310530532453428e-12
8,867.5303567964003,1.3475120190675405,9.309393427115627e-13,9.309393427115627e-13,9.309393427115627e-13,9.309393427115627e-13
9,852.6592652163091,1.4962539028284811,8.286243766702912e-13,8.286243766702912e-13,8.286243766702912e-13,8.286243766702912e-13
10,837.7879949747113,1.6472308870137926,7.198287413230477e-13,7.198287413230477e-13,7.198287413230477e-13,7.198287413230477e-13
11,822.9164001887356,1.8005751816165532,6.040623586361351e-13,6.040623586361351e-13,6.040623586361351e-13,6.040623586361351e-13
12,805.5656263644386,1.9827939680123745,5.232845241265653e-13,5.232845241265653e-13,5.232845241265653e-13,5.232845241265653e-13
13,783.256871457526,2.2224936871622756,4.56917643888396e-13,4.56917643888396e-13,4.56917643888396e-13,4.56917643888396e-13
14,758.4695103909143,2.4962949930620897,3.94687473622002e-13,3.94687473622002e-13,3.94687473622002e-13,3.94687473622002e-13
15,733.6809880795391,2.77814138452743,3.438361983983775e-13,3.438361983983775e-13,3.438361983983775e-13,3.438361983983775e-13
16,708.8908488634015,3.067972755313559,3.0943678587665154e-13,3.0943678587665154e-13,3.0943678587665154e-13,3.0943678587665154e-13
17,684.1004760822683,3.3661126328894038,2.9000074622979756e-13,2.9000074622979756e-13,2.9000074622979756e-13,2.9000074622979756e-13
18,653.1112285285492,3.753393324301299,2.882180499235824e-13,2.882180499235824e-13,2.882180499235824e-13,2.882180499235824e-13
