lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,7.710714242785216e-12,7.371227158443561e-12,7.710714242785216e-12,8.05020132712687e-12
1,971.6244310048473,0.36625663400749947,7.680018033278998e-12,7.340513047281821e-12,7.680018033278998e-12,8.019523019276175e-12
2,956.7542402749618,0.5001096160252074,7.620428626031189e-12,7.284363920025586e-12,7.620428626031189e-12,7.956493332036793e-12
3,941.8841473755075,0.6358236496946832,7.538568454804627e-12,7.212269091944676e-12,7.538568454804627e-12,7.864867817664579e-12
4,927.0137936180281,0.7737023136984883,7.278865421229297e-12,6.965948122284654e-12,7.278865421229297e-12,7.591782720173941e-12
5,912.1431877107561,0.9140599557728831,6.941787642225003e-12,6.641622509808445e-12,6.941787642225003e-12,7.241952774641563e-12
6,897.2725265381572,1.056517394691973,6.439963025632374e-12,6.159840057259092e-12,6.439963025632374e-12,6.7200859940056556e-12
7,882.4015480213002,1.200972749516894,5.8967961868243836e-12,5.6390329235130485e-12,5.8967961868243836e-12,6.1545594501357195e-12
8,867.5303567964003,1.3475120190675405,5.319270805756014e-12,5.0865359700781234e-12,5.319270805756014e-12,5.552005641433904e-12
9,852.6592652163091,1.4962539028284811,4.5290630940896046e-12,4.321906999922032e-12,4.5290630940896046e-12,4.736219188257177e-12
10,837.7879949747113,1.6472308870137926,3.589854140834463e-12,3.4098969555037012e-12,3.589854140834463e-12,3.769811326165225e-12
11,822.9164001887356,1.8005751816165532,2.3157885222294e-12,2.1647729325703658e-12,2.3157885222294e-12,2.4668041118884335e-12
12,805.5656263644386,1.9827939680123745,1.4401531957205237e-12,1.3093320646888825e-12,1.4401531957205237e-12,1.570974326752165e-12
13,783.256871457526,2.2224936871622756,1.060721513228737e-12,9.464921022566381e-13,1.060721513228737e-12,1.1749509242008362e-12
14,758.4695103909143,2.4962949930620897,8.257662959584681e-13,7.270944275529676e-13,8.257662959584681e-13,9.244381643639685e-13
15,733.6809880795391,2.77814138452743,6.497084574109377e-13,5.637494078113433e-13,6.497084574109377e-13,7.35667507010532e-13
16,708.8908488634015,3.067972755313559,5.2252533339421e-13,4.4516613692504707e-13,5.2252533339421e-13,5.998845298633728e-13
17,684.1004760822683,3.3661126328894038,4.3394255790587405e-13,3.614423713484247e-13,4.3394255790587405e-13,5.064427444633235e-13
18,653.1112285285492,3.753393324301299,3.743742296347409e-13,3.0231971715384526e-13,3.743742296347409e-13,4.464287421156365e-13
19,615.9205705120047,4.2379797038361025,3.238422230431757e-13,2.506907694706786e-13,3.238422230431757e-13,3.9699367661567287e-13
20,578.7272043823215,4.752775529501931,2.913683243006867e-13,2.167599105334971e-13,2.913683243006867e-13,3.659767380678763e-13
21,541.5297974405477,5.293982624262083,2.722432885110144e-13,1.9668301069191387e-13,2.722432885110144e-13,3.47803566330115e-13
22,504.3267976709419,5.866525051820845,2.57601266785069e-13,1.8617204118249963e-13,2.57601266785069e-13,3.2903049238763837e-13
23,467.1182254346348,6.4783499666903825,2.6537407780584817e-13,1.999257164197073e-13,2.6537407780584817e-13,3.308224391919891e-13
24,429.9018516259439,7.130616001171602,3.070781666994959e-13,2.5243845447382694e-13,3.070781666994959e-13,3.617178789251649e-13
25,392.6748148107893,7.8276962056910495,3.8199315220159257e-13,3.4551439686815276e-13,3.8199315220159257e-13,4.184719075350323e-13
26,355.4364121658684,8.582381437087088,3.563844166252141e-13,3.3518978720858603e-13,3.563844166252141e-13,3.775790460418421e-13
27,312.2568471757569,9.510262026437415,2.434917797794538e-13,2.2776216278968585e-13,2.434917797794538e-13,2.5922139676922173e-13
28,266.2024287155883,10.602168136966553,1.9495280184216535e-13,1.831268644578505e-13,1.9495280184216535e-13,2.067787392264802e-13
29,226.40807678064118,11.660990898666412,1.732670325307583e-13,1.6503301125861993e-13,1.732670325307583e-13,1.8150105380289664e-13
30,192.52002788560424,12.736811932907898,1.6058113803084834e-13,1.5216473971108105e-13,1.6058113803084834e-13,1.6899753635061563e-13
31,163.6614990234374,13.78656633117675,1.6181202858487643e-13,1.5238882354177105e-13,1.6181202858487643e-13,1.712352336279818e-13
32,139.11500549316403,14.787671064298221,2.533940001933469e-13,2.4330717612188237e-13,2.533940001933469e-13,2.634808242648114e-13
33,118.25,15.906170270258151,6.486920474415248e-13,6.400879262298671e-13,6.486920474415248e-13,6.572961686531826e-13
34,100.51435089111324,17.24273064490245,1.2060321819431815e-12,1.2026769005908627e-12,1.2060321819431815e-12,1.2093874632955e-12
35,85.43901824951189,18.813372559902348,9.52846305928642e-13,9.511227264729486e-13,9.52846305928642e-13,9.545698853843353e-13
36,72.55786132812501,20.65052603534648,4.702431691995983e-13,4.701336731304736e-13,4.702431691995983e-13,4.703526652687232e-13
37,61.495662689209006,22.74331462627693,2.8899824246776673e-13,2.8896188943025215e-13,2.8899824246776673e-13,2.8903459550528136e-13
38,52.015911102294844,24.86505040859316,2.5886730603088493e-13,2.5886022734380304e-13,2.5886730603088493e-13,2.588743847179668e-13
39,43.90966415405282,27.052485734519244,2.4794488696475966e-13,2.4794466263257257e-13,2.4794488696475966e-13,2.479451112969468e-13
40,36.9927101135254,29.32647120258809,2.3510263949297303e-13,2.351004943205182e-13,2.3510263949297303e-13,2.3510478466542785e-13
41,31.08891105651863,31.748905700260213,2.1889479689141465e-13,2.1889450522662684e-13,2.1889479689141465e-13,2.1889508855620246e-13
42,26.049108505249027,34.31199278898532,2.104775612033645e-13,2.1047748404749728e-13,2.104775612033645e-13,2.1047763835923174e-13
43,21.76100349426269,37.02114906529215,2.0817314170292757e-13,2.0817312607679417e-13,2.0817314170292757e-13,2.0817315732906096e-13
44,18.124349594116172,40.00166859906441,2.0572689647923346e-13,2.0572688135655134e-13,2.0572689647923346e-13,2.0572691160191554e-13
45,15.05025005340576,43.13537659190267,1.9939594469517655e-13,1.993959013298904e-13,1.9939594469517655e-13,1.9939598806046272e-13
46,12.460150718688988,46.41231625206779,1.9590995779001168e-13,1.9590995545414198e-13,1.9590995779001168e-13,1.9590996012588135e-13
47,10.284920692443848,49.82768019095182,1.9481489696900592e-13,1.9481489169382017e-13,1.9481489696900592e-13,1.948149022441917e-13
48,8.45639133453367,53.56635280817698,1.9435038401442243e-13,1.9435038389460554e-13,1.9435038401442243e-13,1.9435038413423932e-13
49,6.9183211326599094,57.94668908538693,1.9406498582027768e-13,1.9406498525077789e-13,1.9406498582027768e-13,1.9406498638977744e-13
50,5.631801128387452,62.66958728955136,1.938393088012771e-13,1.9383930875070347e-13,1.938393088012771e-13,1.9383930885185074e-13
51,4.561686038970957,67.91525438663359,1.9365303046853396e-13,1.9365303044882082e-13,1.9365303046853396e-13,1.9365303048824708e-13
52,3.6765010356903076,73.3631121633128,1.9353909867767675e-13,1.935390986254589e-13,1.9353909867767675e-13,1.9353909872989463e-13
53,2.948321104049681,79.34230382171329,1.93574904237783e-13,1.9357490423209856e-13,1.93574904237783e-13,1.9357490424346742e-13
54,2.352590560913084,86.018857705306,1.9363379146386825e-13,1.9363379140712751e-13,1.9363379146386825e-13,1.9363379152060898e-13
55,1.867879986762998,93.22960225320968,1.9354511078464996e-13,1.9354511073132258e-13,1.9354511078464996e-13,1.9354511083797733e-13
56,1.475649952888488,100.60502256166222,1.9331503401653637e-13,1.9331503401323875e-13,1.9331503401653637e-13,1.9331503401983398e-13
