lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.880222058389248e-13,4.880222058389248e-13,4.880222058389248e-13,4.880222058389248e-13
1,971.6244310048473,0.36625663400749947,4.886504647005611e-13,4.886504647005611e-13,4.886504647005611e-13,4.886504647005611e-13
2,956.7542402749618,0.5001096160252074,4.927174128224044e-13,4.927174128224044e-13,4.927174128224044e-13,4.927174128224044e-13
3,941.8841473755075,0.6358236496946832,4.94350421317747e-13,4.94350421317747e-13,4.94350421317747e-13,4.94350421317747e-13
4,927.0137936180281,0.7737023136984883,4.921437642310149e-13,4.921437642310149e-13,4.921437642310149e-13,4.921437642310149e-13
5,912.1431877107561,0.9140599557728831,4.579635768041466e-13,4.579635768041466e-13,4.579635768041466e-13,4.579635768041466e-13
6,897.2725265381572,1.056517394691973,3.731469597912993e-13,3.731469597912993e-13,3.731469597912993e-13,3.731469597912993e-13
7,882.4015480213002,1.200972749516894,2.9067240506707224e-13,2.9067240506707224e-13,2.9067240506707224e-13,2.9067240506707224e-13
8,867.5303567964003,1.3475120190675405,2.4880361431633744e-13,2.4880361431633744e-13,2.4880361431633744e-13,2.4880361431633744e-13
9,852.6592652163091,1.4962539028284811,2.217678896156198e-13,2.217678896156198e-13,2.217678896156198e-13,2.217678896156198e-13
10,837.7879949747113,1.6472308870137926,2.0533188435989241e-13,2.0533188435989241e-13,2.0533188435989241e-13,2.0533188435989241e-13
11,822.9164001887356,1.8005751816165532,1.9144269543905493e-13,1.9144269543905493e-13,1.9144269543905493e-13,1.9144269543905493e-13
12,805.5656263644386,1.9827939680123745,1.7726098718830857e-13,1.7726098718830857e-13,1.7726098718830857e-13,1.7726098718830857e-13
13,783.256871457526,2.2224936871622756,1.5985551341282977e-13,1.5985551341282977e-13,1.5985551341282977e-13,1.5985551341282977e-13
14,758.4695103909143,2.4962949930620897,1.4232476771904899e-13,1.4232476771904899e-13,1.4232476771904899e-13,1.4232476771904899e-13
15,733.6809880795391,2.77814138452743,1.2685496928264383e-13,1.2685496928264383e-13,1.2685496928264383e-13,1.2685496928264383e-13
16,708.8908488634015,3.067972755313559,1.1334488835212734e-13,1.1334488835212734e-13,1.1334488835212734e-13,1.1334488835212734e-13
17,684.1004760822683,3.3661126328894038,1.045486123268645e-13,1.045486123268645e-13,1.045486123268645e-13,1.045486123268645e-13
18,653.1112285285492,3.753393324301299,9.663450056395607e-14,9.663450056395607e-14,9.663450056395607e-14,9.663450056395607e-14
19,615.9205705120047,4.2379797038361025,8.481649742129144e-14,8.481649742129144e-14,8.481649742129144e-14,8.481649742129144e-14
