lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.069054602149837e-12,9.470490506901057e-13,1.069054602149837e-12,1.1910601536095683e-12
1,971.6244310048473,0.36625663400749947,1.0845669673309579e-12,9.624043511558176e-13,1.0845669673309579e-12,1.2067295835060982e-12
2,956.7542402749618,0.5001096160252074,1.1943669861705097e-12,1.0711876329649084e-12,1.1943669861705097e-12,1.3175463393761107e-12
3,941.8841473755075,0.6358236496946832,1.32278283445125e-12,1.1991952291218132e-12,1.32278283445125e-12,1.4463704397806867e-12
4,927.0137936180281,0.7737023136984883,1.4336995418604567e-12,1.310663600802703e-12,1.4336995418604567e-12,1.5567354829182105e-12
5,912.1431877107561,0.9140599557728831,1.415405534329597e-12,1.3009146401285605e-12,1.415405534329597e-12,1.5298964285306336e-12
6,897.2725265381572,1.056517394691973,1.1951956270770452e-12,1.1019088871292204e-12,1.1951956270770452e-12,1.2884823670248701e-12
7,882.4015480213002,1.200972749516894,9.366592314491386e-13,8.639911301823706e-13,9.366592314491386e-13,1.0093273327159068e-12
8,867.5303567964003,1.3475120190675405,8.681811930972195e-13,8.059802895181352e-13,8.681811930972195e-13,9.30382096676304e-13
9,852.6592652163091,1.4962539028284811,8.538369837727305e-13,7.983950113688255e-13,8.538369837727305e-13,9.092789561766355e-13
10,837.7879949747113,1.6472308870137926,8.505917531576829e-13,7.992587820677099e-13,8.505917531576829e-13,9.019247242476561e-13
11,822.9164001887356,1.8005751816165532,8.226760974904285e-13,7.748154236306648e-13,8.226760974904285e-13,8.705367713501922e-13
12,805.5656263644386,1.9827939680123745,7.472934131381898e-13,7.029781663411127e-13,7.472934131381898e-13,7.91608659935267e-13
13,783.256871457526,2.2224936871622756,6.006591947812698e-13,5.606953164280624e-13,6.006591947812698e-13,6.406230731344773e-13
14,758.4695103909143,2.4962949930620897,4.408706898656234e-13,4.0528949793586115e-13,4.408706898656234e-13,4.764518817953857e-13
15,733.6809880795391,2.77814138452743,3.778872253909069e-13,3.461734830702459e-13,3.778872253909069e-13,4.0960096771156783e-13
16,708.8908488634015,3.067972755313559,3.784405588769373e-13,3.5010433678890545e-13,3.784405588769373e-13,4.0677678096496915e-13
17,684.1004760822683,3.3661126328894038,4.1569232188894686e-13,3.895551688072307e-13,4.1569232188894686e-13,4.41829474970663e-13
18,653.1112285285492,3.753393324301299,4.737000486293003e-13,4.495414234883112e-13,4.737000486293003e-13,4.978586737702892e-13
19,615.9205705120047,4.2379797038361025,5.327222590831019e-13,5.115181347277791e-13,5.327222590831019e-13,5.539263834384247e-13
20,578.7272043823215,4.752775529501931,5.807292095683243e-13,5.62970937169842e-13,5.807292095683243e-13,5.984874819668066e-13
21,541.5297974405477,5.293982624262083,6.265442361657999e-13,6.122751455762981e-13,6.265442361657999e-13,6.408133267553017e-13
22,504.3267976709419,5.866525051820845,6.774277804799375e-13,6.671460768074598e-13,6.774277804799375e-13,6.87709484152415e-13
23,467.1182254346348,6.4783499666903825,7.450733629817132e-13,7.387243221539204e-13,7.450733629817132e-13,7.514224038095059e-13
24,429.9018516259439,7.130616001171602,9.126380163173665e-13,9.085534967008665e-13,9.126380163173665e-13,9.167225359338664e-13
25,392.6748148107893,7.8276962056910495,1.2008220555239985e-12,1.1976698287212236e-12,1.2008220555239985e-12,1.2039742823267733e-12
26,355.4364121658684,8.582381437087088,1.348196885057705e-12,1.3442431958407446e-12,1.348196885057705e-12,1.3521505742746656e-12
27,312.2568471757569,9.510262026437415,1.0156217335274557e-12,1.0085081720954024e-12,1.0156217335274557e-12,1.0227352949595088e-12
28,266.2024287155883,10.602168136966553,6.528817931131923e-13,6.442204259813486e-13,6.528817931131923e-13,6.615431602450358e-13
29,226.40807678064118,11.660990898666412,4.718100684380982e-13,4.64079788173077e-13,4.718100684380982e-13,4.795403487031193e-13
30,192.52002788560424,12.736811932907898,3.763949165047325e-13,3.702423336486146e-13,3.763949165047325e-13,3.825474993608504e-13
31,163.6614990234374,13.78656633117675,5.208684235105467e-13,5.165854554377366e-13,5.208684235105467e-13,5.251513915833567e-13
32,139.11500549316403,14.787671064298221,7.237294909307198e-13,7.195812396818409e-13,7.237294909307198e-13,7.278777421795988e-13
33,118.25,15.906170270258151,9.243390811053877e-13,9.202429290846195e-13,9.243390811053877e-13,9.284352331261558e-13
