lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.277803846697278e-13,5.277803846697278e-13,5.277803846697278e-13,5.277803846697278e-13
1,971.6244310048473,0.36625663400749947,5.319857957541397e-13,5.319857957541397e-13,5.319857957541397e-13,5.319857957541397e-13
2,956.7542402749618,0.5001096160252074,5.289835983600871e-13,5.289835983600871e-13,5.289835983600871e-13,5.289835983600871e-13
3,941.8841473755075,0.6358236496946832,4.973669362095536e-13,4.973669362095536e-13,4.973669362095536e-13,4.973669362095536e-13
4,927.0137936180281,0.7737023136984883,3.9805219833262357e-13,3.9805219833262357e-13,3.9805219833262357e-13,3.9805219833262357e-13
5,912.1431877107561,0.9140599557728831,2.9342703010917455e-13,2.9342703010917455e-13,2.9342703010917455e-13,2.9342703010917455e-13
6,897.2725265381572,1.056517394691973,2.5143062149067356e-13,2.5143062149067356e-13,2.5143062149067356e-13,2.5143062149067356e-13
7,882.4015480213002,1.200972749516894,2.0935043696423128e-13,2.0935043696423128e-13,2.0935043696423128e-13,2.0935043696423128e-13
8,867.5303567964003,1.3475120190675405,1.798878814717613e-13,1.798878814717613e-13,1.798878814717613e-13,1.798878814717613e-13
9,852.6592652163091,1.4962539028284811,1.4460744964952853e-13,1.4460744964952853e-13,1.4460744964952853e-13,1.4460744964952853e-13
10,837.7879949747113,1.6472308870137926,1.1232999963124e-13,1.1232999963124e-13,1.1232999963124e-13,1.1232999963124e-13
11,822.9164001887356,1.8005751816165532,7.706066545015304e-14,7.706066545015304e-14,7.706066545015304e-14,7.706066545015304e-14
12,805.5656263644386,1.9827939680123745,5.0656045543265415e-14,5.0656045543265415e-14,5.0656045543265415e-14,5.0656045543265415e-14
13,783.256871457526,2.2224936871622756,3.46290206861316e-14,3.46290206861316e-14,3.46290206861316e-14,3.46290206861316e-14
14,758.4695103909143,2.4962949930620897,3.6269830933049986e-14,3.6269830933049986e-14,3.6269830933049986e-14,3.6269830933049986e-14
15,733.6809880795391,2.77814138452743,4.3810828916681686e-14,4.3810828916681686e-14,4.3810828916681686e-14,4.3810828916681686e-14
16,708.8908488634015,3.067972755313559,4.7414055009324215e-14,4.7414055009324215e-14,4.7414055009324215e-14,4.7414055009324215e-14
17,684.1004760822683,3.3661126328894038,4.789161546926804e-14,4.789161546926804e-14,4.789161546926804e-14,4.789161546926804e-14
18,653.1112285285492,3.753393324301299,4.90105260316981e-14,4.90105260316981e-14,4.90105260316981e-14,4.90105260316981e-14
19,615.9205705120047,4.2379797038361025,5.31871860341068e-14,5.31871860341068e-14,5.31871860341068e-14,5.31871860341068e-14
20,578.7272043823215,4.752775529501931,5.681095478032258e-14,5.681095478032258e-14,5.681095478032258e-14,5.681095478032258e-14
21,541.5297974405477,5.293982624262083,5.981765080132243e-14,5.981765080132243e-14,5.981765080132243e-14,5.981765080132243e-14
22,504.3267976709419,5.866525051820845,6.105667415465155e-14,6.105667415465155e-14,6.105667415465155e-14,6.105667415465155e-14
23,467.1182254346348,6.4783499666903825,4.9864360769108055e-14,4.9864360769108055e-14,4.9864360769108055e-14,4.9864360769108055e-14
