lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.117120258240481e-11,3.103925748623738e-11,3.117120258240481e-11,3.1303147678572244e-11
1,971.6244310048473,0.36625663400749947,3.119408846322116e-11,3.106109201428262e-11,3.119408846322116e-11,3.1327084912159695e-11
2,956.7542402749618,0.5001096160252074,3.102263756333891e-11,3.0890391663748887e-11,3.102263756333891e-11,3.1154883462928933e-11
3,941.8841473755075,0.6358236496946832,3.065525576120543e-11,3.0530914027153045e-11,3.065525576120543e-11,3.0779597495257825e-11
4,927.0137936180281,0.7737023136984883,3.1858053851317434e-11,3.1758540801734274e-11,3.1858053851317434e-11,3.195756690090059e-11
5,912.1431877107561,0.9140599557728831,3.1848235099801364e-11,3.177487834227407e-11,3.1848235099801364e-11,3.192159185732866e-11
6,897.2725265381572,1.056517394691973,3.116693131355587e-11,3.11040736581832e-11,3.116693131355587e-11,3.122978896892854e-11
7,882.4015480213002,1.200972749516894,2.995386028261881e-11,2.990152267337775e-11,2.995386028261881e-11,3.000619789185987e-11
8,867.5303567964003,1.3475120190675405,2.8153557103100993e-11,2.810858513273305e-11,2.8153557103100993e-11,2.8198529073468932e-11
9,852.6592652163091,1.4962539028284811,2.607350359107369e-11,2.6037351728661308e-11,2.607350359107369e-11,2.6109655453486073e-11
10,837.7879949747113,1.6472308870137926,2.466710289819408e-11,2.463902039828627e-11,2.466710289819408e-11,2.4695185398101888e-11
11,822.9164001887356,1.8005751816165532,2.3844970509079152e-11,2.3825705342716614e-11,2.3844970509079152e-11,2.386423567544169e-11
12,805.5656263644386,1.9827939680123745,2.26758456289268e-11,2.2663181617540983e-11,2.26758456289268e-11,2.2688509640312615e-11
13,783.256871457526,2.2224936871622756,1.9401120558691078e-11,1.9392463303519544e-11,1.9401120558691078e-11,1.940977781386261e-11
14,758.4695103909143,2.4962949930620897,1.4269814518685418e-11,1.4260747060952155e-11,1.4269814518685418e-11,1.4278881976418679e-11
15,733.6809880795391,2.77814138452743,9.588316136408826e-12,9.577363429179655e-12,9.588316136408826e-12,9.599268843637996e-12
16,708.8908488634015,3.067972755313559,6.056197636252071e-12,6.04434412249974e-12,6.056197636252071e-12,6.068051150004402e-12
17,684.1004760822683,3.3661126328894038,3.83643065359079e-12,3.824457749723474e-12,3.83643065359079e-12,3.848403557458107e-12
18,653.1112285285492,3.753393324301299,2.746871005774641e-12,2.7346183742667167e-12,2.746871005774641e-12,2.7591236372825655e-12
19,615.9205705120047,4.2379797038361025,2.3411339747479894e-12,2.3278371782394625e-12,2.3411339747479894e-12,2.3544307712565163e-12
20,578.7272043823215,4.752775529501931,2.1129942324842093e-12,2.0987914937891288e-12,2.1129942324842093e-12,2.1271969711792902e-12
21,541.5297974405477,5.293982624262083,1.832295831150078e-12,1.8173414184497472e-12,1.832295831150078e-12,1.8472502438504085e-12
