lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-16303698519.209473,-16303698519.209473,-16303698519.209473,-16303698519.209473
1,971.6244310048473,0.36625663400749947,-16396789946.250534,-16396789946.250534,-16396789946.250534,-16396789946.250534
2,956.7542402749618,0.5001096160252074,-16637530431.112854,-16637530431.112854,-16637530431.112854,-16637530431.112854
3,941.8841473755075,0.6358236496946832,-17025675251.189087,-17025675251.189087,-17025675251.189087,-17025675251.189087
4,927.0137936180281,0.7737023136984883,-15789044069.439499,-15789044069.439499,-15789044069.439499,-15789044069.439499
5,912.1431877107561,0.9140599557728831,-12707525544.092834,-12707525544.092834,-12707525544.092834,-12707525544.092834
6,897.2725265381572,1.056517394691973,-8499343473.774689,-8499343473.774689,-8499343473.774689,-8499343473.774689
7,882.4015480213002,1.200972749516894,-5351491251.979446,-5351491251.979446,-5351491251.979446,-5351491251.979446
8,867.5303567964003,1.3475120190675405,-2958285497.894249,-2958285497.894249,-2958285497.894249,-2958285497.894249
9,852.6592652163091,1.4962539028284811,-647464993.4490356,-647464993.4490356,-647464993.4490356,-647464993.4490356
10,837.7879949747113,1.6472308870137926,382933155.95009995,382933155.95009995,382933155.95009995,382933155.95009995
11,822.9164001887356,1.8005751816165532,1079623164.3807945,1079623164.3807945,1079623164.3807945,1079623164.3807945
12,805.5656263644386,1.9827939680123745,1881212802.0307617,1881212802.0307617,1881212802.0307617,1881212802.0307617
13,783.256871457526,2.2224936871622756,2629364733.380102,2629364733.380102,2629364733.380102,2629364733.380102
14,758.4695103909143,2.4962949930620897,2994451304.6616898,2994451304.6616898,2994451304.6616898,2994451304.6616898
15,733.6809880795391,2.77814138452743,3217104643.121546,3217104643.121546,3217104643.121546,3217104643.121546
16,708.8908488634015,3.067972755313559,3669888240.37409,3669888240.37409,3669888240.37409,3669888240.37409
17,684.1004760822683,3.3661126328894038,4435578751.52311,4435578751.52311,4435578751.52311,4435578751.52311
18,653.1112285285492,3.753393324301299,5598689748.450175,5598689748.450175,5598689748.450175,5598689748.450175
19,615.9205705120047,4.2379797038361025,7373970307.436216,7373970307.436216,7373970307.436216,7373970307.436216
20,578.7272043823215,4.752775529501931,8643627583.247467,8643627583.247467,8643627583.247467,8643627583.247467
21,541.5297974405477,5.293982624262083,10230082805.738293,10230082805.738293,10230082805.738293,10230082805.738293
22,504.3267976709419,5.866525051820845,12871560428.9464,12871560428.9464,12871560428.9464,12871560428.9464
23,467.1182254346348,6.4783499666903825,18245237748.84199,18245237748.84199,18245237748.84199,18245237748.84199
24,429.9018516259439,7.130616001171602,27310891049.008514,27310891049.008514,27310891049.008514,27310891049.008514
25,392.6748148107893,7.8276962056910495,41825075482.73151,41825075482.73151,41825075482.73151,41825075482.73151
26,355.4364121658684,8.582381437087088,49492955686.00349,49492955686.00349,49492955686.00349,49492955686.00349
27,312.2568471757569,9.510262026437415,53998588162.23842,53998588162.23842,53998588162.23842,53998588162.23842
28,266.2024287155883,10.602168136966553,177808957510.74863,177808957510.74863,177808957510.74863,177808957510.74863
29,226.40807678064118,11.660990898666412,402406374205.85,402406374205.85,402406374205.85,402406374205.85
30,192.52002788560424,12.736811932907898,448393073512.5065,448393073512.5065,448393073512.5065,448393073512.5065
31,163.6614990234374,13.78656633117675,429846477638.674,429846477638.674,429846477638.674,429846477638.674
32,139.11500549316403,14.787671064298221,428271544015.53723,428271544015.53723,428271544015.53723,428271544015.53723
33,118.25,15.906170270258151,559782536041.0625,559782536041.0625,559782536041.0625,559782536041.0625
34,100.51435089111324,17.24273064490245,31055954840.109665,31055954840.109665,31055954840.109665,31055954840.109665
35,85.43901824951189,18.813372559902348,419173226.4861469,419173226.4861469,419173226.4861469,419173226.4861469
36,72.55786132812501,20.65052603534648,62716841.392222404,62716841.392222404,62716841.392222404,62716841.392222404
37,61.495662689209006,22.74331462627693,-19883682.260235786,-19883682.260235786,-19883682.260235786,-19883682.260235786
38,52.015911102294844,24.86505040859316,42380573.25686836,42380573.25686836,42380573.25686836,42380573.25686836
39,43.90966415405282,27.052485734519244,-32294559.438114166,-32294559.438114166,-32294559.438114166,-32294559.438114166
40,36.9927101135254,29.32647120258809,27083580.068666458,27083580.068666458,27083580.068666458,27083580.068666458
41,31.08891105651863,31.748905700260213,20026168.41166687,20026168.41166687,20026168.41166687,20026168.41166687
42,26.049108505249027,34.31199278898532,20306995.39363861,20306995.39363861,20306995.39363861,20306995.39363861
43,21.76100349426269,37.02114906529215,25314802.06409836,25314802.06409836,25314802.06409836,25314802.06409836
44,18.124349594116172,40.00166859906441,-10670680.806427002,-10670680.806427002,-10670680.806427002,-10670680.806427002
45,15.05025005340576,43.13537659190267,20729813.558998108,20729813.558998108,20729813.558998108,20729813.558998108
46,12.460150718688988,46.41231625206779,27130116.415267944,27130116.415267944,27130116.415267944,27130116.415267944
47,10.284920692443848,49.82768019095182,24300853.790374756,24300853.790374756,24300853.790374756,24300853.790374756
48,8.45639133453367,53.56635280817698,740380.9626464844,740380.9626464844,740380.9626464844,740380.9626464844
49,6.9183211326599094,57.94668908538693,22786924.531051636,22786924.531051636,22786924.531051636,22786924.531051636
50,5.631801128387452,62.66958728955136,34662515.951538086,34662515.951538086,34662515.951538086,34662515.951538086
51,4.561686038970957,67.91525438663359,93627928.7937622,93627928.7937622,93627928.7937622,93627928.7937622
52,3.6765010356903076,73.3631121633128,123996272.689682,123996272.689682,123996272.689682,123996272.689682
53,2.948321104049681,79.34230382171329,112874898.0393982,112874898.0393982,112874898.0393982,112874898.0393982
54,2.352590560913084,86.018857705306,136317125.67764282,136317125.67764282,136317125.67764282,136317125.67764282
