lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,105030282021.11317,100954357391.3108,105030282021.11317,109106206650.91554
1,971.6244310048473,0.36625663400749947,104827830588.44968,100728633101.88705,104827830588.44968,108927028075.01231
2,956.7542402749618,0.5001096160252074,106072893471.51254,101913510863.73433,106072893471.51254,110232276079.29076
3,941.8841473755075,0.6358236496946832,110900060781.35649,106643641968.55922,110900060781.35649,115156479594.15376
4,927.0137936180281,0.7737023136984883,107186476761.65451,103239215744.29465,107186476761.65451,111133737779.01439
5,912.1431877107561,0.9140599557728831,96497191837.8356,93320310451.8124,96497191837.8356,99674073223.85881
6,897.2725265381572,1.056517394691973,81000098917.20181,78875263048.75815,81000098917.20181,83124934785.64548
7,882.4015480213002,1.200972749516894,64845828329.89685,63507955516.90199,64845828329.89685,66183701142.89171
8,867.5303567964003,1.3475120190675405,50547288070.46617,49807716695.99261,50547288070.46617,51286859444.93973
9,852.6592652163091,1.4962539028284811,39122161042.97573,38960294794.61347,39122161042.97573,39284027291.33799
10,837.7879949747113,1.6472308870137926,31921459434.302963,31825726145.315437,31921459434.302963,32017192723.290485
11,822.9164001887356,1.8005751816165532,24955061390.430374,24685155599.33518,24955061390.430374,25224967181.525574
12,805.5656263644386,1.9827939680123745,18360234902.846546,17889931702.338856,18360234902.846546,18830538103.354237
13,783.256871457526,2.2224936871622756,13943780529.5649,13286439346.219875,13943780529.5649,14601121712.909925
14,758.4695103909143,2.4962949930620897,12060739092.575006,11312126266.409584,12060739092.575006,12809351918.740429
15,733.6809880795391,2.77814138452743,11404195147.614223,10599918986.833838,11404195147.614223,12208471308.394611
16,708.8908488634015,3.067972755313559,10809875883.177921,9892403823.0844,10809875883.177921,11727347943.271444
17,684.1004760822683,3.3661126328894038,10429072061.033556,9320177373.152779,10429072061.033556,11537966748.914333
18,653.1112285285492,3.753393324301299,10227618867.131588,8827946430.019045,10227618867.131588,11627291304.244133
19,615.9205705120047,4.2379797038361025,10156353179.513054,8312860602.653999,10156353179.513054,11999845756.372107
20,578.7272043823215,4.752775529501931,10831132574.46589,8670225678.654026,10831132574.46589,12992039470.277758
21,541.5297974405477,5.293982624262083,11270606883.743683,8713086182.30911,11270606883.743683,13828127585.178257
22,504.3267976709419,5.866525051820845,12964638192.440409,9746748085.20381,12964638192.440409,16182528299.67701
23,467.1182254346348,6.4783499666903825,17193089213.226276,12631779776.01578,17193089213.22628,21754398650.436775
24,429.9018516259439,7.130616001171602,26152242934.832207,19324520172.58008,26152242934.832207,32979965697.084335
25,392.6748148107893,7.8276962056910495,46931647328.90939,36475378458.22652,46931647328.90939,57387916199.59227
26,355.4364121658684,8.582381437087088,87671389321.58603,75298150400.08516,87671389321.58603,100044628243.0869
27,312.2568471757569,9.510262026437415,148664486190.3213,135164839149.76167,148664486190.3213,162164133230.8809
28,266.2024287155883,10.602168136966553,260792895734.3534,216340656356.66626,260792895734.3534,305245135112.0406
29,226.40807678064118,11.660990898666412,427146266157.4692,326544672606.0067,427146266157.4692,527747859708.93164
30,192.52002788560424,12.736811932907898,449837697830.6419,337739429452.51526,449837697830.6419,561935966208.7686
31,163.6614990234374,13.78656633117675,510259790548.98584,402798171139.3174,510259790548.98584,617721409958.6544
32,139.11500549316403,14.787671064298221,773214099626.7578,666146213622.8734,773214099626.7578,880281985630.6421
33,118.25,15.906170270258151,430200578105.6669,290254944095.40125,430200578105.6669,570146212115.9325
34,100.51435089111324,17.24273064490245,36585765340.89686,28821776630.869442,36585765340.89686,44349754050.92427
35,85.43901824951189,18.813372559902348,11548310231.07782,11443516924.456282,11548310231.07782,11653103537.699356
36,72.55786132812501,20.65052603534648,7487320038.171553,7471640827.823498,7487320038.171553,7502999248.5196085
37,61.495662689209006,22.74331462627693,7584694753.980986,7579723833.415927,7584694753.980986,7589665674.546045
38,52.015911102294844,24.86505040859316,8943308806.781967,8932713663.46775,8943308806.781967,8953903950.096186
39,43.90966415405282,27.052485734519244,10671173826.349392,10663100186.489864,10671173826.349392,10679247466.20892
40,36.9927101135254,29.32647120258809,13134314612.259224,13127543717.242056,13134314612.259224,13141085507.27639
41,31.08891105651863,31.748905700260213,16623057973.130814,16618051431.027897,16623057973.130814,16628064515.23373
42,26.049108505249027,34.31199278898532,20361429474.98157,20356352726.133163,20361429474.98157,20366506223.82998
43,21.76100349426269,37.02114906529215,23059059503.841087,23052730803.32506,23059059503.841087,23065388204.35711
44,18.124349594116172,40.00166859906441,26069024525.85991,26066356855.658302,26069024525.85991,26071692196.061516
45,15.05025005340576,43.13537659190267,32513360962.662674,32508178509.272926,32513360962.662674,32518543416.05242
46,12.460150718688988,46.41231625206779,39608602130.263855,39601819601.160034,39608602130.263855,39615384659.367676
47,10.284920692443848,49.82768019095182,46256137560.83788,46250062347.39029,46256137560.83788,46262212774.28548
48,8.45639133453367,53.56635280817698,53920691842.25211,53920506747.01145,53920691842.25211,53920876937.492775
49,6.9183211326599094,57.94668908538693,64398519673.36301,64392822942.23024,64398519673.36301,64404216404.49577
50,5.631801128387452,62.66958728955136,77338648410.04915,77329982781.06126,77338648410.04915,77347314039.03703
51,4.561686038970957,67.91525438663359,105157330281.59517,105133923299.39673,105157330281.59517,105180737263.79361
52,3.6765010356903076,73.3631121633128,137394811223.40079,137363812155.22838,137394811223.40079,137425810291.57321
53,2.948321104049681,79.34230382171329,156303789484.2766,156275570759.76675,156303789484.2766,156332008208.78644
54,2.352590560913084,86.018857705306,174741522126.34485,174707442844.9254,174741522126.34485,174775601407.76425
55,1.867879986762998,93.22960225320968,219117375475.28406,219064299487.22757,219117375475.28406,219170451463.3405
56,1.475649952888488,100.60502256166222,279829661181.96454,279815311159.2569,279829661181.96454,279844011204.6722
57,1.159975051879883,107.73082344928824,342306716776.52313,342185450517.20276,342306716776.52313,342427983035.8435
