lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-277096379.42123604,-277096379.42123604,-277096379.42123604,-277096379.42123604
1,971.6244310048473,0.36625663400749947,-239572114.5461731,-239572114.5461731,-239572114.5461731,-239572114.5461731
2,956.7542402749618,0.5001096160252074,-126260845.51137924,-126260845.51137924,-126260845.51137924,-126260845.51137924
3,941.8841473755075,0.6358236496946832,156620810.49594116,156620810.49594116,156620810.49594116,156620810.49594116
4,927.0137936180281,0.7737023136984883,442959312.2372589,442959312.2372589,442959312.2372589,442959312.2372589
5,912.1431877107561,0.9140599557728831,719087045.8705807,719087045.8705807,719087045.8705807,719087045.8705807
6,897.2725265381572,1.056517394691973,1227683941.7340717,1227683941.7340717,1227683941.7340717,1227683941.7340717
7,882.4015480213002,1.200972749516894,1993349139.3070507,1993349139.3070507,1993349139.3070507,1993349139.3070507
8,867.5303567964003,1.3475120190675405,2021801518.6562843,2021801518.6562843,2021801518.6562843,2021801518.6562843
9,852.6592652163091,1.4962539028284811,1916073724.2624054,1916073724.2624054,1916073724.2624054,1916073724.2624054
10,837.7879949747113,1.6472308870137926,1828435067.7436733,1828435067.7436733,1828435067.7436733,1828435067.7436733
11,822.9164001887356,1.8005751816165532,1770567172.7312717,1770567172.7312717,1770567172.7312717,1770567172.7312717
12,805.5656263644386,1.9827939680123745,1720650825.52676,1720650825.52676,1720650825.52676,1720650825.52676
13,783.256871457526,2.2224936871622756,1689017898.135047,1689017898.135047,1689017898.135047,1689017898.135047
14,758.4695103909143,2.4962949930620897,1610123070.4929323,1610123070.4929323,1610123070.4929323,1610123070.4929323
15,733.6809880795391,2.77814138452743,1482540244.9462519,1482540244.9462519,1482540244.9462519,1482540244.9462519
16,708.8908488634015,3.067972755313559,1483611675.7849445,1483611675.7849445,1483611675.7849445,1483611675.7849445
17,684.1004760822683,3.3661126328894038,1640620554.294732,1640620554.294732,1640620554.294732,1640620554.294732
18,653.1112285285492,3.753393324301299,1813096626.79607,1813096626.79607,1813096626.79607,1813096626.79607
19,615.9205705120047,4.2379797038361025,1890550397.7672234,1890550397.7672234,1890550397.7672234,1890550397.7672234
20,578.7272043823215,4.752775529501931,2024968636.5707378,2024968636.5707378,2024968636.5707378,2024968636.5707378
21,541.5297974405477,5.293982624262083,2656717406.762249,2656717406.762249,2656717406.762249,2656717406.762249
22,504.3267976709419,5.866525051820845,4194117956.734661,4194117956.734661,4194117956.734661,4194117956.734661
23,467.1182254346348,6.4783499666903825,5672880459.111927,5672880459.111927,5672880459.111927,5672880459.111927
24,429.9018516259439,7.130616001171602,6279740204.811314,6279740204.811314,6279740204.811314,6279740204.811314
25,392.6748148107893,7.8276962056910495,5853050033.362694,5853050033.362694,5853050033.362694,5853050033.362694
26,355.4364121658684,8.582381437087088,11024367556.866295,11024367556.866295,11024367556.866295,11024367556.866295
27,312.2568471757569,9.510262026437415,21904252169.57213,21904252169.57213,21904252169.57213,21904252169.57213
28,266.2024287155883,10.602168136966553,62525946061.542175,62525946061.542175,62525946061.542175,62525946061.542175
29,226.40807678064118,11.660990898666412,151656253891.77997,151656253891.77997,151656253891.77997,151656253891.77997
30,192.52002788560424,12.736811932907898,176067704548.2317,176067704548.2317,176067704548.2317,176067704548.2317
31,163.6614990234374,13.78656633117675,149681568561.22964,149681568561.22964,149681568561.22964,149681568561.22964
32,139.11500549316403,14.787671064298221,96120000018.52594,96120000018.52594,96120000018.52594,96120000018.52594
33,118.25,15.906170270258151,88837832769.89871,88837832769.89871,88837832769.89871,88837832769.89871
34,100.51435089111324,17.24273064490245,25077069144.103004,25077069144.103004,25077069144.103004,25077069144.103004
35,85.43901824951189,18.813372559902348,2884559844.4953537,2884559844.4953537,2884559844.4953537,2884559844.4953537
36,72.55786132812501,20.65052603534648,289838283.1286621,289838283.1286621,289838283.1286621,289838283.1286621
37,61.495662689209006,22.74331462627693,34684984.831707954,34684984.831707954,34684984.831707954,34684984.831707954
38,52.015911102294844,24.86505040859316,-293361.26238918304,-293361.26238918304,-293361.26238918304,-293361.26238918304
39,43.90966415405282,27.052485734519244,5607906.594205856,5607906.594205856,5607906.594205856,5607906.594205856
40,36.9927101135254,29.32647120258809,4193020.440765381,4193020.440765381,4193020.440765381,4193020.440765381
41,31.08891105651863,31.748905700260213,18275366.922815323,18275366.922815323,18275366.922815323,18275366.922815323
42,26.049108505249027,34.31199278898532,-17036917.39351654,-17036917.39351654,-17036917.39351654,-17036917.39351654
43,21.76100349426269,37.02114906529215,44876035.06815338,44876035.06815338,44876035.06815338,44876035.06815338
44,18.124349594116172,40.00166859906441,-21066072.704223633,-21066072.704223633,-21066072.704223633,-21066072.704223633
45,15.05025005340576,43.13537659190267,-13126964.869426727,-13126964.869426727,-13126964.869426727,-13126964.869426727
46,12.460150718688988,46.41231625206779,51705215.611091614,51705215.611091614,51705215.611091614,51705215.611091614
47,10.284920692443848,49.82768019095182,48764661.180252075,48764661.180252075,48764661.180252075,48764661.180252075
48,8.45639133453367,53.56635280817698,41919363.847335815,41919363.847335815,41919363.847335815,41919363.847335815
49,6.9183211326599094,57.94668908538693,41646248.62338257,41646248.62338257,41646248.62338257,41646248.62338257
50,5.631801128387452,62.66958728955136,73059161.73535156,73059161.73535156,73059161.73535156,73059161.73535156
51,4.561686038970957,67.91525438663359,74306287.09376526,74306287.09376526,74306287.09376526,74306287.09376526
52,3.6765010356903076,73.3631121633128,118719624.75175476,118719624.75175476,118719624.75175476,118719624.75175476
53,2.948321104049681,79.34230382171329,164541716.52392578,164541716.52392578,164541716.52392578,164541716.52392578
54,2.352590560913084,86.018857705306,154138202.56143188,154138202.56143188,154138202.56143188,154138202.56143188
55,1.867879986762998,93.22960225320968,66827811.190826416,66827811.190826416,66827811.190826416,66827811.190826416
56,1.475649952888488,100.60502256166222,-214882376.68914795,-214882376.68914795,-214882376.68914795,-214882376.68914795
57,1.159975051879883,107.73082344928824,-804233864.0666504,-804233864.0666504,-804233864.0666504,-804233864.0666504
58,0.9072870612144474,113.85502993179693,-1412089776.7104492,-1412089776.7104492,-1412089776.7104492,-1412089776.7104492
