lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,16992281021.540321,16923006926.68501,16992281021.540321,17061555116.39563
1,971.6244310048473,0.36625663400749947,16459524604.26803,16399631575.631487,16459524604.26803,16519417632.904573
2,956.7542402749618,0.5001096160252074,16256922943.4407,16225357732.062855,16256922943.4407,16288488154.818546
3,941.8841473755075,0.6358236496946832,16274398995.72229,16235243793.098305,16274398995.72229,16313554198.346275
4,927.0137936180281,0.7737023136984883,16008343076.711435,15897603248.65212,16008343076.711435,16119082904.77075
5,912.1431877107561,0.9140599557728831,14979998736.218838,14800226974.751192,14979998736.218838,15159770497.686481
6,897.2725265381572,1.056517394691973,13531641951.814629,13224720966.381111,13531641951.814629,13838562937.248148
7,882.4015480213002,1.200972749516894,12162651611.88581,11664314327.059048,12162651611.88581,12660988896.712572
8,867.5303567964003,1.3475120190675405,12230418596.33178,11724968216.66771,12230418596.33178,12735868975.99585
9,852.6592652163091,1.4962539028284811,12488617427.004951,12009598995.93935,12488617427.004951,12967635858.070553
10,837.7879949747113,1.6472308870137926,12534156340.340343,12077047573.404427,12534156340.340343,12991265107.276262
11,822.9164001887356,1.8005751816165532,12294147301.425587,11851505508.242767,12294147301.425587,12736789094.608404
12,805.5656263644386,1.9827939680123745,11334347107.483196,10904184401.101505,11334347107.483196,11764509813.864887
13,783.256871457526,2.2224936871622756,9069719753.661585,8647465279.127823,9069719753.661585,9491974228.195347
14,758.4695103909143,2.4962949930620897,7174049937.138624,6771519169.51539,7174049937.138624,7576580704.761857
15,733.6809880795391,2.77814138452743,6690265518.328999,6319630457.092436,6690265518.328999,7060900579.565562
16,708.8908488634015,3.067972755313559,7055436230.527395,6684533311.58116,7055436230.527395,7426339149.473631
17,684.1004760822683,3.3661126328894038,7867680623.93432,7457525485.360637,7867680623.93432,8277835762.508003
18,653.1112285285492,3.753393324301299,9100883724.102423,8647609567.403404,9100883724.102423,9554157880.801441
19,615.9205705120047,4.2379797038361025,11071023605.511538,10598386006.069733,11071023605.511538,11543661204.953342
20,578.7272043823215,4.752775529501931,13437717187.306984,12931475028.1643,13437717187.306984,13943959346.449669
21,541.5297974405477,5.293982624262083,16629693447.244604,15965514095.554043,16629693447.244604,17293872798.935165
22,504.3267976709419,5.866525051820845,22016149682.70884,20967620193.525173,22016149682.70884,23064679171.8925
23,467.1182254346348,6.4783499666903825,29632374262.20684,28214154147.42886,29632374262.20684,31050594376.984825
24,429.9018516259439,7.130616001171602,37248644385.49396,35678709334.29113,37248644385.49396,38818579436.696785
25,392.6748148107893,7.8276962056910495,44907656475.94307,43444393967.6024,44907656475.94307,46370918984.283745
26,355.4364121658684,8.582381437087088,59518789619.94063,56762697730.72406,59518789619.94063,62274881509.1572
27,312.2568471757569,9.510262026437415,105294585295.16028,99818522252.76724,105294585295.16028,110770648337.5533
28,266.2024287155883,10.602168136966553,146599957533.20322,130968471017.81767,146599957533.20322,162231444048.58875
29,226.40807678064118,11.660990898666412,205435160192.36136,167521096719.41638,205435160192.36136,243349223665.30634
30,192.52002788560424,12.736811932907898,212235189380.7815,168218263243.72357,212235189380.7815,256252115517.83942
31,163.6614990234374,13.78656633117675,172494084425.47522,135073692285.16782,172494084425.47522,209914476565.78265
32,139.11500549316403,14.787671064298221,100924974581.53668,76894974576.9052,100924974581.53668,124954974586.16817
33,118.25,15.906170270258151,68587130418.275986,46377672225.801315,68587130418.275986,90796588610.75067
