lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-4852867105.4943695,-4852867105.4943695,-4852867105.4943695,-4852867105.4943695
1,971.6244310048473,0.36625663400749947,-4998838470.073578,-4998838470.073578,-4998838470.073578,-4998838470.073578
2,956.7542402749618,0.5001096160252074,-5322951803.908142,-5322951803.908142,-5322951803.908142,-5322951803.908142
3,941.8841473755075,0.6358236496946832,-5584505321.8797455,-5584505321.8797455,-5584505321.8797455,-5584505321.8797455
4,927.0137936180281,0.7737023136984883,-4502709091.782883,-4502709091.782883,-4502709091.782883,-4502709091.782883
5,912.1431877107561,0.9140599557728831,-3067895416.2644653,-3067895416.2644653,-3067895416.2644653,-3067895416.2644653
6,897.2725265381572,1.056517394691973,-1621408474.6465683,-1621408474.6465683,-1621408474.6465683,-1621408474.6465683
7,882.4015480213002,1.200972749516894,407975612.39714813,407975612.39714813,407975612.39714813,407975612.39714813
8,867.5303567964003,1.3475120190675405,1315223944.9016876,1315223944.9016876,1315223944.9016876,1315223944.9016876
9,852.6592652163091,1.4962539028284811,1639105032.6775208,1639105032.6775208,1639105032.6775208,1639105032.6775208
10,837.7879949747113,1.6472308870137926,1830702423.5998383,1830702423.5998383,1830702423.5998383,1830702423.5998383
11,822.9164001887356,1.8005751816165532,1940653067.1968842,1940653067.1968842,1940653067.1968842,1940653067.1968842
12,805.5656263644386,1.9827939680123745,2106378959.3564377,2106378959.3564377,2106378959.3564377,2106378959.3564377
13,783.256871457526,2.2224936871622756,2428116927.553688,2428116927.553688,2428116927.553688,2428116927.553688
14,758.4695103909143,2.4962949930620897,2913104480.258896,2913104480.258896,2913104480.258896,2913104480.258896
15,733.6809880795391,2.77814138452743,3318694633.5185013,3318694633.5185013,3318694633.5185013,3318694633.5185013
16,708.8908488634015,3.067972755313559,3508666713.459038,3508666713.459038,3508666713.459038,3508666713.459038
17,684.1004760822683,3.3661126328894038,3767271193.4094543,3767271193.4094543,3767271193.4094543,3767271193.4094543
18,653.1112285285492,3.753393324301299,4235563797.508957,4235563797.508957,4235563797.508957,4235563797.508957
19,615.9205705120047,4.2379797038361025,5298798701.155113,5298798701.155113,5298798701.155113,5298798701.155113
20,578.7272043823215,4.752775529501931,5834366790.780235,5834366790.780235,5834366790.780235,5834366790.780235
21,541.5297974405477,5.293982624262083,6414366783.599449,6414366783.599449,6414366783.599449,6414366783.599449
22,504.3267976709419,5.866525051820845,8664098806.520512,8664098806.520512,8664098806.520512,8664098806.520512
23,467.1182254346348,6.4783499666903825,10067024936.021267,10067024936.021267,10067024936.021267,10067024936.021267
24,429.9018516259439,7.130616001171602,11887301076.00211,11887301076.00211,11887301076.00211,11887301076.00211
25,392.6748148107893,7.8276962056910495,12030612859.126545,12030612859.126545,12030612859.126545,12030612859.126545
26,355.4364121658684,8.582381437087088,9354669603.982784,9354669603.982784,9354669603.982784,9354669603.982784
27,312.2568471757569,9.510262026437415,6768337226.042755,6768337226.042755,6768337226.042755,6768337226.042755
28,266.2024287155883,10.602168136966553,4799260240.916512,4799260240.916512,4799260240.916512,4799260240.916512
29,226.40807678064118,11.660990898666412,7822655820.003025,7822655820.003025,7822655820.003025,7822655820.003025
30,192.52002788560424,12.736811932907898,4918216677.007111,4918216677.007111,4918216677.007111,4918216677.007111
31,163.6614990234374,13.78656633117675,2912004301.8490524,2912004301.8490524,2912004301.8490524,2912004301.8490524
32,139.11500549316403,14.787671064298221,1987922561.9550514,1987922561.9550514,1987922561.9550514,1987922561.9550514
33,118.25,15.906170270258151,1378476986.7442322,1378476986.7442322,1378476986.7442322,1378476986.7442322
34,100.51435089111324,17.24273064490245,774507454.1445065,774507454.1445065,774507454.1445065,774507454.1445065
35,85.43901824951189,18.813372559902348,294179273.63134,294179273.63134,294179273.63134,294179273.63134
36,72.55786132812501,20.65052603534648,32051828.012786865,32051828.012786865,32051828.012786865,32051828.012786865
37,61.495662689209006,22.74331462627693,6188287.984833717,6188287.984833717,6188287.984833717,6188287.984833717
38,52.015911102294844,24.86505040859316,20747726.943725586,20747726.943725586,20747726.943725586,20747726.943725586
39,43.90966415405282,27.052485734519244,7532669.000082016,7532669.000082016,7532669.000082016,7532669.000082016
40,36.9927101135254,29.32647120258809,-18501181.202119827,-18501181.202119827,-18501181.202119827,-18501181.202119827
41,31.08891105651863,31.748905700260213,-7814001.59803772,-7814001.59803772,-7814001.59803772,-7814001.59803772
