lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,90307635857.7171,89094419081.3435,90307635857.7171,91520852634.09068
1,971.6244310048473,0.36625663400749947,90616646215.88776,89366936598.36935,90616646215.88776,91866355833.40616
2,956.7542402749618,0.5001096160252074,91719104513.20152,90388366562.22449,91719104513.20152,93049842464.17856
3,941.8841473755075,0.6358236496946832,93501526903.74268,92105400573.27275,93501526903.74268,94897653234.21262
4,927.0137936180281,0.7737023136984883,86314639694.31381,85188962421.3681,86314639694.31381,87440316967.25954
5,912.1431877107561,0.9140599557728831,78900647614.93611,78133673760.87,78900647614.93611,79667621469.00223
6,897.2725265381572,1.056517394691973,68513840224.28656,68108488105.62492,68513840224.28656,68919192342.94821
7,882.4015480213002,1.200972749516894,57715307977.89319,57613314074.79391,57715307977.89319,57817301880.99248
8,867.5303567964003,1.3475120190675405,51748343328.73277,51419537342.507355,51748343328.73277,52077149314.95819
9,852.6592652163091,1.4962539028284811,48123934510.06097,47714158251.89159,48123934510.06097,48533710768.23035
10,837.7879949747113,1.6472308870137926,46058359027.601265,45600683421.70131,46058359027.601265,46516034633.50122
11,822.9164001887356,1.8005751816165532,44667813982.47902,44182650715.679794,44667813982.47902,45152977249.278244
12,805.5656263644386,1.9827939680123745,42878135693.822464,42351540953.98336,42878135693.822464,43404730433.661575
13,783.256871457526,2.2224936871622756,39766453356.840576,39159424124.952156,39766453356.840576,40373482588.729004
14,758.4695103909143,2.4962949930620897,36045324674.24165,35317048554.176926,36045324674.24165,36773600794.30638
15,733.6809880795391,2.77814138452743,32482846581.77336,31653172923.393738,32482846581.77336,33312520240.152985
16,708.8908488634015,3.067972755313559,30025870361.46546,29148703683.1007,30025870361.46546,30903037039.830223
17,684.1004760822683,3.3661126328894038,29905388790.311478,28963570991.959114,29905388790.311478,30847206588.66384
18,653.1112285285492,3.753393324301299,30904444847.69329,29845553898.31605,30904444847.69329,31963335797.07053
19,615.9205705120047,4.2379797038361025,32044155955.90707,30719456280.618294,32044155955.90707,33368855631.195847
20,578.7272043823215,4.752775529501931,35255792127.24098,33797200429.54592,35255792127.24098,36714383824.936035
21,541.5297974405477,5.293982624262083,39068764080.85986,37465172384.96,39068764080.85986,40672355776.75972
22,504.3267976709419,5.866525051820845,36789250178.687706,34623225477.05758,36789250178.687706,38955274880.31783
23,467.1182254346348,6.4783499666903825,38378710092.03348,35861953858.02816,38378710092.03348,40895466326.038795
24,429.9018516259439,7.130616001171602,40183428337.33564,37211603068.33511,40183428337.33564,43155253606.33617
25,392.6748148107893,7.8276962056910495,37644119688.25756,34636466473.47592,37644119688.25756,40651772903.03919
26,355.4364121658684,8.582381437087088,33660401165.907043,31321733764.91135,33660401165.907043,35999068566.90274
27,312.2568471757569,9.510262026437415,28522064353.546032,26829980047.035343,28522064353.546032,30214148660.05672
28,266.2024287155883,10.602168136966553,27787451327.500282,26587636267.271156,27787451327.500282,28987266387.72941
29,226.40807678064118,11.660990898666412,36354157338.399155,34398493383.3984,36354157338.399155,38309821293.39991
30,192.52002788560424,12.736811932907898,26680868949.60918,25451314780.357403,26680868949.60918,27910423118.86096
31,163.6614990234374,13.78656633117675,22359255374.680054,21631254299.21779,22359255374.680054,23087256450.14232
32,139.11500549316403,14.787671064298221,21499912279.590202,21002931639.10144,21499912279.590202,21996892920.078968
33,118.25,15.906170270258151,19310643348.41799,18966024101.731934,19310643348.41799,19655262595.10405
34,100.51435089111324,17.24273064490245,15041043728.954937,14847416865.418812,15041043728.954937,15234670592.491064
35,85.43901824951189,18.813372559902348,10523712207.310474,10450167388.90264,10523712207.310474,10597257025.71831
36,72.55786132812501,20.65052603534648,7601600640.071639,7593587683.068442,7601600640.071639,7609613597.074836
37,61.495662689209006,22.74331462627693,7743508652.888977,7741961580.892769,7743508652.888977,7745055724.885186
38,52.015911102294844,24.86505040859316,8830307934.273176,8825121002.537245,8830307934.273176,8835494866.009108
39,43.90966415405282,27.052485734519244,11119979513.912857,11118096346.662838,11119979513.912857,11121862681.162878
40,36.9927101135254,29.32647120258809,14081812465.969604,14077187170.669075,14081812465.969604,14086437761.270136
41,31.08891105651863,31.748905700260213,17490470556.269318,17488517055.86981,17490470556.269318,17492424056.668827
42,26.049108505249027,34.31199278898532,21478456477.61859,21471211356.455463,21478456477.61859,21485701598.781715
43,21.76100349426269,37.02114906529215,24635103289.757164,24623838931.952442,24635103289.757164,24646367647.561882
44,18.124349594116172,40.00166859906441,27130686265.559456,27125501174.5106,27130686265.559456,27135871356.608307
45,15.05025005340576,43.13537659190267,32559657821.665825,32539800917.072094,32559657821.665825,32579514726.259552
46,12.460150718688988,46.41231625206779,41876005426.376526,41873724797.29596,41876005426.376526,41878286055.4571
47,10.284920692443848,49.82768019095182,52552093540.52402,52547765447.07126,52552093540.52402,52556421633.976776
48,8.45639133453367,53.56635280817698,64028941527.649475,64022985496.29959,64028941527.649475,64034897558.99936
49,6.9183211326599094,57.94668908538693,77283368733.085,77274225419.52026,77283368733.085,77292512046.64975
50,5.631801128387452,62.66958728955136,91795045623.41716,91780914998.4709,91795045623.41716,91809176248.36342
51,4.561686038970957,67.91525438663359,112582999762.87347,112566021345.50192,112582999762.87347,112599978180.24503
52,3.6765010356903076,73.3631121633128,142445820083.65234,142416931065.3315,142445820083.65234,142474709101.97314
53,2.948321104049681,79.34230382171329,184490424174.28128,184451789189.33167,184490424174.28128,184529059159.2309
54,2.352590560913084,86.018857705306,224568596951.65057,224545846639.1354,224568596951.65057,224591347264.16577
55,1.867879986762998,93.22960225320968,257126716373.75128,257094423663.1945,257126716373.75128,257159009084.30804
56,1.475649952888488,100.60502256166222,299334339513.2196,299320051385.37195,299334339513.2196,299348627641.0672
57,1.159975051879883,107.73082344928824,337428295412.9241,337310813777.24445,337428295412.9241,337545777048.60376
58,0.9072870612144474,113.85502993179693,365807316296.83386,365554767575.51215,365807316296.83386,366059865018.1555
59,0.705956518650055,119.50150429056178,495904486989.8052,495581472874.4033,495904486989.8052,496227501105.20703
60,0.5462926030159002,124.26019209911512,709250513108.2258,708971059615.814,709250513108.2258,709529966600.6377
61,0.4204235970973968,129.0678850820543,916976954441.2319,916788371970.4111,916976954441.2319,917165536912.0526
62,0.3217835724353792,134.07248354606006,1124733522245.562,1124639479920.2124,1124733522245.562,1124827564570.9114
63,0.24493755400180758,139.49182341933508,1312669183800.6516,1312614095560.734,1312669183800.6516,1312724272040.5693
64,0.18542200326919586,145.53657974798668,1456928143786.0269,1456880604918.1292,1456928143786.0269,1456975682653.9246
65,0.13959898054599765,151.93939327345697,1622671708419.8757,1622634805506.9282,1622671708419.8757,1622708611332.8232
66,0.10452400892972945,158.88929696286775,1715807163458.255,1715773312260.0303,1715807163458.255,1715841014656.4797
67,0.07767251133918768,165.48256960765983,1756322937232.8198,1756279436552.8118,1756322937232.8198,1756366437912.8281
68,0.056792508810758584,171.42659336444058,1746457650602.8508,1746372090983.9763,1746457650602.8508,1746543210221.7253
69,0.04014250636100761,177.6333305500759,1698297118175.3232,1698150539965.9177,1698297118175.3232,1698443696384.7285
70,0.02635000087320806,187.62940859763327,1484154677774.9019,1483896729088.902,1484154677774.9019,1484412626460.9016
71,0.014999999664723887,209.86898406193973,1138670420090.812,1138273905055.4255,1138670420090.812,1139066935126.1987
