lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.45174277609035e-12,4.45174277609035e-12,4.45174277609035e-12,4.45174277609035e-12
1,971.6244310048473,0.36625663400749947,4.493490066200648e-12,4.493490066200648e-12,4.493490066200648e-12,4.493490066200648e-12
2,956.7542402749618,0.5001096160252074,4.509195415193847e-12,4.509195415193847e-12,4.509195415193847e-12,4.509195415193847e-12
3,941.8841473755075,0.6358236496946832,4.25192878103788e-12,4.25192878103788e-12,4.25192878103788e-12,4.25192878103788e-12
4,927.0137936180281,0.7737023136984883,4.010332913290042e-12,4.010332913290042e-12,4.010332913290042e-12,4.010332913290042e-12
5,912.1431877107561,0.9140599557728831,4.793818939721621e-12,4.793818939721621e-12,4.793818939721621e-12,4.793818939721621e-12
6,897.2725265381572,1.056517394691973,5.83465820234555e-12,5.83465820234555e-12,5.83465820234555e-12,5.83465820234555e-12
7,882.4015480213002,1.200972749516894,6.364372599649497e-12,6.364372599649497e-12,6.364372599649497e-12,6.364372599649497e-12
8,867.5303567964003,1.3475120190675405,6.5480367340164845e-12,6.5480367340164845e-12,6.5480367340164845e-12,6.5480367340164845e-12
9,852.6592652163091,1.4962539028284811,6.4241597841986655e-12,6.4241597841986655e-12,6.4241597841986655e-12,6.4241597841986655e-12
10,837.7879949747113,1.6472308870137926,6.201954248669439e-12,6.201954248669439e-12,6.201954248669439e-12,6.201954248669439e-12
11,822.9164001887356,1.8005751816165532,5.836662548295811e-12,5.836662548295811e-12,5.836662548295811e-12,5.836662548295811e-12
12,805.5656263644386,1.9827939680123745,5.455614398479905e-12,5.455614398479905e-12,5.455614398479905e-12,5.455614398479905e-12
13,783.256871457526,2.2224936871622756,5.0405803227795444e-12,5.0405803227795444e-12,5.0405803227795444e-12,5.0405803227795444e-12
14,758.4695103909143,2.4962949930620897,4.572132060769313e-12,4.572132060769313e-12,4.572132060769313e-12,4.572132060769313e-12
15,733.6809880795391,2.77814138452743,4.170006278367313e-12,4.170006278367313e-12,4.170006278367313e-12,4.170006278367313e-12
16,708.8908488634015,3.067972755313559,3.8768655541955236e-12,3.8768655541955236e-12,3.8768655541955236e-12,3.8768655541955236e-12
17,684.1004760822683,3.3661126328894038,3.743548003821039e-12,3.743548003821039e-12,3.743548003821039e-12,3.743548003821039e-12
18,653.1112285285492,3.753393324301299,3.727538747146042e-12,3.727538747146042e-12,3.727538747146042e-12,3.727538747146042e-12
19,615.9205705120047,4.2379797038361025,3.759145432680486e-12,3.759145432680486e-12,3.759145432680486e-12,3.759145432680486e-12
20,578.7272043823215,4.752775529501931,3.452055546711902e-12,3.452055546711902e-12,3.452055546711902e-12,3.452055546711902e-12
21,541.5297974405477,5.293982624262083,3.288999940281091e-12,3.288999940281091e-12,3.288999940281091e-12,3.288999940281091e-12
22,504.3267976709419,5.866525051820845,2.9361940626273985e-12,2.9361940626273985e-12,2.9361940626273985e-12,2.9361940626273985e-12
23,467.1182254346348,6.4783499666903825,2.7099311871316783e-12,2.7099311871316783e-12,2.7099311871316783e-12,2.7099311871316783e-12
24,429.9018516259439,7.130616001171602,2.756482470706657e-12,2.756482470706657e-12,2.756482470706657e-12,2.756482470706657e-12
25,392.6748148107893,7.8276962056910495,3.074491057326757e-12,3.074491057326757e-12,3.074491057326757e-12,3.074491057326757e-12
26,355.4364121658684,8.582381437087088,3.4088880304696976e-12,3.4088880304696976e-12,3.4088880304696976e-12,3.4088880304696976e-12
27,312.2568471757569,9.510262026437415,3.740534382613271e-12,3.740534382613271e-12,3.740534382613271e-12,3.740534382613271e-12
28,266.2024287155883,10.602168136966553,3.919954980501346e-12,3.919954980501346e-12,3.919954980501346e-12,3.919954980501346e-12
29,226.40807678064118,11.660990898666412,3.609135307429372e-12,3.609135307429372e-12,3.609135307429372e-12,3.609135307429372e-12
30,192.52002788560424,12.736811932907898,2.992303839161119e-12,2.992303839161119e-12,2.992303839161119e-12,2.992303839161119e-12
31,163.6614990234374,13.78656633117675,2.775313743612419e-12,2.775313743612419e-12,2.775313743612419e-12,2.775313743612419e-12
32,139.11500549316403,14.787671064298221,3.1363672722052773e-12,3.1363672722052773e-12,3.1363672722052773e-12,3.1363672722052773e-12
33,118.25,15.906170270258151,4.549055809856032e-12,4.549055809856032e-12,4.549055809856032e-12,4.549055809856032e-12
34,100.51435089111324,17.24273064490245,3.272955680733473e-12,3.272955680733473e-12,3.272955680733473e-12,3.272955680733473e-12
35,85.43901824951189,18.813372559902348,1.7405861324395075e-12,1.7405861324395075e-12,1.7405861324395075e-12,1.7405861324395075e-12
36,72.55786132812501,20.65052603534648,3.476572487369087e-13,3.476572487369087e-13,3.476572487369087e-13,3.476572487369087e-13
37,61.495662689209006,22.74331462627693,-1.4021764762000775e-13,-1.4021764762000775e-13,-1.4021764762000775e-13,-1.4021764762000775e-13
38,52.015911102294844,24.86505040859316,8.16510399285166e-15,8.16510399285166e-15,8.16510399285166e-15,8.16510399285166e-15
39,43.90966415405282,27.052485734519244,-5.614558654453954e-14,-5.614558654453954e-14,-5.614558654453954e-14,-5.614558654453954e-14
40,36.9927101135254,29.32647120258809,7.25253497754512e-14,7.25253497754512e-14,7.25253497754512e-14,7.25253497754512e-14
41,31.08891105651863,31.748905700260213,7.647717552948695e-14,7.647717552948695e-14,7.647717552948695e-14,7.647717552948695e-14
42,26.049108505249027,34.31199278898532,-4.541737765344447e-14,-4.541737765344447e-14,-4.541737765344447e-14,-4.541737765344447e-14
43,21.76100349426269,37.02114906529215,1.1508412989369775e-13,1.1508412989369775e-13,1.1508412989369775e-13,1.1508412989369775e-13
44,18.124349594116172,40.00166859906441,8.350888000612137e-14,8.350888000612137e-14,8.350888000612137e-14,8.350888000612137e-14
45,15.05025005340576,43.13537659190267,2.9941769867656094e-14,2.9941769867656094e-14,2.9941769867656094e-14,2.9941769867656094e-14
46,12.460150718688988,46.41231625206779,1.303624762091382e-14,1.303624762091382e-14,1.303624762091382e-14,1.303624762091382e-14
47,10.284920692443848,49.82768019095182,5.764242387336984e-14,5.764242387336984e-14,5.764242387336984e-14,5.764242387336984e-14
48,8.45639133453367,53.56635280817698,-2.1964579679216387e-14,-2.1964579679216387e-14,-2.1964579679216387e-14,-2.1964579679216387e-14
49,6.9183211326599094,57.94668908538693,-1.0966916845871449e-13,-1.0966916845871449e-13,-1.0966916845871449e-13,-1.0966916845871449e-13
50,5.631801128387452,62.66958728955136,-1.3318247264833184e-13,-1.3318247264833184e-13,-1.3318247264833184e-13,-1.3318247264833184e-13
51,4.561686038970957,67.91525438663359,-1.2510333881726397e-13,-1.2510333881726397e-13,-1.2510333881726397e-13,-1.2510333881726397e-13
52,3.6765010356903076,73.3631121633128,-1.1293372102006545e-13,-1.1293372102006545e-13,-1.1293372102006545e-13,-1.1293372102006545e-13
53,2.948321104049681,79.34230382171329,-1.4636693738369162e-13,-1.4636693738369162e-13,-1.4636693738369162e-13,-1.4636693738369162e-13
54,2.352590560913084,86.018857705306,-1.7928035203329983e-13,-1.7928035203329983e-13,-1.7928035203329983e-13,-1.7928035203329983e-13
55,1.867879986762998,93.22960225320968,-1.7934786234921485e-13,-1.7934786234921485e-13,-1.7934786234921485e-13,-1.7934786234921485e-13
56,1.475649952888488,100.60502256166222,-2.5852047047709987e-13,-2.5852047047709987e-13,-2.5852047047709987e-13,-2.5852047047709987e-13
57,1.159975051879883,107.73082344928824,-3.9212356924010895e-13,-3.9212356924010895e-13,-3.9212356924010895e-13,-3.9212356924010895e-13
58,0.9072870612144474,113.85502993179693,-5.470132575365851e-13,-5.470132575365851e-13,-5.470132575365851e-13,-5.470132575365851e-13
59,0.705956518650055,119.50150429056178,-3.9295917240000766e-13,-3.9295917240000766e-13,-3.9295917240000766e-13,-3.9295917240000766e-13
60,0.5462926030159002,124.26019209911512,-2.696238712811507e-13,-2.696238712811507e-13,-2.696238712811507e-13,-2.696238712811507e-13
61,0.4204235970973968,129.0678850820543,-2.13099795556571e-13,-2.13099795556571e-13,-2.13099795556571e-13,-2.13099795556571e-13
62,0.3217835724353792,134.07248354606006,-1.359706124648293e-13,-1.359706124648293e-13,-1.359706124648293e-13,-1.359706124648293e-13
63,0.24493755400180758,139.49182341933508,-9.799339790874848e-14,-9.799339790874848e-14,-9.799339790874848e-14,-9.799339790874848e-14
64,0.18542200326919586,145.53657974798668,-7.815845355376467e-14,-7.815845355376467e-14,-7.815845355376467e-14,-7.815845355376467e-14
65,0.13959898054599765,151.93939327345697,-6.424504838938627e-14,-6.424504838938627e-14,-6.424504838938627e-14,-6.424504838938627e-14
66,0.10452400892972945,158.88929696286775,-5.6072186811883305e-14,-5.6072186811883305e-14,-5.6072186811883305e-14,-5.6072186811883305e-14
67,0.07767251133918768,165.48256960765983,-4.943166954593766e-14,-4.943166954593766e-14,-4.943166954593766e-14,-4.943166954593766e-14
68,0.056792508810758584,171.42659336444058,-5.687714732001845e-14,-5.687714732001845e-14,-5.687714732001845e-14,-5.687714732001845e-14
69,0.04014250636100761,177.6333305500759,-9.1761192579174e-14,-9.1761192579174e-14,-9.1761192579174e-14,-9.1761192579174e-14
70,0.02635000087320806,187.62940859763327,-1.469102627525005e-13,-1.469102627525005e-13,-1.469102627525005e-13,-1.469102627525005e-13
71,0.014999999664723887,209.86898406193973,-2.3864695881967096e-13,-2.3864695881967096e-13,-2.3864695881967096e-13,-2.3864695881967096e-13
