lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.4683565388135812e-10,1.4572271818733552e-10,1.4683565388135812e-10,1.479485895753807e-10
1,971.6244310048473,0.36625663400749947,1.464886332263796e-10,1.4536526070982944e-10,1.464886332263796e-10,1.4761200574292974e-10
2,956.7542402749618,0.5001096160252074,1.4612188150764615e-10,1.4499458265384768e-10,1.4612188150764615e-10,1.472491803614446e-10
3,941.8841473755075,0.6358236496946832,1.4644009376453947e-10,1.4537711156928e-10,1.4644009376453947e-10,1.4750307595979894e-10
4,927.0137936180281,0.7737023136984883,1.3960820716325498e-10,1.3860562393493248e-10,1.3960820716325498e-10,1.4061079039157748e-10
5,912.1431877107561,0.9140599557728831,1.1942971330204288e-10,1.1823125856711247e-10,1.1942971330204288e-10,1.2062816803697327e-10
6,897.2725265381572,1.056517394691973,9.624742207886016e-11,9.478875752827377e-11,9.624742207886016e-11,9.770608662944654e-11
7,882.4015480213002,1.200972749516894,7.752651950074666e-11,7.593542635083429e-11,7.752651950074666e-11,7.911761265065903e-11
8,867.5303567964003,1.3475120190675405,6.175445032821892e-11,6.011744114471479e-11,6.175445032821892e-11,6.339145951172304e-11
9,852.6592652163091,1.4962539028284811,4.907654704661689e-11,4.7470507100567224e-11,4.907654704661689e-11,5.068258699266655e-11
10,837.7879949747113,1.6472308870137926,3.8988415126213656e-11,3.743792656404629e-11,3.8988415126213656e-11,4.0538903688381014e-11
11,822.9164001887356,1.8005751816165532,3.0371945164555355e-11,2.89127795274814e-11,3.0371945164555355e-11,3.18311108016293e-11
12,805.5656263644386,1.9827939680123745,2.3964051890809174e-11,2.2600148291189198e-11,2.3964051890809174e-11,2.5327955490429152e-11
13,783.256871457526,2.2224936871622756,1.9266284654041877e-11,1.8006139573346992e-11,1.9266284654041877e-11,2.052642973473676e-11
14,758.4695103909143,2.4962949930620897,1.5748506117365963e-11,1.4605473102173636e-11,1.5748506117365963e-11,1.6891539132558293e-11
15,733.6809880795391,2.77814138452743,1.3183418345602589e-11,1.214091677601076e-11,1.3183418345602589e-11,1.4225919915194417e-11
16,708.8908488634015,3.067972755313559,1.1235038935670592e-11,1.0265822547121711e-11,1.1235038935670592e-11,1.2204255324219473e-11
17,684.1004760822683,3.3661126328894038,9.894874699671203e-12,8.958987698715942e-12,9.894874699671203e-12,1.0830761700626463e-11
18,653.1112285285492,3.753393324301299,8.91253659430218e-12,7.980651907515669e-12,8.91253659430218e-12,9.844421281088691e-12
19,615.9205705120047,4.2379797038361025,7.996337127744274e-12,7.0565507695741535e-12,7.996337127744274e-12,8.936123485914397e-12
20,578.7272043823215,4.752775529501931,7.050259668320523e-12,6.187245781642548e-12,7.050259668320523e-12,7.913273554998498e-12
21,541.5297974405477,5.293982624262083,6.640840867116567e-12,5.818590882046295e-12,6.640840867116567e-12,7.463090852186841e-12
22,504.3267976709419,5.866525051820845,6.498781817783182e-12,5.7647333021263325e-12,6.498781817783182e-12,7.232830333440031e-12
23,467.1182254346348,6.4783499666903825,6.970532626540567e-12,6.293049829757648e-12,6.970532626540567e-12,7.648015423323487e-12
24,429.9018516259439,7.130616001171602,8.473352256385342e-12,7.784231638708677e-12,8.473352256385342e-12,9.162472874062005e-12
25,392.6748148107893,7.8276962056910495,1.129171355033703e-11,1.0523090786005342e-11,1.129171355033703e-11,1.2060336314668719e-11
26,355.4364121658684,8.582381437087088,1.1947552669268444e-11,1.109533066165102e-11,1.1947552669268444e-11,1.2799774676885869e-11
27,312.2568471757569,9.510262026437415,1.048565351523496e-11,9.550519919581641e-12,1.048565351523496e-11,1.1420787110888278e-11
28,266.2024287155883,10.602168136966553,1.008969881339748e-11,9.109710068272145e-12,1.008969881339748e-11,1.1069687558522818e-11
29,226.40807678064118,11.660990898666412,9.962366602573653e-12,9.060082775716308e-12,9.962366602573653e-12,1.0864650429430995e-11
30,192.52002788560424,12.736811932907898,9.079050277514026e-12,8.330974317723746e-12,9.079050277514026e-12,9.827126237304305e-12
31,163.6614990234374,13.78656633117675,9.362722824590922e-12,8.668894388687816e-12,9.362722824590922e-12,1.0056551260494025e-11
32,139.11500549316403,14.787671064298221,1.3633228957866617e-11,1.2849137139815299e-11,1.3633228957866617e-11,1.4417320775917937e-11
33,118.25,15.906170270258151,2.6588994855160633e-11,2.5451730902696626e-11,2.6588994855160633e-11,2.7726258807624643e-11
34,100.51435089111324,17.24273064490245,4.201543797958644e-11,4.119719905940307e-11,4.201543797958644e-11,4.2833676899769807e-11
35,85.43901824951189,18.813372559902348,4.07205807652679e-11,4.028543423215802e-11,4.07205807652679e-11,4.115572729837778e-11
36,72.55786132812501,20.65052603534648,3.674439601993567e-11,3.665748170775144e-11,3.674439601993567e-11,3.68313103321199e-11
37,61.495662689209006,22.74331462627693,3.380144171101434e-11,3.376638729910934e-11,3.380144171101434e-11,3.383649612291934e-11
38,52.015911102294844,24.86505040859316,3.482139664903559e-11,3.4819355373037374e-11,3.482139664903559e-11,3.4823437925033807e-11
39,43.90966415405282,27.052485734519244,3.878354508070309e-11,3.876950868406696e-11,3.878354508070309e-11,3.879758147733923e-11
40,36.9927101135254,29.32647120258809,4.608132919512112e-11,4.606319785767726e-11,4.608132919512112e-11,4.6099460532564986e-11
41,31.08891105651863,31.748905700260213,5.842788770095252e-11,5.840876840707015e-11,5.842788770095252e-11,5.844700699483489e-11
42,26.049108505249027,34.31199278898532,7.662986805309012e-11,7.661851370867676e-11,7.662986805309012e-11,7.664122239750348e-11
43,21.76100349426269,37.02114906529215,9.804862796811193e-11,9.80198569356385e-11,9.804862796811193e-11,9.807739900058535e-11
44,18.124349594116172,40.00166859906441,1.0816285614026067e-10,1.0814197892025914e-10,1.0816285614026067e-10,1.081837333602622e-10
45,15.05025005340576,43.13537659190267,1.1564792050561647e-10,1.1564043506314955e-10,1.1564792050561647e-10,1.156554059480834e-10
46,12.460150718688988,46.41231625206779,1.2950337202143305e-10,1.2950011295952784e-10,1.2950337202143305e-10,1.2950663108333827e-10
47,10.284920692443848,49.82768019095182,1.4646594243695938e-10,1.4645153183099105e-10,1.4646594243695938e-10,1.464803530429277e-10
