lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.1528077164732844e-11,1.1528077164732844e-11,1.1528077164732844e-11,1.1528077164732844e-11
1,971.6244310048473,0.36625663400749947,1.1931339964706118e-11,1.1931339964706118e-11,1.1931339964706118e-11,1.1931339964706118e-11
2,956.7542402749618,0.5001096160252074,1.2214927883265406e-11,1.2214927883265406e-11,1.2214927883265406e-11,1.2214927883265406e-11
3,941.8841473755075,0.6358236496946832,1.1966871777618569e-11,1.1966871777618569e-11,1.1966871777618569e-11,1.1966871777618569e-11
4,927.0137936180281,0.7737023136984883,9.578646714537859e-12,9.578646714537859e-12,9.578646714537859e-12,9.578646714537859e-12
5,912.1431877107561,0.9140599557728831,7.1097819015499445e-12,7.1097819015499445e-12,7.1097819015499445e-12,7.1097819015499445e-12
6,897.2725265381572,1.056517394691973,5.51602979585428e-12,5.51602979585428e-12,5.51602979585428e-12,5.51602979585428e-12
7,882.4015480213002,1.200972749516894,5.320653500069561e-12,5.320653500069561e-12,5.320653500069561e-12,5.320653500069561e-12
8,867.5303567964003,1.3475120190675405,5.205279580663477e-12,5.205279580663477e-12,5.205279580663477e-12,5.205279580663477e-12
9,852.6592652163091,1.4962539028284811,5.0111733530473764e-12,5.0111733530473764e-12,5.0111733530473764e-12,5.0111733530473764e-12
10,837.7879949747113,1.6472308870137926,4.8406789634264295e-12,4.8406789634264295e-12,4.8406789634264295e-12,4.8406789634264295e-12
11,822.9164001887356,1.8005751816165532,4.662796719505089e-12,4.662796719505089e-12,4.662796719505089e-12,4.662796719505089e-12
12,805.5656263644386,1.9827939680123745,4.511913634055865e-12,4.511913634055865e-12,4.511913634055865e-12,4.511913634055865e-12
13,783.256871457526,2.2224936871622756,4.3407330963210686e-12,4.3407330963210686e-12,4.3407330963210686e-12,4.3407330963210686e-12
14,758.4695103909143,2.4962949930620897,4.178621154080139e-12,4.178621154080139e-12,4.178621154080139e-12,4.178621154080139e-12
15,733.6809880795391,2.77814138452743,4.019453441709098e-12,4.019453441709098e-12,4.019453441709098e-12,4.019453441709098e-12
16,708.8908488634015,3.067972755313559,4.0606119122961475e-12,4.0606119122961475e-12,4.0606119122961475e-12,4.0606119122961475e-12
17,684.1004760822683,3.3661126328894038,4.3185275993593995e-12,4.3185275993593995e-12,4.3185275993593995e-12,4.3185275993593995e-12
18,653.1112285285492,3.753393324301299,4.463193981301069e-12,4.463193981301069e-12,4.463193981301069e-12,4.463193981301069e-12
19,615.9205705120047,4.2379797038361025,4.234168166255225e-12,4.234168166255225e-12,4.234168166255225e-12,4.234168166255225e-12
20,578.7272043823215,4.752775529501931,3.889960677573032e-12,3.889960677573032e-12,3.889960677573032e-12,3.889960677573032e-12
21,541.5297974405477,5.293982624262083,3.545474733931435e-12,3.545474733931435e-12,3.545474733931435e-12,3.545474733931435e-12
22,504.3267976709419,5.866525051820845,3.4033333338879653e-12,3.4033333338879653e-12,3.4033333338879653e-12,3.4033333338879653e-12
23,467.1182254346348,6.4783499666903825,3.2153955844985845e-12,3.2153955844985845e-12,3.2153955844985845e-12,3.2153955844985845e-12
24,429.9018516259439,7.130616001171602,3.1026289732850323e-12,3.1026289732850323e-12,3.1026289732850323e-12,3.1026289732850323e-12
25,392.6748148107893,7.8276962056910495,3.2452097310436286e-12,3.2452097310436286e-12,3.2452097310436286e-12,3.2452097310436286e-12
26,355.4364121658684,8.582381437087088,3.6278432515652376e-12,3.6278432515652376e-12,3.6278432515652376e-12,3.6278432515652376e-12
27,312.2568471757569,9.510262026437415,4.737049310806101e-12,4.737049310806101e-12,4.737049310806101e-12,4.737049310806101e-12
28,266.2024287155883,10.602168136966553,5.531450261217808e-12,5.531450261217808e-12,5.531450261217808e-12,5.531450261217808e-12
29,226.40807678064118,11.660990898666412,4.422024035154841e-12,4.422024035154841e-12,4.422024035154841e-12,4.422024035154841e-12
30,192.52002788560424,12.736811932907898,3.673889896651775e-12,3.673889896651775e-12,3.673889896651775e-12,3.673889896651775e-12
31,163.6614990234374,13.78656633117675,3.3628646735462094e-12,3.3628646735462094e-12,3.3628646735462094e-12,3.3628646735462094e-12
32,139.11500549316403,14.787671064298221,3.1125357233118717e-12,3.1125357233118717e-12,3.1125357233118717e-12,3.1125357233118717e-12
33,118.25,15.906170270258151,3.829573190987667e-12,3.829573190987667e-12,3.829573190987667e-12,3.829573190987667e-12
34,100.51435089111324,17.24273064490245,3.794779933574024e-12,3.794779933574024e-12,3.794779933574024e-12,3.794779933574024e-12
35,85.43901824951189,18.813372559902348,2.2203167885199498e-12,2.2203167885199498e-12,2.2203167885199498e-12,2.2203167885199498e-12
36,72.55786132812501,20.65052603534648,6.20104287903607e-13,6.20104287903607e-13,6.20104287903607e-13,6.20104287903607e-13
37,61.495662689209006,22.74331462627693,2.1480468025309502e-15,2.1480468025309502e-15,2.1480468025309502e-15,2.1480468025309502e-15
38,52.015911102294844,24.86505040859316,-4.085579796146214e-14,-4.085579796146214e-14,-4.085579796146214e-14,-4.085579796146214e-14
39,43.90966415405282,27.052485734519244,6.09746983280755e-14,6.09746983280755e-14,6.09746983280755e-14,6.09746983280755e-14
40,36.9927101135254,29.32647120258809,3.2403095358346993e-14,3.2403095358346993e-14,3.2403095358346993e-14,3.2403095358346993e-14
41,31.08891105651863,31.748905700260213,9.702868030737467e-14,9.702868030737467e-14,9.702868030737467e-14,9.702868030737467e-14
42,26.049108505249027,34.31199278898532,-5.827577995034802e-15,-5.827577995034802e-15,-5.827577995034802e-15,-5.827577995034802e-15
43,21.76100349426269,37.02114906529215,6.280486300787362e-14,6.280486300787362e-14,6.280486300787362e-14,6.280486300787362e-14
44,18.124349594116172,40.00166859906441,5.4030170999819204e-14,5.4030170999819204e-14,5.4030170999819204e-14,5.4030170999819204e-14
45,15.05025005340576,43.13537659190267,8.682422828354619e-14,8.682422828354619e-14,8.682422828354619e-14,8.682422828354619e-14
46,12.460150718688988,46.41231625206779,1.5298521129217716e-13,1.5298521129217716e-13,1.5298521129217716e-13,1.5298521129217716e-13
47,10.284920692443848,49.82768019095182,6.137898241527646e-14,6.137898241527646e-14,6.137898241527646e-14,6.137898241527646e-14
48,8.45639133453367,53.56635280817698,-5.826536444796921e-14,-5.826536444796921e-14,-5.826536444796921e-14,-5.826536444796921e-14
49,6.9183211326599094,57.94668908538693,-1.0678482936761828e-13,-1.0678482936761828e-13,-1.0678482936761828e-13,-1.0678482936761828e-13
50,5.631801128387452,62.66958728955136,-1.5491909726676927e-13,-1.5491909726676927e-13,-1.5491909726676927e-13,-1.5491909726676927e-13
51,4.561686038970957,67.91525438663359,-1.1059667522011047e-13,-1.1059667522011047e-13,-1.1059667522011047e-13,-1.1059667522011047e-13
52,3.6765010356903076,73.3631121633128,-1.3861612735783376e-13,-1.3861612735783376e-13,-1.3861612735783376e-13,-1.3861612735783376e-13
53,2.948321104049681,79.34230382171329,-1.7620175982266577e-13,-1.7620175982266577e-13,-1.7620175982266577e-13,-1.7620175982266577e-13
54,2.352590560913084,86.018857705306,-1.888315756382375e-13,-1.888315756382375e-13,-1.888315756382375e-13,-1.888315756382375e-13
55,1.867879986762998,93.22960225320968,-1.8364648421207008e-13,-1.8364648421207008e-13,-1.8364648421207008e-13,-1.8364648421207008e-13
56,1.475649952888488,100.60502256166222,-2.8517185726204755e-13,-2.8517185726204755e-13,-2.8517185726204755e-13,-2.8517185726204755e-13
57,1.159975051879883,107.73082344928824,-4.3758097254243105e-13,-4.3758097254243105e-13,-4.3758097254243105e-13,-4.3758097254243105e-13
58,0.9072870612144474,113.85502993179693,-5.081123736299628e-13,-5.081123736299628e-13,-5.081123736299628e-13,-5.081123736299628e-13
59,0.705956518650055,119.50150429056178,-3.4280075017164497e-13,-3.4280075017164497e-13,-3.4280075017164497e-13,-3.4280075017164497e-13
60,0.5462926030159002,124.26019209911512,-2.278978378840483e-13,-2.278978378840483e-13,-2.278978378840483e-13,-2.278978378840483e-13
61,0.4204235970973968,129.0678850820543,-1.7337527336398085e-13,-1.7337527336398085e-13,-1.7337527336398085e-13,-1.7337527336398085e-13
62,0.3217835724353792,134.07248354606006,-1.3221155150891556e-13,-1.3221155150891556e-13,-1.3221155150891556e-13,-1.3221155150891556e-13
63,0.24493755400180758,139.49182341933508,-9.33400197295231e-14,-9.33400197295231e-14,-9.33400197295231e-14,-9.33400197295231e-14
64,0.18542200326919586,145.53657974798668,-8.304350822029194e-14,-8.304350822029194e-14,-8.304350822029194e-14,-8.304350822029194e-14
65,0.13959898054599765,151.93939327345697,-7.909341744385755e-14,-7.909341744385755e-14,-7.909341744385755e-14,-7.909341744385755e-14
66,0.10452400892972945,158.88929696286775,-7.707897991968832e-14,-7.707897991968832e-14,-7.707897991968832e-14,-7.707897991968832e-14
67,0.07767251133918768,165.48256960765983,-6.912707882786276e-14,-6.912707882786276e-14,-6.912707882786276e-14,-6.912707882786276e-14
68,0.056792508810758584,171.42659336444058,-7.250037673402195e-14,-7.250037673402195e-14,-7.250037673402195e-14,-7.250037673402195e-14
69,0.04014250636100761,177.6333305500759,-1.169905224335968e-13,-1.169905224335968e-13,-1.169905224335968e-13,-1.169905224335968e-13
70,0.02635000087320806,187.62940859763327,-2.0792689747450827e-13,-2.0792689747450827e-13,-2.0792689747450827e-13,-2.0792689747450827e-13
71,0.014999999664723887,209.86898406193973,-3.2345761249466427e-13,-3.2345761249466427e-13,-3.2345761249466427e-13,-3.2345761249466427e-13
