lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,9.223143290468268e-11,8.934941361349946e-11,9.223143290468268e-11,9.51134521958659e-11
1,971.6244310048473,0.36625663400749947,9.193414739173284e-11,8.895131240055631e-11,9.193414739173284e-11,9.491698238290937e-11
2,956.7542402749618,0.5001096160252074,8.895977126447805e-11,8.590603929366169e-11,8.895977126447805e-11,9.201350323529441e-11
3,941.8841473755075,0.6358236496946832,8.045779711974366e-11,7.746607917533902e-11,8.045779711974366e-11,8.344951506414831e-11
4,927.0137936180281,0.7737023136984883,6.930236518516172e-11,6.690770350652726e-11,6.930236518516172e-11,7.169702686379617e-11
5,912.1431877107561,0.9140599557728831,5.771915566514466e-11,5.594171018975718e-11,5.771915566514466e-11,5.949660114053215e-11
6,897.2725265381572,1.056517394691973,4.316127420649594e-11,4.178226675753237e-11,4.316127420649594e-11,4.4540281655459516e-11
7,882.4015480213002,1.200972749516894,3.083833461799531e-11,2.950817124297792e-11,3.083833461799531e-11,3.2168497993012705e-11
8,867.5303567964003,1.3475120190675405,2.809262098379228e-11,2.6791301088626412e-11,2.809262098379228e-11,2.939394087895815e-11
9,852.6592652163091,1.4962539028284811,2.7538203878503534e-11,2.6285410540241688e-11,2.7538203878503534e-11,2.879099721676538e-11
10,837.7879949747113,1.6472308870137926,2.6142052781574586e-11,2.493188304071798e-11,2.6142052781574586e-11,2.7352222522431194e-11
11,822.9164001887356,1.8005751816165532,2.3998900325137837e-11,2.2833201145261565e-11,2.3998900325137837e-11,2.516459950501411e-11
12,805.5656263644386,1.9827939680123745,2.0732806880460964e-11,1.9604828471946998e-11,2.0732806880460964e-11,2.186078528897493e-11
13,783.256871457526,2.2224936871622756,1.591227775375791e-11,1.482709447967764e-11,1.591227775375791e-11,1.6997461027838176e-11
14,758.4695103909143,2.4962949930620897,1.2264493508754237e-11,1.1219838220234203e-11,1.2264493508754237e-11,1.3309148797274272e-11
15,733.6809880795391,2.77814138452743,1.149199962186981e-11,1.0487136261442535e-11,1.149199962186981e-11,1.2496862982297083e-11
16,708.8908488634015,3.067972755313559,1.2248453468020833e-11,1.1233300489946796e-11,1.2248453468020833e-11,1.326360644609487e-11
17,684.1004760822683,3.3661126328894038,1.3934744458746499e-11,1.285511255890665e-11,1.3934744458746499e-11,1.501437635858635e-11
18,653.1112285285492,3.753393324301299,1.610644930140176e-11,1.4990650806076494e-11,1.610644930140176e-11,1.722224779672703e-11
19,615.9205705120047,4.2379797038361025,1.8694562119678784e-11,1.7636020078114975e-11,1.8694562119678784e-11,1.975310416124259e-11
20,578.7272043823215,4.752775529501931,2.1199568985488462e-11,2.0227078816095204e-11,2.1199568985488462e-11,2.217205915488172e-11
21,541.5297974405477,5.293982624262083,2.3575211922841878e-11,2.2688843239359017e-11,2.3575211922841878e-11,2.4461580606324736e-11
22,504.3267976709419,5.866525051820845,2.611683411060919e-11,2.52660007771372e-11,2.611683411060919e-11,2.696766744408118e-11
23,467.1182254346348,6.4783499666903825,2.8972732789097878e-11,2.8168883892973233e-11,2.8972732789097878e-11,2.977658168522252e-11
24,429.9018516259439,7.130616001171602,3.3402087229858905e-11,3.262642998653765e-11,3.3402087229858905e-11,3.417774447318016e-11
25,392.6748148107893,7.8276962056910495,3.8894232767994e-11,3.8082930335233094e-11,3.8894232767994e-11,3.970553520075491e-11
26,355.4364121658684,8.582381437087088,4.0546333619513476e-11,3.963937280662217e-11,4.0546333619513476e-11,4.1453294432404786e-11
27,312.2568471757569,9.510262026437415,3.363751810501103e-11,3.245325577730951e-11,3.363751810501103e-11,3.482178043271256e-11
28,266.2024287155883,10.602168136966553,2.721925981782283e-11,2.583639725251838e-11,2.721925981782283e-11,2.8602122383127284e-11
29,226.40807678064118,11.660990898666412,2.1440341091448473e-11,2.0334835082659763e-11,2.1440341091448473e-11,2.2545847100237184e-11
30,192.52002788560424,12.736811932907898,1.8939720564066733e-11,1.802124808990379e-11,1.8939720564066733e-11,1.9858193038229677e-11
31,163.6614990234374,13.78656633117675,2.32287310407006e-11,2.2388014872314046e-11,2.32287310407006e-11,2.406944720908715e-11
32,139.11500549316403,14.787671064298221,2.789817218501314e-11,2.7120038254185172e-11,2.789817218501314e-11,2.8676306115841105e-11
33,118.25,15.906170270258151,3.2896627008182453e-11,3.193923371043554e-11,3.2896627008182453e-11,3.3854020305929375e-11
34,100.51435089111324,17.24273064490245,4.26786978684135e-11,4.173000288501999e-11,4.26786978684135e-11,4.3627392851807e-11
35,85.43901824951189,18.813372559902348,4.244375414813694e-11,4.1888674951006946e-11,4.244375414813694e-11,4.2998833345266925e-11
36,72.55786132812501,20.65052603534648,3.81744613083056e-11,3.8019435236329694e-11,3.81744613083056e-11,3.83294873802815e-11
37,61.495662689209006,22.74331462627693,3.439008710223317e-11,3.4389550090532536e-11,3.439008710223317e-11,3.4390624113933804e-11
38,52.015911102294844,24.86505040859316,3.49220621626571e-11,3.491184821316673e-11,3.49220621626571e-11,3.4932276112147465e-11
39,43.90966415405282,27.052485734519244,3.790408492101797e-11,3.788884124643595e-11,3.790408492101797e-11,3.7919328595599984e-11
40,36.9927101135254,29.32647120258809,4.729575292527512e-11,4.7287652151435536e-11,4.729575292527512e-11,4.73038536991147e-11
41,31.08891105651863,31.748905700260213,6.053889659960499e-11,6.051463942952814e-11,6.053889659960499e-11,6.056315376968184e-11
42,26.049108505249027,34.31199278898532,7.984154989825398e-11,7.984009300375522e-11,7.984154989825398e-11,7.984300679275274e-11
43,21.76100349426269,37.02114906529215,9.258484249428423e-11,9.256914127853225e-11,9.258484249428423e-11,9.260054371003619e-11
44,18.124349594116172,40.00166859906441,9.975766969388517e-11,9.974416215113521e-11,9.975766969388517e-11,9.977117723663512e-11
45,15.05025005340576,43.13537659190267,1.1672486355455781e-10,1.1670315749748695e-10,1.1672486355455781e-10,1.167465696116287e-10
46,12.460150718688988,46.41231625206779,1.3616749037074242e-10,1.3612924406791936e-10,1.3616749037074242e-10,1.3620573667356548e-10
47,10.284920692443848,49.82768019095182,1.4369087566739007e-10,1.4367553092178625e-10,1.4369087566739007e-10,1.4370622041299389e-10
48,8.45639133453367,53.56635280817698,1.3960431381164432e-10,1.395897474705323e-10,1.3960431381164432e-10,1.396188801527563e-10
49,6.9183211326599094,57.94668908538693,1.3663382998470106e-10,1.3660713377735916e-10,1.3663382998470106e-10,1.3666052619204298e-10
50,5.631801128387452,62.66958728955136,1.3032105051284303e-10,1.3028232073852632e-10,1.3032105051284303e-10,1.3035978028715974e-10
51,4.561686038970957,67.91525438663359,1.2591079313027406e-10,1.2588314396146904e-10,1.2591079313027406e-10,1.259384422990791e-10
52,3.6765010356903076,73.3631121633128,1.24590280211647e-10,1.2455562617980754e-10,1.24590280211647e-10,1.2462493424348645e-10
53,2.948321104049681,79.34230382171329,1.2058024849359e-10,1.205361980536343e-10,1.2058024849359e-10,1.2062429893354565e-10
54,2.352590560913084,86.018857705306,1.1597005183234775e-10,1.1592284393843818e-10,1.1597005183234775e-10,1.160172597262573e-10
55,1.867879986762998,93.22960225320968,1.1018853363603012e-10,1.1014262201497711e-10,1.1018853363603012e-10,1.1023444525708314e-10
56,1.475649952888488,100.60502256166222,1.0113196465310277e-10,1.0106067168878725e-10,1.0113196465310277e-10,1.0120325761741827e-10
57,1.159975051879883,107.73082344928824,8.650221389671405e-11,8.639281865357844e-11,8.650221389671405e-11,8.661160913984966e-11
58,0.9072870612144474,113.85502993179693,6.72815280390029e-11,6.715449994559541e-11,6.72815280390029e-11,6.740855613241039e-11
59,0.705956518650055,119.50150429056178,6.174168138028317e-11,6.165598119274027e-11,6.174168138028317e-11,6.18273815678261e-11
60,0.5462926030159002,124.26019209911512,5.850258512665852e-11,5.844561066718751e-11,5.850258512665852e-11,5.855955958612953e-11
61,0.4204235970973968,129.0678850820543,5.605367675909144e-11,5.601033294075044e-11,5.605367675909144e-11,5.609702057743243e-11
62,0.3217835724353792,134.07248354606006,5.314080511516197e-11,5.310775222728474e-11,5.314080511516197e-11,5.31738580030392e-11
63,0.24493755400180758,139.49182341933508,4.890901764571055e-11,4.8885682640778163e-11,4.890901764571055e-11,4.893235265064293e-11
64,0.18542200326919586,145.53657974798668,4.705867353684833e-11,4.703791265979326e-11,4.705867353684833e-11,4.70794344139034e-11
65,0.13959898054599765,151.93939327345697,4.640911128251859e-11,4.6389337928157625e-11,4.640911128251859e-11,4.6428884636879554e-11
66,0.10452400892972945,158.88929696286775,4.4772078503307707e-11,4.4752808758327785e-11,4.4772078503307707e-11,4.479134824828763e-11
67,0.07767251133918768,165.48256960765983,4.092955796021275e-11,4.091227619050579e-11,4.092955796021275e-11,4.094683972991972e-11
68,0.056792508810758584,171.42659336444058,3.7998464079010156e-11,3.7980338984826654e-11,3.7998464079010156e-11,3.801658917319366e-11
69,0.04014250636100761,177.6333305500759,3.83193238407975e-11,3.8290076210189104e-11,3.83193238407975e-11,3.83485714714059e-11
70,0.02635000087320806,187.62940859763327,4.4979969690873214e-11,4.492798796650458e-11,4.4979969690873214e-11,4.5031951415241844e-11
71,0.014999999664723887,209.86898406193973,5.6175347357283103e-11,5.609448295415944e-11,5.6175347357283103e-11,5.6256211760406766e-11
