lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.087011206964259e-12,3.087011206964259e-12,3.087011206964259e-12,3.087011206964259e-12
1,971.6244310048473,0.36625663400749947,2.976282034475736e-12,2.976282034475736e-12,2.976282034475736e-12,2.976282034475736e-12
2,956.7542402749618,0.5001096160252074,3.209209758311038e-12,3.209209758311038e-12,3.209209758311038e-12,3.209209758311038e-12
3,941.8841473755075,0.6358236496946832,3.92737938924015e-12,3.92737938924015e-12,3.92737938924015e-12,3.92737938924015e-12
4,927.0137936180281,0.7737023136984883,4.396706671821622e-12,4.396706671821622e-12,4.396706671821622e-12,4.396706671821622e-12
5,912.1431877107561,0.9140599557728831,5.046036619082143e-12,5.046036619082143e-12,5.046036619082143e-12,5.046036619082143e-12
6,897.2725265381572,1.056517394691973,5.315735085548842e-12,5.315735085548842e-12,5.315735085548842e-12,5.315735085548842e-12
7,882.4015480213002,1.200972749516894,5.725440441337712e-12,5.725440441337712e-12,5.725440441337712e-12,5.725440441337712e-12
8,867.5303567964003,1.3475120190675405,5.8932574109434105e-12,5.8932574109434105e-12,5.8932574109434105e-12,5.8932574109434105e-12
9,852.6592652163091,1.4962539028284811,5.70542918562754e-12,5.70542918562754e-12,5.70542918562754e-12,5.70542918562754e-12
10,837.7879949747113,1.6472308870137926,5.4418403140059404e-12,5.4418403140059404e-12,5.4418403140059404e-12,5.4418403140059404e-12
11,822.9164001887356,1.8005751816165532,5.054542688772535e-12,5.054542688772535e-12,5.054542688772535e-12,5.054542688772535e-12
12,805.5656263644386,1.9827939680123745,4.680875115823068e-12,4.680875115823068e-12,4.680875115823068e-12,4.680875115823068e-12
13,783.256871457526,2.2224936871622756,3.952324552700883e-12,3.952324552700883e-12,3.952324552700883e-12,3.952324552700883e-12
14,758.4695103909143,2.4962949930620897,3.6669229688251e-12,3.6669229688251e-12,3.6669229688251e-12,3.6669229688251e-12
15,733.6809880795391,2.77814138452743,3.2794686676980874e-12,3.2794686676980874e-12,3.2794686676980874e-12,3.2794686676980874e-12
16,708.8908488634015,3.067972755313559,3.1744937507785756e-12,3.1744937507785756e-12,3.1744937507785756e-12,3.1744937507785756e-12
17,684.1004760822683,3.3661126328894038,3.2170950114373743e-12,3.2170950114373743e-12,3.2170950114373743e-12,3.2170950114373743e-12
18,653.1112285285492,3.753393324301299,3.2677164903346875e-12,3.2677164903346875e-12,3.2677164903346875e-12,3.2677164903346875e-12
19,615.9205705120047,4.2379797038361025,3.369551776112365e-12,3.369551776112365e-12,3.369551776112365e-12,3.369551776112365e-12
20,578.7272043823215,4.752775529501931,3.2023199633537542e-12,3.2023199633537542e-12,3.2023199633537542e-12,3.2023199633537542e-12
21,541.5297974405477,5.293982624262083,2.9839533189765474e-12,2.9839533189765474e-12,2.9839533189765474e-12,2.9839533189765474e-12
22,504.3267976709419,5.866525051820845,2.9059928366795663e-12,2.9059928366795663e-12,2.9059928366795663e-12,2.9059928366795663e-12
23,467.1182254346348,6.4783499666903825,2.8969161166084566e-12,2.8969161166084566e-12,2.8969161166084566e-12,2.8969161166084566e-12
24,429.9018516259439,7.130616001171602,2.924756878387177e-12,2.924756878387177e-12,2.924756878387177e-12,2.924756878387177e-12
25,392.6748148107893,7.8276962056910495,2.8830261491953644e-12,2.8830261491953644e-12,2.8830261491953644e-12,2.8830261491953644e-12
26,355.4364121658684,8.582381437087088,2.6714036670895286e-12,2.6714036670895286e-12,2.6714036670895286e-12,2.6714036670895286e-12
27,312.2568471757569,9.510262026437415,2.2380209838664867e-12,2.2380209838664867e-12,2.2380209838664867e-12,2.2380209838664867e-12
28,266.2024287155883,10.602168136966553,1.8311347389541847e-12,1.8311347389541847e-12,1.8311347389541847e-12,1.8311347389541847e-12
29,226.40807678064118,11.660990898666412,1.630047210186742e-12,1.630047210186742e-12,1.630047210186742e-12,1.630047210186742e-12
30,192.52002788560424,12.736811932907898,1.867959841976512e-12,1.867959841976512e-12,1.867959841976512e-12,1.867959841976512e-12
31,163.6614990234374,13.78656633117675,2.728948669192111e-12,2.728948669192111e-12,2.728948669192111e-12,2.728948669192111e-12
32,139.11500549316403,14.787671064298221,4.279143476644746e-12,4.279143476644746e-12,4.279143476644746e-12,4.279143476644746e-12
33,118.25,15.906170270258151,4.5032681941688196e-12,4.5032681941688196e-12,4.5032681941688196e-12,4.5032681941688196e-12
34,100.51435089111324,17.24273064490245,3.151075562295483e-12,3.151075562295483e-12,3.151075562295483e-12,3.151075562295483e-12
