lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.406156496932037e-10,4.3984389689146266e-10,4.406156496932037e-10,4.413874024949448e-10
1,971.6244310048473,0.36625663400749947,4.4002768311624257e-10,4.392836126076236e-10,4.4002768311624257e-10,4.4077175362486153e-10
2,956.7542402749618,0.5001096160252074,4.351698487520351e-10,4.343675463124574e-10,4.351698487520351e-10,4.359721511916129e-10
3,941.8841473755075,0.6358236496946832,4.2226561382433284e-10,4.212837689770228e-10,4.2226561382433284e-10,4.232474586716429e-10
4,927.0137936180281,0.7737023136984883,3.9736246999394235e-10,3.9626329332598696e-10,3.9736246999394235e-10,3.984616466618978e-10
5,912.1431877107561,0.9140599557728831,3.350270435754741e-10,3.3376553442070354e-10,3.350270435754741e-10,3.3628855273024464e-10
6,897.2725265381572,1.056517394691973,2.901933439942674e-10,2.8886441022288017e-10,2.901933439942674e-10,2.9152227776565464e-10
7,882.4015480213002,1.200972749516894,2.463759976296942e-10,2.449446375193598e-10,2.463759976296942e-10,2.4780735774002864e-10
8,867.5303567964003,1.3475120190675405,2.1243429357273567e-10,2.1096097921999982e-10,2.1243429357273567e-10,2.1390760792547152e-10
9,852.6592652163091,1.4962539028284811,1.8642813607716115e-10,1.8500177878075426e-10,1.8642813607716115e-10,1.8785449337356803e-10
10,837.7879949747113,1.6472308870137926,1.6665722674970689e-10,1.6529676667120541e-10,1.6665722674970689e-10,1.6801768682820836e-10
11,822.9164001887356,1.8005751816165532,1.4734671184029653e-10,1.4608307616810339e-10,1.4734671184029653e-10,1.4861034751248964e-10
12,805.5656263644386,1.9827939680123745,1.256158737628233e-10,1.2444565498386752e-10,1.256158737628233e-10,1.2678609254177906e-10
13,783.256871457526,2.2224936871622756,9.852871259105228e-11,9.754063145287706e-11,9.852871259105228e-11,9.95167937292275e-11
14,758.4695103909143,2.4962949930620897,7.541145434710753e-11,7.449472360490124e-11,7.541145434710753e-11,7.632818508931381e-11
15,733.6809880795391,2.77814138452743,6.325480549135039e-11,6.243493832442588e-11,6.325480549135039e-11,6.407467265827491e-11
16,708.8908488634015,3.067972755313559,5.7938155405288745e-11,5.7144531967594096e-11,5.7938155405288745e-11,5.873177884298339e-11
