lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.158687472642093e-11,8.158687472642093e-11,8.158687472642093e-11,8.158687472642093e-11
1,971.6244310048473,0.36625663400749947,8.253630779822668e-11,8.253630779822668e-11,8.253630779822668e-11,8.253630779822668e-11
2,956.7542402749618,0.5001096160252074,8.202153713780963e-11,8.202153713780963e-11,8.202153713780963e-11,8.202153713780963e-11
3,941.8841473755075,0.6358236496946832,7.95797939604975e-11,7.95797939604975e-11,7.95797939604975e-11,7.95797939604975e-11
4,927.0137936180281,0.7737023136984883,7.399447284534097e-11,7.399447284534097e-11,7.399447284534097e-11,7.399447284534097e-11
5,912.1431877107561,0.9140599557728831,6.298094100032396e-11,6.298094100032396e-11,6.298094100032396e-11,6.298094100032396e-11
6,897.2725265381572,1.056517394691973,5.0189448576067605e-11,5.0189448576067605e-11,5.0189448576067605e-11,5.0189448576067605e-11
7,882.4015480213002,1.200972749516894,3.993267201418266e-11,3.993267201418266e-11,3.993267201418266e-11,3.993267201418266e-11
8,867.5303567964003,1.3475120190675405,3.2115700586312275e-11,3.2115700586312275e-11,3.2115700586312275e-11,3.2115700586312275e-11
9,852.6592652163091,1.4962539028284811,2.6442256960379127e-11,2.6442256960379127e-11,2.6442256960379127e-11,2.6442256960379127e-11
10,837.7879949747113,1.6472308870137926,2.2435895749615593e-11,2.2435895749615593e-11,2.2435895749615593e-11,2.2435895749615593e-11
11,822.9164001887356,1.8005751816165532,1.9175811860490656e-11,1.9175811860490656e-11,1.9175811860490656e-11,1.9175811860490656e-11
12,805.5656263644386,1.9827939680123745,1.634318688732771e-11,1.634318688732771e-11,1.634318688732771e-11,1.634318688732771e-11
13,783.256871457526,2.2224936871622756,1.3980932543142928e-11,1.3980932543142928e-11,1.3980932543142928e-11,1.3980932543142928e-11
14,758.4695103909143,2.4962949930620897,1.2048315405151726e-11,1.2048315405151726e-11,1.2048315405151726e-11,1.2048315405151726e-11
15,733.6809880795391,2.77814138452743,1.059172718491905e-11,1.059172718491905e-11,1.059172718491905e-11,1.059172718491905e-11
16,708.8908488634015,3.067972755313559,9.454517593281107e-12,9.454517593281107e-12,9.454517593281107e-12,9.454517593281107e-12
17,684.1004760822683,3.3661126328894038,8.606092532439789e-12,8.606092532439789e-12,8.606092532439789e-12,8.606092532439789e-12
18,653.1112285285492,3.753393324301299,8.03973423612751e-12,8.03973423612751e-12,8.03973423612751e-12,8.03973423612751e-12
19,615.9205705120047,4.2379797038361025,7.63597615457518e-12,7.63597615457518e-12,7.63597615457518e-12,7.63597615457518e-12
20,578.7272043823215,4.752775529501931,6.587911784494968e-12,6.587911784494968e-12,6.587911784494968e-12,6.587911784494968e-12
21,541.5297974405477,5.293982624262083,6.0974966086893525e-12,6.0974966086893525e-12,6.0974966086893525e-12,6.0974966086893525e-12
22,504.3267976709419,5.866525051820845,5.4853169380193145e-12,5.4853169380193145e-12,5.4853169380193145e-12,5.4853169380193145e-12
23,467.1182254346348,6.4783499666903825,4.768892804275295e-12,4.768892804275295e-12,4.768892804275295e-12,4.768892804275295e-12
24,429.9018516259439,7.130616001171602,4.711136572621269e-12,4.711136572621269e-12,4.711136572621269e-12,4.711136572621269e-12
