lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.1691408538240568e-09,1.1577764911639732e-09,1.1691408538240568e-09,1.1805052164841405e-09
1,971.6244310048473,0.36625663400749947,1.1880425060430787e-09,1.176729328828652e-09,1.1880425060430787e-09,1.1993556832575056e-09
2,956.7542402749618,0.5001096160252074,1.2089533315130575e-09,1.1979674476385542e-09,1.2089533315130575e-09,1.219939215387561e-09
3,941.8841473755075,0.6358236496946832,1.2580907927380385e-09,1.2483651335889633e-09,1.2580907927380385e-09,1.2678164518871137e-09
4,927.0137936180281,0.7737023136984883,1.1602475477217215e-09,1.1535786417531524e-09,1.1602475477217215e-09,1.1669164536902906e-09
5,912.1431877107561,0.9140599557728831,8.471520126828087e-10,8.431757001550957e-10,8.471520126828087e-10,8.511283252105216e-10
6,897.2725265381572,1.056517394691973,5.790768098024621e-10,5.762994716297594e-10,5.790768098024621e-10,5.818541479751649e-10
7,882.4015480213002,1.200972749516894,3.697569889859878e-10,3.6790384396793885e-10,3.697569889859878e-10,3.716101340040367e-10
8,867.5303567964003,1.3475120190675405,2.6066597455528775e-10,2.592253800002813e-10,2.6066597455528775e-10,2.621065691102942e-10
9,852.6592652163091,1.4962539028284811,1.9235662696601993e-10,1.912282390004763e-10,1.9235662696601993e-10,1.9348501493156354e-10
10,837.7879949747113,1.6472308870137926,1.5203559933675218e-10,1.510606444211222e-10,1.5203559933675218e-10,1.5301055425238218e-10
11,822.9164001887356,1.8005751816165532,1.2260111722079535e-10,1.21774350528272e-10,1.2260111722079535e-10,1.2342788391331868e-10
12,805.5656263644386,1.9827939680123745,9.660570330323704e-11,9.590800629284072e-11,9.660570330323704e-11,9.730340031363338e-11
13,783.256871457526,2.2224936871622756,6.552126529149648e-11,6.499222833878445e-11,6.552126529149648e-11,6.605030224420851e-11
14,758.4695103909143,2.4962949930620897,3.9546561458102653e-11,3.9139966309979414e-11,3.9546561458102653e-11,3.995315660622589e-11
15,733.6809880795391,2.77814138452743,2.4254569761738785e-11,2.391763654773652e-11,2.4254569761738785e-11,2.459150297574105e-11
16,708.8908488634015,3.067972755313559,1.6654218882810054e-11,1.6359913226037116e-11,1.6654218882810054e-11,1.694852453958299e-11
17,684.1004760822683,3.3661126328894038,1.3788384816918037e-11,1.3508399519139373e-11,1.3788384816918037e-11,1.4068370114696701e-11
18,653.1112285285492,3.753393324301299,1.1992991233291105e-11,1.1703419689429573e-11,1.1992991233291105e-11,1.2282562777152636e-11
19,615.9205705120047,4.2379797038361025,9.543722797238214e-12,9.233423836678102e-12,9.543722797238214e-12,9.854021757798326e-12
20,578.7272043823215,4.752775529501931,6.91829533588816e-12,6.6184934907664155e-12,6.91829533588816e-12,7.2180971810099055e-12
21,541.5297974405477,5.293982624262083,5.035040707723706e-12,4.760359021767784e-12,5.035040707723706e-12,5.309722393679628e-12
22,504.3267976709419,5.866525051820845,3.7070435906532416e-12,3.4224563864007738e-12,3.7070435906532416e-12,3.99163079490571e-12
23,467.1182254346348,6.4783499666903825,3.3522434746108243e-12,3.0354508417155124e-12,3.3522434746108243e-12,3.669036107506136e-12
24,429.9018516259439,7.130616001171602,3.4871899224173795e-12,3.1144224644575025e-12,3.4871899224173795e-12,3.859957380377256e-12
25,392.6748148107893,7.8276962056910495,3.939318803628999e-12,3.5072267194945955e-12,3.939318803628999e-12,4.371410887763401e-12
26,355.4364121658684,8.582381437087088,4.505046517281821e-12,3.982710071052844e-12,4.505046517281821e-12,5.027382963510798e-12
27,312.2568471757569,9.510262026437415,4.524551487776948e-12,4.07381392568805e-12,4.524551487776948e-12,4.975289049865846e-12
28,266.2024287155883,10.602168136966553,5.958388109273879e-12,5.626565431136331e-12,5.958388109273879e-12,6.290210787411427e-12
29,226.40807678064118,11.660990898666412,5.9114102440147015e-12,5.690053892862332e-12,5.9114102440147015e-12,6.132766595167071e-12
30,192.52002788560424,12.736811932907898,2.9402211664481537e-12,2.7299295254046145e-12,2.9402211664481537e-12,3.1505128074916933e-12
31,163.6614990234374,13.78656633117675,1.948443424202838e-12,1.7465938855416959e-12,1.948443424202838e-12,2.15029296286398e-12
32,139.11500549316403,14.787671064298221,1.5859296325643735e-12,1.4264303106761966e-12,1.5859296325643735e-12,1.7454289544525504e-12
33,118.25,15.906170270258151,1.0395810444941797e-12,9.778301791977124e-13,1.0395810444941797e-12,1.101331909790647e-12
34,100.51435089111324,17.24273064490245,8.521094824255085e-13,8.195511427216274e-13,8.521094824255085e-13,8.846678221293896e-13
35,85.43901824951189,18.813372559902348,7.950685108512785e-13,7.817889793687935e-13,7.950685108512785e-13,8.083480423337634e-13
36,72.55786132812501,20.65052603534648,8.753280732204574e-13,8.716776796637494e-13,8.753280732204574e-13,8.789784667771654e-13
37,61.495662689209006,22.74331462627693,1.0686002892298353e-12,1.067805253813666e-12,1.0686002892298353e-12,1.0693953246460043e-12
38,52.015911102294844,24.86505040859316,1.7031031803957152e-12,1.7022300218161908e-12,1.7031031803957152e-12,1.7039763389752395e-12
39,43.90966415405282,27.052485734519244,2.3676269916157966e-12,2.3675143208110757e-12,2.3676269916157966e-12,2.367739662420517e-12
40,36.9927101135254,29.32647120258809,3.5365744613820584e-12,3.536543798641749e-12,3.5365744613820584e-12,3.5366051241223685e-12
41,31.08891105651863,31.748905700260213,4.122122873938297e-12,4.122089479211443e-12,4.122122873938297e-12,4.122156268665152e-12
42,26.049108505249027,34.31199278898532,4.813542109462617e-12,4.813529774790152e-12,4.813542109462617e-12,4.813554444135082e-12
43,21.76100349426269,37.02114906529215,7.31711736879278e-12,7.317055668440183e-12,7.31711736879278e-12,7.317179069145375e-12
44,18.124349594116172,40.00166859906441,1.0658005607471561e-11,1.0657873134601122e-11,1.0658005607471561e-11,1.0658138080342e-11
45,15.05025005340576,43.13537659190267,1.0644700654079407e-11,1.0644522621769397e-11,1.0644700654079407e-11,1.0644878686389417e-11
46,12.460150718688988,46.41231625206779,6.545955484929453e-12,6.545796171200192e-12,6.545955484929453e-12,6.546114798658715e-12
47,10.284920692443848,49.82768019095182,3.704254593525093e-12,3.704141950585671e-12,3.704254593525093e-12,3.704367236464516e-12
48,8.45639133453367,53.56635280817698,2.8355498787067295e-12,2.835456536957127e-12,2.8355498787067295e-12,2.8356432204563325e-12
49,6.9183211326599094,57.94668908538693,2.4073951903442836e-12,2.4073475316172252e-12,2.4073951903442836e-12,2.407442849071342e-12
50,5.631801128387452,62.66958728955136,3.131902102387492e-12,3.1317999068759033e-12,3.131902102387492e-12,3.1320042978990804e-12
51,4.561686038970957,67.91525438663359,5.275371159308964e-12,5.275006563200509e-12,5.275371159308964e-12,5.275735755417419e-12
52,3.6765010356903076,73.3631121633128,9.29776018918417e-12,9.296977779986588e-12,9.29776018918417e-12,9.298542598381752e-12
53,2.948321104049681,79.34230382171329,1.2730555243358803e-11,1.2729540054933879e-11,1.2730555243358803e-11,1.2731570431783728e-11
54,2.352590560913084,86.018857705306,1.5463190655122454e-11,1.5462020285096775e-11,1.5463190655122454e-11,1.5464361025148134e-11
55,1.867879986762998,93.22960225320968,1.7952362634219645e-11,1.795106148057454e-11,1.7952362634219645e-11,1.795366378786475e-11
56,1.475649952888488,100.60502256166222,2.182191684540069e-11,2.1820425467621613e-11,2.182191684540069e-11,2.1823408223179764e-11
57,1.159975051879883,107.73082344928824,2.768751261398183e-11,2.768582523806611e-11,2.768751261398183e-11,2.768919998989755e-11
58,0.9072870612144474,113.85502993179693,3.572873985917237e-11,3.5726872484247615e-11,3.572873985917237e-11,3.5730607234097125e-11
59,0.705956518650055,119.50150429056178,5.057301396673114e-11,5.057081297778009e-11,5.057301396673114e-11,5.057521495568218e-11
