lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.802616622864074e-10,2.748870871895582e-10,2.802616622864074e-10,2.856362373832567e-10
1,971.6244310048473,0.36625663400749947,2.79594512846788e-10,2.742150583730757e-10,2.79594512846788e-10,2.849739673205003e-10
2,956.7542402749618,0.5001096160252074,2.792204178258956e-10,2.7382117940141993e-10,2.792204178258956e-10,2.846196562503713e-10
3,941.8841473755075,0.6358236496946832,2.821048515748316e-10,2.767272945191417e-10,2.821048515748316e-10,2.8748240863052154e-10
4,927.0137936180281,0.7737023136984883,2.7524809803853864e-10,2.6965376079234855e-10,2.7524809803853864e-10,2.808424352847287e-10
5,912.1431877107561,0.9140599557728831,2.5225685191677036e-10,2.460633760702065e-10,2.5225685191677036e-10,2.5845032776333417e-10
6,897.2725265381572,1.056517394691973,2.2342121017422717e-10,2.1678530245323405e-10,2.2342121017422717e-10,2.300571178952203e-10
7,882.4015480213002,1.200972749516894,1.9063870208591802e-10,1.8409930506687109e-10,1.9063870208591802e-10,1.9717809910496496e-10
8,867.5303567964003,1.3475120190675405,1.5434581669987936e-10,1.481951662612426e-10,1.5434581669987936e-10,1.6049646713851612e-10
9,852.6592652163091,1.4962539028284811,1.2251192330393374e-10,1.167925322592059e-10,1.2251192330393374e-10,1.282313143486616e-10
10,837.7879949747113,1.6472308870137926,9.60055688040813e-11,9.069607477107365e-11,9.60055688040813e-11,1.0131506283708893e-10
11,822.9164001887356,1.8005751816165532,7.222596904678142e-11,6.740298158064463e-11,7.222596904678142e-11,7.70489565129182e-11
12,805.5656263644386,1.9827939680123745,5.383464862042557e-11,4.945668814923616e-11,5.383464862042557e-11,5.821260909161498e-11
13,783.256871457526,2.2224936871622756,4.0674496353543764e-11,3.674149826967708e-11,4.0674496353543764e-11,4.460749443741045e-11
14,758.4695103909143,2.4962949930620897,3.1025662747611794e-11,2.758786137725292e-11,3.1025662747611794e-11,3.446346411797066e-11
15,733.6809880795391,2.77814138452743,2.441138735331873e-11,2.1398048660509224e-11,2.441138735331873e-11,2.7424726046128236e-11
16,708.8908488634015,3.067972755313559,1.9753310368632895e-11,1.7032594579996362e-11,1.9753310368632895e-11,2.2474026157269428e-11
17,684.1004760822683,3.3661126328894038,1.65731306165051e-11,1.3988212478519933e-11,1.65731306165051e-11,1.9158048754490274e-11
18,653.1112285285492,3.753393324301299,1.438639625834908e-11,1.17959965329384e-11,1.438639625834908e-11,1.6976795983759764e-11
19,615.9205705120047,4.2379797038361025,1.2578837052489692e-11,9.862213527264555e-12,1.2578837052489692e-11,1.529546057771483e-11
20,578.7272043823215,4.752775529501931,1.0811317288002765e-11,8.139671446999737e-12,1.0811317288002765e-11,1.3482963129005795e-11
21,541.5297974405477,5.293982624262083,9.654550658465816e-12,7.0913099724684985e-12,9.654550658465816e-12,1.2217791344463131e-11
22,504.3267976709419,5.866525051820845,8.312175615812799e-12,6.114045685662344e-12,8.312175615812799e-12,1.0510305545963253e-11
23,467.1182254346348,6.4783499666903825,7.831682992827589e-12,5.929331842823656e-12,7.831682992827589e-12,9.734034142831523e-12
24,429.9018516259439,7.130616001171602,8.585735310098882e-12,6.941188164382934e-12,8.585735310098882e-12,1.023028245581483e-11
25,392.6748148107893,7.8276962056910495,1.069771641653866e-11,9.286359642737165e-12,1.069771641653866e-11,1.2109073190340155e-11
26,355.4364121658684,8.582381437087088,1.0342574311986524e-11,9.268716127646713e-12,1.0342574311986524e-11,1.1416432496326334e-11
27,312.2568471757569,9.510262026437415,8.404870037753328e-12,7.368803435042242e-12,8.404870037753328e-12,9.440936640464413e-12
28,266.2024287155883,10.602168136966553,7.357590590715522e-12,6.3926183787090885e-12,7.357590590715522e-12,8.322562802721955e-12
29,226.40807678064118,11.660990898666412,6.236569843680915e-12,5.44704728695505e-12,6.236569843680915e-12,7.026092400406781e-12
30,192.52002788560424,12.736811932907898,5.004411112491656e-12,4.376187896651331e-12,5.004411112491656e-12,5.632634328331981e-12
31,163.6614990234374,13.78656633117675,4.949848370623929e-12,4.382640856102101e-12,4.949848370623929e-12,5.517055885145756e-12
32,139.11500549316403,14.787671064298221,8.767116309689366e-12,8.105917454816699e-12,8.767116309689366e-12,9.428315164562035e-12
33,118.25,15.906170270258151,2.294926888366207e-11,2.1837544054130877e-11,2.294926888366207e-11,2.4060993713193266e-11
34,100.51435089111324,17.24273064490245,4.687562546726143e-11,4.6087904455955774e-11,4.687562546726143e-11,4.7663346478567075e-11
35,85.43901824951189,18.813372559902348,6.891503558771994e-11,6.853036962163145e-11,6.891503558771994e-11,6.929970155380844e-11
36,72.55786132812501,20.65052603534648,1.026751540298963e-10,1.0265971666914513e-10,1.026751540298963e-10,1.0269059139064746e-10
37,61.495662689209006,22.74331462627693,1.4706191186102052e-10,1.4703896412616416e-10,1.4706191186102052e-10,1.470848595958769e-10
38,52.015911102294844,24.86505040859316,1.7337877277055469e-10,1.7337749653222287e-10,1.7337877277055469e-10,1.733800490088865e-10
39,43.90966415405282,27.052485734519244,1.8884909385365255e-10,1.8884731756716277e-10,1.8884909385365255e-10,1.8885087014014236e-10
40,36.9927101135254,29.32647120258809,2.081552225391673e-10,2.0815485536422708e-10,2.081552225391673e-10,2.0815558971410757e-10
41,31.08891105651863,31.748905700260213,2.3322380271611053e-10,2.332235799248447e-10,2.3322380271611053e-10,2.3322402550737634e-10
42,26.049108505249027,34.31199278898532,2.539322416407055e-10,2.53931967739576e-10,2.539322416407055e-10,2.5393251554183495e-10
43,21.76100349426269,37.02114906529215,2.701152373544195e-10,2.701148249298216e-10,2.701152373544195e-10,2.701156497790174e-10
44,18.124349594116172,40.00166859906441,2.7765291350794456e-10,2.7765247035411417e-10,2.7765291350794456e-10,2.7765335666177496e-10
45,15.05025005340576,43.13537659190267,2.8066351435095375e-10,2.8066315842725953e-10,2.8066351435095375e-10,2.80663870274648e-10
46,12.460150718688988,46.41231625206779,2.878874784609721e-10,2.8788720980167653e-10,2.878874784609721e-10,2.8788774712026767e-10
47,10.284920692443848,49.82768019095182,2.9372033555642035e-10,2.937201259232903e-10,2.9372033555642035e-10,2.9372054518955034e-10
48,8.45639133453367,53.56635280817698,2.819588034388854e-10,2.819586674216927e-10,2.819588034388854e-10,2.8195893945607804e-10
49,6.9183211326599094,57.94668908538693,2.498731451118734e-10,2.4987311264867625e-10,2.498731451118734e-10,2.498731775750706e-10
50,5.631801128387452,62.66958728955136,2.1520245582328624e-10,2.1520234190692462e-10,2.1520245582328624e-10,2.1520256973964786e-10
51,4.561686038970957,67.91525438663359,1.7103275492943829e-10,1.710323609500925e-10,1.7103275492943829e-10,1.7103314890878403e-10
52,3.6765010356903076,73.3631121633128,1.484097859716105e-10,1.4840912016344175e-10,1.484097859716105e-10,1.4841045177977922e-10
53,2.948321104049681,79.34230382171329,1.4810299380103253e-10,1.4810209381271666e-10,1.4810299380103253e-10,1.481038937893484e-10
54,2.352590560913084,86.018857705306,1.4961521481855582e-10,1.4961416255370183e-10,1.4961521481855582e-10,1.496162670834098e-10
55,1.867879986762998,93.22960225320968,1.486688890163401e-10,1.4866766390523044e-10,1.486688890163401e-10,1.4867011412744973e-10
56,1.475649952888488,100.60502256166222,1.4595102356873695e-10,1.4594957297724196e-10,1.4595102356873695e-10,1.4595247416023193e-10
57,1.159975051879883,107.73082344928824,1.432542001664883e-10,1.432524606009797e-10,1.432542001664883e-10,1.4325593973199686e-10
58,0.9072870612144474,113.85502993179693,1.432022111120401e-10,1.432002473602075e-10,1.432022111120401e-10,1.432041748638727e-10
59,0.705956518650055,119.50150429056178,1.6038618706689622e-10,1.6038361002057387e-10,1.6038618706689622e-10,1.6038876411321857e-10
60,0.5462926030159002,124.26019209911512,2.2365796901523237e-10,2.236538324422395e-10,2.2365796901523237e-10,2.2366210558822525e-10
61,0.4204235970973968,129.0678850820543,2.63821937551476e-10,2.6381746758273994e-10,2.63821937551476e-10,2.63826407520212e-10
62,0.3217835724353792,134.07248354606006,1.881100884214791e-10,1.881076107409799e-10,1.881100884214791e-10,1.881125661019783e-10
63,0.24493755400180758,139.49182341933508,9.376491448285203e-11,9.37640901280072e-11,9.376491448285203e-11,9.376573883769687e-11
64,0.18542200326919586,145.53657974798668,4.069336075980098e-11,4.069315762467718e-11,4.069336075980098e-11,4.0693563894924784e-11
65,0.13959898054599765,151.93939327345697,1.8421452364550956e-11,1.8421393785015535e-11,1.8421452364550956e-11,1.8421510944086377e-11
66,0.10452400892972945,158.88929696286775,8.685598268609804e-12,8.685579234789262e-12,8.685598268609804e-12,8.685617302430348e-12
67,0.07767251133918768,165.48256960765983,4.770388855820951e-12,4.7703832348291586e-12,4.770388855820951e-12,4.770394476812743e-12
68,0.056792508810758584,171.42659336444058,3.093398793537765e-12,3.0933959507784834e-12,3.093398793537765e-12,3.093401636297047e-12
69,0.04014250636100761,177.6333305500759,1.9148910312014917e-12,1.9148894838368115e-12,1.9148910312014917e-12,1.9148925785661715e-12
70,0.02635000087320806,187.62940859763327,8.529640019632436e-13,8.529632161906843e-13,8.529640019632436e-13,8.52964787735803e-13
71,0.014999999664723887,209.86898406193973,2.0669370438854203e-13,2.0669354841211645e-13,2.0669370438854203e-13,2.0669386036496758e-13
