lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.761948895026627e-11,2.761948895026627e-11,2.761948895026627e-11,2.761948895026627e-11
1,971.6244310048473,0.36625663400749947,2.810856098501279e-11,2.810856098501279e-11,2.810856098501279e-11,2.810856098501279e-11
2,956.7542402749618,0.5001096160252074,2.8641700269052453e-11,2.8641700269052453e-11,2.8641700269052453e-11,2.8641700269052453e-11
3,941.8841473755075,0.6358236496946832,2.8192163735764666e-11,2.8192163735764666e-11,2.8192163735764666e-11,2.8192163735764666e-11
4,927.0137936180281,0.7737023136984883,2.4356577222890112e-11,2.4356577222890112e-11,2.4356577222890112e-11,2.4356577222890112e-11
5,912.1431877107561,0.9140599557728831,2.0126879817424302e-11,2.0126879817424302e-11,2.0126879817424302e-11,2.0126879817424302e-11
6,897.2725265381572,1.056517394691973,1.555920870452316e-11,1.555920870452316e-11,1.555920870452316e-11,1.555920870452316e-11
7,882.4015480213002,1.200972749516894,1.27360158541699e-11,1.27360158541699e-11,1.27360158541699e-11,1.27360158541699e-11
8,867.5303567964003,1.3475120190675405,1.1412224765341068e-11,1.1412224765341068e-11,1.1412224765341068e-11,1.1412224765341068e-11
9,852.6592652163091,1.4962539028284811,1.0663291192164472e-11,1.0663291192164472e-11,1.0663291192164472e-11,1.0663291192164472e-11
10,837.7879949747113,1.6472308870137926,1.0154566364008659e-11,1.0154566364008659e-11,1.0154566364008659e-11,1.0154566364008659e-11
11,822.9164001887356,1.8005751816165532,9.620661133195558e-12,9.620661133195558e-12,9.620661133195558e-12,9.620661133195558e-12
12,805.5656263644386,1.9827939680123745,9.068176195476806e-12,9.068176195476806e-12,9.068176195476806e-12,9.068176195476806e-12
13,783.256871457526,2.2224936871622756,8.427241417435853e-12,8.427241417435853e-12,8.427241417435853e-12,8.427241417435853e-12
14,758.4695103909143,2.4962949930620897,7.869165587343412e-12,7.869165587343412e-12,7.869165587343412e-12,7.869165587343412e-12
15,733.6809880795391,2.77814138452743,7.371770079001612e-12,7.371770079001612e-12,7.371770079001612e-12,7.371770079001612e-12
16,708.8908488634015,3.067972755313559,7.154366386410097e-12,7.154366386410097e-12,7.154366386410097e-12,7.154366386410097e-12
17,684.1004760822683,3.3661126328894038,7.300198581187286e-12,7.300198581187286e-12,7.300198581187286e-12,7.300198581187286e-12
18,653.1112285285492,3.753393324301299,7.301291133613225e-12,7.301291133613225e-12,7.301291133613225e-12,7.301291133613225e-12
19,615.9205705120047,4.2379797038361025,6.814413349381208e-12,6.814413349381208e-12,6.814413349381208e-12,6.814413349381208e-12
20,578.7272043823215,4.752775529501931,6.13483827023463e-12,6.13483827023463e-12,6.13483827023463e-12,6.13483827023463e-12
21,541.5297974405477,5.293982624262083,5.4366038424954284e-12,5.4366038424954284e-12,5.4366038424954284e-12,5.4366038424954284e-12
22,504.3267976709419,5.866525051820845,4.760438616790415e-12,4.760438616790415e-12,4.760438616790415e-12,4.760438616790415e-12
23,467.1182254346348,6.4783499666903825,3.9332371819870475e-12,3.9332371819870475e-12,3.9332371819870475e-12,3.9332371819870475e-12
24,429.9018516259439,7.130616001171602,3.3466941714663835e-12,3.3466941714663835e-12,3.3466941714663835e-12,3.3466941714663835e-12
25,392.6748148107893,7.8276962056910495,3.2424530089066744e-12,3.2424530089066744e-12,3.2424530089066744e-12,3.2424530089066744e-12
26,355.4364121658684,8.582381437087088,3.6287574762432837e-12,3.6287574762432837e-12,3.6287574762432837e-12,3.6287574762432837e-12
27,312.2568471757569,9.510262026437415,4.8075747636281316e-12,4.8075747636281316e-12,4.8075747636281316e-12,4.8075747636281316e-12
28,266.2024287155883,10.602168136966553,5.476209485669535e-12,5.476209485669535e-12,5.476209485669535e-12,5.476209485669535e-12
29,226.40807678064118,11.660990898666412,4.005462663450797e-12,4.005462663450797e-12,4.005462663450797e-12,4.005462663450797e-12
30,192.52002788560424,12.736811932907898,3.084654556521176e-12,3.084654556521176e-12,3.084654556521176e-12,3.084654556521176e-12
31,163.6614990234374,13.78656633117675,2.7177977807976256e-12,2.7177977807976256e-12,2.7177977807976256e-12,2.7177977807976256e-12
32,139.11500549316403,14.787671064298221,2.628293891186354e-12,2.628293891186354e-12,2.628293891186354e-12,2.628293891186354e-12
33,118.25,15.906170270258151,3.5238457776127394e-12,3.5238457776127394e-12,3.5238457776127394e-12,3.5238457776127394e-12
34,100.51435089111324,17.24273064490245,3.5202867166633582e-12,3.5202867166633582e-12,3.5202867166633582e-12,3.5202867166633582e-12
