lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.7344802829429352e-10,1.6654315605672695e-10,1.7344802829429352e-10,1.8035290053186007e-10
1,971.6244310048473,0.36625663400749947,1.7284822679900436e-10,1.6582108655275116e-10,1.7284822679900436e-10,1.7987536704525756e-10
2,956.7542402749618,0.5001096160252074,1.7051706097311862e-10,1.6335663590585551e-10,1.7051706097311862e-10,1.7767748604038175e-10
3,941.8841473755075,0.6358236496946832,1.6132679243131201e-10,1.5427875149737085e-10,1.6132679243131201e-10,1.6837483336525318e-10
4,927.0137936180281,0.7737023136984883,1.516063341161232e-10,1.4551718981040066e-10,1.516063341161232e-10,1.5769547842184575e-10
5,912.1431877107561,0.9140599557728831,1.3643849950051317e-10,1.314067795461571e-10,1.3643849950051317e-10,1.4147021945486924e-10
6,897.2725265381572,1.056517394691973,1.0401650721228029e-10,1.0012670503614951e-10,1.0401650721228029e-10,1.0790630938841108e-10
7,882.4015480213002,1.200972749516894,5.963656098450495e-11,5.6452557020962475e-11,5.963656098450495e-11,6.282056494804743e-11
8,867.5303567964003,1.3475120190675405,4.339500989831106e-11,4.054195370697579e-11,4.339500989831106e-11,4.624806608964633e-11
9,852.6592652163091,1.4962539028284811,4.275506327074578e-11,4.0089240472704667e-11,4.275506327074578e-11,4.5420886068786896e-11
10,837.7879949747113,1.6472308870137926,4.1330446291268976e-11,3.879180470026681e-11,4.1330446291268976e-11,4.386908788227114e-11
11,822.9164001887356,1.8005751816165532,3.854537754892796e-11,3.614021226562907e-11,3.854537754892796e-11,4.0950542832226855e-11
12,805.5656263644386,1.9827939680123745,3.328734277175293e-11,3.102029872288373e-11,3.328734277175293e-11,3.555438682062214e-11
13,783.256871457526,2.2224936871622756,2.4502414250731404e-11,2.2395603896372442e-11,2.4502414250731404e-11,2.660922460509037e-11
14,758.4695103909143,2.4962949930620897,1.6985132135235482e-11,1.5017840738399628e-11,1.6985132135235482e-11,1.8952423532071333e-11
15,733.6809880795391,2.77814138452743,1.4541071304831065e-11,1.2698128785080663e-11,1.4541071304831065e-11,1.6384013824581468e-11
16,708.8908488634015,3.067972755313559,1.456081606371971e-11,1.2772224467117184e-11,1.456081606371971e-11,1.634940766032223e-11
17,684.1004760822683,3.3661126328894038,1.5925858372526424e-11,1.4100808727229602e-11,1.5925858372526424e-11,1.7750908017823245e-11
18,653.1112285285492,3.753393324301299,1.7956126761196135e-11,1.613080397779283e-11,1.7956126761196135e-11,1.978144954459944e-11
19,615.9205705120047,4.2379797038361025,2.004028399922057e-11,1.833668066187527e-11,2.004028399922057e-11,2.1743887336565873e-11
20,578.7272043823215,4.752775529501931,2.13802225764964e-11,1.9846513008937743e-11,2.13802225764964e-11,2.2913932144055058e-11
21,541.5297974405477,5.293982624262083,2.2355626695974884e-11,2.0996475735351027e-11,2.2355626695974884e-11,2.371477765659874e-11
22,504.3267976709419,5.866525051820845,2.3607242981641303e-11,2.24171333274437e-11,2.3607242981641303e-11,2.4797352635838906e-11
23,467.1182254346348,6.4783499666903825,2.5360145681213656e-11,2.4376836385716895e-11,2.5360145681213656e-11,2.634345497671042e-11
24,429.9018516259439,7.130616001171602,2.9419867561094556e-11,2.858319401822796e-11,2.9419867561094556e-11,3.025654110396115e-11
25,392.6748148107893,7.8276962056910495,3.543711355054485e-11,3.462650029831819e-11,3.543711355054485e-11,3.624772680277152e-11
26,355.4364121658684,8.582381437087088,3.762548126977294e-11,3.671829190071212e-11,3.762548126977294e-11,3.8532670638833763e-11
27,312.2568471757569,9.510262026437415,3.0688940648673816e-11,2.948704695776678e-11,3.0688940648673816e-11,3.189083433958085e-11
28,266.2024287155883,10.602168136966553,2.3259360358144834e-11,2.189030798672745e-11,2.3259360358144834e-11,2.4628412729562215e-11
29,226.40807678064118,11.660990898666412,1.6164245515397e-11,1.5162879849534303e-11,1.6164245515397e-11,1.7165611181259703e-11
30,192.52002788560424,12.736811932907898,1.3086228933303664e-11,1.231506529417337e-11,1.3086228933303664e-11,1.3857392572433959e-11
31,163.6614990234374,13.78656633117675,1.5924237479440505e-11,1.5244788034241098e-11,1.5924237479440505e-11,1.660368692463991e-11
32,139.11500549316403,14.787671064298221,1.978612212370194e-11,1.912904865090535e-11,1.978612212370194e-11,2.044319559649853e-11
33,118.25,15.906170270258151,2.653010325830432e-11,2.5649141813901134e-11,2.653010325830432e-11,2.7411064702707504e-11
34,100.51435089111324,17.24273064490245,4.545651538528465e-11,4.457644370611881e-11,4.545651538528465e-11,4.633658706445049e-11
35,85.43901824951189,18.813372559902348,6.434775463603763e-11,6.380777289907763e-11,6.434775463603763e-11,6.488773637299761e-11
36,72.55786132812501,20.65052603534648,9.793681252763977e-11,9.788104242740412e-11,9.793681252763977e-11,9.799258262787542e-11
37,61.495662689209006,22.74331462627693,1.4704729438034475e-10,1.470361572942054e-10,1.4704729438034475e-10,1.470584314664841e-10
38,52.015911102294844,24.86505040859316,1.648956874417776e-10,1.6489182693683723e-10,1.648956874417776e-10,1.6489954794671793e-10
39,43.90966415405282,27.052485734519244,1.784473753592854e-10,1.7844231287207248e-10,1.784473753592854e-10,1.7845243784649837e-10
40,36.9927101135254,29.32647120258809,2.111068321561251e-10,2.1110147625629625e-10,2.111068321561251e-10,2.1111218805595397e-10
41,31.08891105651863,31.748905700260213,2.3738522288056684e-10,2.3738461528192724e-10,2.3738522288056684e-10,2.3738583047920644e-10
42,26.049108505249027,34.31199278898532,2.524032496934184e-10,2.524029002878273e-10,2.524032496934184e-10,2.5240359909900953e-10
43,21.76100349426269,37.02114906529215,2.628441565717697e-10,2.6284371378085717e-10,2.628441565717697e-10,2.6284459936268227e-10
44,18.124349594116172,40.00166859906441,2.7034135502703284e-10,2.7034101557513867e-10,2.7034135502703284e-10,2.70341694478927e-10
45,15.05025005340576,43.13537659190267,2.8287591404622344e-10,2.8287565454592814e-10,2.8287591404622344e-10,2.8287617354651874e-10
46,12.460150718688988,46.41231625206779,2.925336608161352e-10,2.925334355458017e-10,2.925336608161352e-10,2.925338860864687e-10
47,10.284920692443848,49.82768019095182,2.872904197337732e-10,2.8729023782218366e-10,2.872904197337732e-10,2.872906016453627e-10
48,8.45639133453367,53.56635280817698,2.61409109169143e-10,2.614090147503532e-10,2.61409109169143e-10,2.614092035879328e-10
49,6.9183211326599094,57.94668908538693,2.3162180876597062e-10,2.3162179514848766e-10,2.3162180876597062e-10,2.3162182238345359e-10
50,5.631801128387452,62.66958728955136,1.866772953110833e-10,1.866771421035485e-10,1.866772953110833e-10,1.8667744851861815e-10
51,4.561686038970957,67.91525438663359,1.5796061418788784e-10,1.5796025254839697e-10,1.5796061418788784e-10,1.5796097582737871e-10
52,3.6765010356903076,73.3631121633128,1.518060290419937e-10,1.5180537341923367e-10,1.518060290419937e-10,1.518066846647537e-10
53,2.948321104049681,79.34230382171329,1.5031069734421356e-10,1.5030979446502206e-10,1.5031069734421356e-10,1.5031160022340506e-10
54,2.352590560913084,86.018857705306,1.4869516530971114e-10,1.4869400877148889e-10,1.4869516530971114e-10,1.4869632184793336e-10
55,1.867879986762998,93.22960225320968,1.4587265353732824e-10,1.4587128434492638e-10,1.4587265353732824e-10,1.4587402272973012e-10
56,1.475649952888488,100.60502256166222,1.4366379968864487e-10,1.4366223517503558e-10,1.4366379968864487e-10,1.4366536420225416e-10
