lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.4223894297239683e-11,2.4223894297239683e-11,2.4223894297239683e-11,2.4223894297239683e-11
1,971.6244310048473,0.36625663400749947,2.4192118730784335e-11,2.4192118730784335e-11,2.4192118730784335e-11,2.4192118730784335e-11
2,956.7542402749618,0.5001096160252074,2.436781653377812e-11,2.436781653377812e-11,2.436781653377812e-11,2.436781653377812e-11
3,941.8841473755075,0.6358236496946832,2.438154490310275e-11,2.438154490310275e-11,2.438154490310275e-11,2.438154490310275e-11
4,927.0137936180281,0.7737023136984883,2.0651014216063045e-11,2.0651014216063045e-11,2.0651014216063045e-11,2.0651014216063045e-11
5,912.1431877107561,0.9140599557728831,1.4846806267890594e-11,1.4846806267890594e-11,1.4846806267890594e-11,1.4846806267890594e-11
6,897.2725265381572,1.056517394691973,1.2991930371503759e-11,1.2991930371503759e-11,1.2991930371503759e-11,1.2991930371503759e-11
7,882.4015480213002,1.200972749516894,1.2327170328761906e-11,1.2327170328761906e-11,1.2327170328761906e-11,1.2327170328761906e-11
8,867.5303567964003,1.3475120190675405,1.1682384030836813e-11,1.1682384030836813e-11,1.1682384030836813e-11,1.1682384030836813e-11
9,852.6592652163091,1.4962539028284811,1.0868771201963157e-11,1.0868771201963157e-11,1.0868771201963157e-11,1.0868771201963157e-11
10,837.7879949747113,1.6472308870137926,1.0258055525186736e-11,1.0258055525186736e-11,1.0258055525186736e-11,1.0258055525186736e-11
11,822.9164001887356,1.8005751816165532,9.35513204439914e-12,9.35513204439914e-12,9.35513204439914e-12,9.35513204439914e-12
12,805.5656263644386,1.9827939680123745,8.492747042347308e-12,8.492747042347308e-12,8.492747042347308e-12,8.492747042347308e-12
13,783.256871457526,2.2224936871622756,7.316140985440531e-12,7.316140985440531e-12,7.316140985440531e-12,7.316140985440531e-12
14,758.4695103909143,2.4962949930620897,6.286940816222721e-12,6.286940816222721e-12,6.286940816222721e-12,6.286940816222721e-12
15,733.6809880795391,2.77814138452743,5.50377733407957e-12,5.50377733407957e-12,5.50377733407957e-12,5.50377733407957e-12
16,708.8908488634015,3.067972755313559,4.9696326197124874e-12,4.9696326197124874e-12,4.9696326197124874e-12,4.9696326197124874e-12
17,684.1004760822683,3.3661126328894038,4.746035518018642e-12,4.746035518018642e-12,4.746035518018642e-12,4.746035518018642e-12
18,653.1112285285492,3.753393324301299,4.727922594329149e-12,4.727922594329149e-12,4.727922594329149e-12,4.727922594329149e-12
19,615.9205705120047,4.2379797038361025,4.8850413498785635e-12,4.8850413498785635e-12,4.8850413498785635e-12,4.8850413498785635e-12
20,578.7272043823215,4.752775529501931,4.709687517646987e-12,4.709687517646987e-12,4.709687517646987e-12,4.709687517646987e-12
21,541.5297974405477,5.293982624262083,4.3922934710087215e-12,4.3922934710087215e-12,4.3922934710087215e-12,4.3922934710087215e-12
22,504.3267976709419,5.866525051820845,4.120731463460783e-12,4.120731463460783e-12,4.120731463460783e-12,4.120731463460783e-12
23,467.1182254346348,6.4783499666903825,3.857842252428069e-12,3.857842252428069e-12,3.857842252428069e-12,3.857842252428069e-12
24,429.9018516259439,7.130616001171602,3.5839752581100676e-12,3.5839752581100676e-12,3.5839752581100676e-12,3.5839752581100676e-12
25,392.6748148107893,7.8276962056910495,3.100845182858922e-12,3.100845182858922e-12,3.100845182858922e-12,3.100845182858922e-12
26,355.4364121658684,8.582381437087088,2.490676426736512e-12,2.490676426736512e-12,2.490676426736512e-12,2.490676426736512e-12
27,312.2568471757569,9.510262026437415,1.986194434816728e-12,1.986194434816728e-12,1.986194434816728e-12,1.986194434816728e-12
28,266.2024287155883,10.602168136966553,1.4933985504947752e-12,1.4933985504947752e-12,1.4933985504947752e-12,1.4933985504947752e-12
29,226.40807678064118,11.660990898666412,1.1612037710774385e-12,1.1612037710774385e-12,1.1612037710774385e-12,1.1612037710774385e-12
30,192.52002788560424,12.736811932907898,1.294298205005471e-12,1.294298205005471e-12,1.294298205005471e-12,1.294298205005471e-12
31,163.6614990234374,13.78656633117675,2.111701963353986e-12,2.111701963353986e-12,2.111701963353986e-12,2.111701963353986e-12
32,139.11500549316403,14.787671064298221,3.772304808990739e-12,3.772304808990739e-12,3.772304808990739e-12,3.772304808990739e-12
33,118.25,15.906170270258151,4.279106308014606e-12,4.279106308014606e-12,4.279106308014606e-12,4.279106308014606e-12
34,100.51435089111324,17.24273064490245,3.3774340156447876e-12,3.3774340156447876e-12,3.3774340156447876e-12,3.3774340156447876e-12
