lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-5.497170621782608e-14,-5.497170621782608e-14,-5.497170621782608e-14,-5.497170621782608e-14
1,971.6244310048473,0.36625663400749947,-5.5248500935558776e-14,-5.5248500935558776e-14,-5.5248500935558776e-14,-5.5248500935558776e-14
2,956.7542402749618,0.5001096160252074,-5.6238239083745086e-14,-5.6238239083745086e-14,-5.6238239083745086e-14,-5.6238239083745086e-14
3,941.8841473755075,0.6358236496946832,-5.832128041857466e-14,-5.832128041857466e-14,-5.832128041857466e-14,-5.832128041857466e-14
4,927.0137936180281,0.7737023136984883,-6.307473763055798e-14,-6.307473763055798e-14,-6.307473763055798e-14,-6.307473763055798e-14
5,912.1431877107561,0.9140599557728831,-6.15049571066339e-14,-6.15049571066339e-14,-6.15049571066339e-14,-6.15049571066339e-14
6,897.2725265381572,1.056517394691973,-6.948261923736278e-14,-6.948261923736278e-14,-6.948261923736278e-14,-6.948261923736278e-14
7,882.4015480213002,1.200972749516894,-7.485341378356558e-14,-7.485341378356558e-14,-7.485341378356558e-14,-7.485341378356558e-14
8,867.5303567964003,1.3475120190675405,-7.785295159673424e-14,-7.785295159673424e-14,-7.785295159673424e-14,-7.785295159673424e-14
9,852.6592652163091,1.4962539028284811,-7.29563113196145e-14,-7.29563113196145e-14,-7.29563113196145e-14,-7.29563113196145e-14
10,837.7879949747113,1.6472308870137926,-6.277904543520149e-14,-6.277904543520149e-14,-6.277904543520149e-14,-6.277904543520149e-14
11,822.9164001887356,1.8005751816165532,-6.93555333216e-14,-6.93555333216e-14,-6.93555333216e-14,-6.93555333216e-14
12,805.5656263644386,1.9827939680123745,-6.588015112453367e-14,-6.588015112453367e-14,-6.588015112453367e-14,-6.588015112453367e-14
13,783.256871457526,2.2224936871622756,-6.030952177119853e-14,-6.030952177119853e-14,-6.030952177119853e-14,-6.030952177119853e-14
14,758.4695103909143,2.4962949930620897,-5.4763773284993086e-14,-5.4763773284993086e-14,-5.4763773284993086e-14,-5.4763773284993086e-14
15,733.6809880795391,2.77814138452743,-4.6455587591397463e-14,-4.6455587591397463e-14,-4.6455587591397463e-14,-4.6455587591397463e-14
16,708.8908488634015,3.067972755313559,-4.003285603635558e-14,-4.003285603635558e-14,-4.003285603635558e-14,-4.003285603635558e-14
17,684.1004760822683,3.3661126328894038,-3.526417019589452e-14,-3.526417019589452e-14,-3.526417019589452e-14,-3.526417019589452e-14
18,653.1112285285492,3.753393324301299,-3.1906391132547047e-14,-3.1906391132547047e-14,-3.1906391132547047e-14,-3.1906391132547047e-14
19,615.9205705120047,4.2379797038361025,-2.9766021390365066e-14,-2.9766021390365066e-14,-2.9766021390365066e-14,-2.9766021390365066e-14
20,578.7272043823215,4.752775529501931,-2.8873662918625436e-14,-2.8873662918625436e-14,-2.8873662918625436e-14,-2.8873662918625436e-14
21,541.5297974405477,5.293982624262083,-2.812898261421169e-14,-2.812898261421169e-14,-2.812898261421169e-14,-2.812898261421169e-14
22,504.3267976709419,5.866525051820845,-2.585373878267286e-14,-2.585373878267286e-14,-2.585373878267286e-14,-2.585373878267286e-14
23,467.1182254346348,6.4783499666903825,-2.2817185447026668e-14,-2.2817185447026668e-14,-2.2817185447026668e-14,-2.2817185447026668e-14
24,429.9018516259439,7.130616001171602,-2.0304433583238368e-14,-2.0304433583238368e-14,-2.0304433583238368e-14,-2.0304433583238368e-14
25,392.6748148107893,7.8276962056910495,-1.9436874548769724e-14,-1.9436874548769724e-14,-1.9436874548769724e-14,-1.9436874548769724e-14
26,355.4364121658684,8.582381437087088,-1.9360935775315262e-14,-1.9360935775315262e-14,-1.9360935775315262e-14,-1.9360935775315262e-14
27,312.2568471757569,9.510262026437415,-1.9891117783526765e-14,-1.9891117783526765e-14,-1.9891117783526765e-14,-1.9891117783526765e-14
28,266.2024287155883,10.602168136966553,-2.259196448078064e-14,-2.259196448078064e-14,-2.259196448078064e-14,-2.259196448078064e-14
29,226.40807678064118,11.660990898666412,-2.7882167389857304e-14,-2.7882167389857304e-14,-2.7882167389857304e-14,-2.7882167389857304e-14
30,192.52002788560424,12.736811932907898,-4.215971538285881e-14,-4.215971538285881e-14,-4.215971538285881e-14,-4.215971538285881e-14
31,163.6614990234374,13.78656633117675,-5.99058225304743e-14,-5.99058225304743e-14,-5.99058225304743e-14,-5.99058225304743e-14
