lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,6.339267602066349e-09,6.3392538591397944e-09,6.339267602066349e-09,6.339281344992903e-09
1,971.6244310048473,0.36625663400749947,6.1877063662094755e-09,6.187692554084242e-09,6.1877063662094755e-09,6.1877201783347094e-09
2,956.7542402749618,0.5001096160252074,5.863359850446078e-09,5.863345790886306e-09,5.863359850446078e-09,5.863373910005849e-09
3,941.8841473755075,0.6358236496946832,5.364172372285881e-09,5.364157791965777e-09,5.364172372285881e-09,5.3641869526059855e-09
4,927.0137936180281,0.7737023136984883,4.7278548675155315e-09,4.727839098831124e-09,4.7278548675155315e-09,4.7278706361999386e-09
5,912.1431877107561,0.9140599557728831,3.719699513119544e-09,3.7196841368802676e-09,3.719699513119544e-09,3.719714889358821e-09
6,897.2725265381572,1.056517394691973,2.6746238743639812e-09,2.6746065037091716e-09,2.6746238743639812e-09,2.6746412450187905e-09
7,882.4015480213002,1.200972749516894,1.858737593597722e-09,1.8587188802442759e-09,1.858737593597722e-09,1.8587563069511678e-09
8,867.5303567964003,1.3475120190675405,1.2417637340803603e-09,1.2417442708424612e-09,1.2417637340803603e-09,1.2417831973182594e-09
9,852.6592652163091,1.4962539028284811,8.204322244134335e-10,8.204139853356035e-10,8.204322244134335e-10,8.204504634912634e-10
10,837.7879949747113,1.6472308870137926,5.668506579307481e-10,5.668349631693894e-10,5.668506579307481e-10,5.66866352692107e-10
11,822.9164001887356,1.8005751816165532,4.1583119474264203e-10,4.1581385585931166e-10,4.1583119474264203e-10,4.158485336259724e-10
12,805.5656263644386,1.9827939680123745,3.0204402635390903e-10,3.0202755631612785e-10,3.0204402635390903e-10,3.0206049639169015e-10
13,783.256871457526,2.2224936871622756,2.1186161319547188e-10,2.118465358150291e-10,2.1186161319547188e-10,2.1187669057591466e-10
14,758.4695103909143,2.4962949930620897,1.458825215233422e-10,1.4586883058002095e-10,1.458825215233422e-10,1.4589621246666345e-10
15,733.6809880795391,2.77814138452743,1.0113814514808852e-10,1.0112653125119067e-10,1.0113814514808852e-10,1.0114975904498636e-10
16,708.8908488634015,3.067972755313559,6.90076173867054e-11,6.899760917269632e-11,6.90076173867054e-11,6.90176256007145e-11
17,684.1004760822683,3.3661126328894038,4.5084836933370545e-11,4.507602089082157e-11,4.5084836933370545e-11,4.5093652975919523e-11
18,653.1112285285492,3.753393324301299,2.644771242094565e-11,2.6439735823162512e-11,2.644771242094565e-11,2.6455689018728785e-11
19,615.9205705120047,4.2379797038361025,1.2619492535465044e-11,1.2612051030117454e-11,1.2619492535465044e-11,1.2626934040812636e-11
20,578.7272043823215,4.752775529501931,8.718876738788494e-12,8.711658323058838e-12,8.718876738788494e-12,8.726095154518149e-12
21,541.5297974405477,5.293982624262083,5.493798683840717e-12,5.486766438187165e-12,5.493798683840717e-12,5.5008309294942704e-12
22,504.3267976709419,5.866525051820845,3.918646394127607e-12,3.912182959431939e-12,3.918646394127607e-12,3.9251098288232756e-12
23,467.1182254346348,6.4783499666903825,2.609058054816126e-12,2.6033537584543694e-12,2.609058054816126e-12,2.6147623511778828e-12
24,429.9018516259439,7.130616001171602,1.625357695306325e-12,1.6202815869105152e-12,1.625357695306325e-12,1.6304338037021346e-12
25,392.6748148107893,7.8276962056910495,1.0786517625502575e-12,1.0737925439130651e-12,1.0786517625502575e-12,1.08351098118745e-12
26,355.4364121658684,8.582381437087088,9.773338409022678e-13,9.724936069584389e-13,9.773338409022678e-13,9.821740748460967e-13
27,312.2568471757569,9.510262026437415,7.652038784369066e-13,7.60231098991025e-13,7.652038784369066e-13,7.701766578827882e-13
28,266.2024287155883,10.602168136966553,6.256433585544424e-13,6.199953674342472e-13,6.256433585544424e-13,6.312913496746375e-13
29,226.40807678064118,11.660990898666412,4.750909197643046e-13,4.681203779168402e-13,4.750909197643046e-13,4.820614616117689e-13
30,192.52002788560424,12.736811932907898,4.716981804687723e-13,4.611582516230576e-13,4.716981804687723e-13,4.822381093144871e-13
31,163.6614990234374,13.78656633117675,5.111790371748303e-13,4.962025815422118e-13,5.111790371748303e-13,5.261554928074489e-13
32,139.11500549316403,14.787671064298221,6.290249711544325e-13,6.063684751570431e-13,6.290249711544325e-13,6.516814671518219e-13
33,118.25,15.906170270258151,5.712726201851862e-13,5.562806997226377e-13,5.712726201851862e-13,5.862645406477347e-13
34,100.51435089111324,17.24273064490245,3.5762880037393287e-13,3.553263351200596e-13,3.5762880037393287e-13,3.5993126562780616e-13
35,85.43901824951189,18.813372559902348,2.0901769824091878e-13,2.0814799276594293e-13,2.0901769824091878e-13,2.0988740371589465e-13
36,72.55786132812501,20.65052603534648,1.0316712241368992e-13,1.0306861838362385e-13,1.0316712241368992e-13,1.0326562644375598e-13
37,61.495662689209006,22.74331462627693,4.728857595341377e-14,4.7272542841804093e-14,4.728857595341377e-14,4.730460906502345e-14
38,52.015911102294844,24.86505040859316,2.565249092212007e-14,2.563243452126608e-14,2.565249092212007e-14,2.567254732297406e-14
39,43.90966415405282,27.052485734519244,1.5763891719948683e-14,1.5761162332886497e-14,1.5763891719948683e-14,1.576662110701087e-14
40,36.9927101135254,29.32647120258809,8.033838883433367e-15,8.026850095212035e-15,8.033838883433367e-15,8.0408276716547e-15
41,31.08891105651863,31.748905700260213,3.572481207345327e-15,3.569065007418473e-15,3.572481207345327e-15,3.5758974072721806e-15
42,26.049108505249027,34.31199278898532,1.485686100266394e-15,1.4844667398237216e-15,1.485686100266394e-15,1.4869054607090664e-15
43,21.76100349426269,37.02114906529215,1.0051656713259842e-15,1.0046157704455523e-15,1.0051656713259842e-15,1.005715572206416e-15
44,18.124349594116172,40.00166859906441,6.563408427794293e-16,6.558102433835579e-16,6.563408427794293e-16,6.568714421753006e-16
45,15.05025005340576,43.13537659190267,2.5744163352690126e-16,2.5725322369418237e-16,2.5744163352690126e-16,2.5763004335962015e-16
46,12.460150718688988,46.41231625206779,1.2446651827090812e-16,1.2440819818482476e-16,1.2446651827090812e-16,1.2452483835699149e-16
47,10.284920692443848,49.82768019095182,1.0370896740588266e-16,1.036566812291035e-16,1.0370896740588266e-16,1.0376125358266181e-16
48,8.45639133453367,53.56635280817698,8.498669710419501e-17,8.494815880651321e-17,8.498669710419501e-17,8.50252354018768e-17
49,6.9183211326599094,57.94668908538693,6.072723186711205e-17,6.067531867133411e-17,6.072723186711205e-17,6.077914506288999e-17
50,5.631801128387452,62.66958728955136,4.1458702104966234e-17,4.142620060284314e-17,4.1458702104966234e-17,4.1491203607089326e-17
51,4.561686038970957,67.91525438663359,2.151079705170479e-17,2.1492259515784655e-17,2.151079705170479e-17,2.152933458762492e-17
52,3.6765010356903076,73.3631121633128,1.0355462079663932e-17,1.0341744981900277e-17,1.0355462079663932e-17,1.0369179177427585e-17
53,2.948321104049681,79.34230382171329,6.025866658327436e-18,6.015113121406723e-18,6.025866658327436e-18,6.036620195248148e-18
54,2.352590560913084,86.018857705306,3.873718136896925e-18,3.866011338813927e-18,3.873718136896925e-18,3.881424934979923e-18
55,1.867879986762998,93.22960225320968,2.196089281757254e-18,2.1908861276078887e-18,2.196089281757254e-18,2.201292435906619e-18
56,1.475649952888488,100.60502256166222,9.32152037395481e-19,9.294621051222698e-19,9.32152037395481e-19,9.348419696686922e-19
57,1.159975051879883,107.73082344928824,3.2712184363742444e-19,3.2604675150582404e-19,3.2712184363742444e-19,3.281969357690248e-19
58,0.9072870612144474,113.85502993179693,1.1771456398463651e-19,1.1727528265333832e-19,1.1771456398463651e-19,1.181538453159347e-19
59,0.705956518650055,119.50150429056178,7.392785791890507e-20,7.368219251549588e-20,7.392785791890507e-20,7.417352332231426e-20
60,0.5462926030159002,124.26019209911512,6.164122718749031e-20,6.146252954769444e-20,6.164122718749031e-20,6.181992482728618e-20
61,0.4204235970973968,129.0678850820543,5.2618076728344684e-20,5.247785677583481e-20,5.2618076728344684e-20,5.275829668085456e-20
62,0.3217835724353792,134.07248354606006,4.6803539478271436e-20,4.668514887901255e-20,4.6803539478271436e-20,4.6921930077530316e-20
63,0.24493755400180758,139.49182341933508,3.955719798173317e-20,3.946120028555149e-20,3.955719798173317e-20,3.9653195677914847e-20
64,0.18542200326919586,145.53657974798668,2.9218114157750045e-20,2.915291751238936e-20,2.9218114157750045e-20,2.928331080311073e-20
65,0.13959898054599765,151.93939327345697,2.193072346204153e-20,2.1885092125709558e-20,2.193072346204153e-20,2.19763547983735e-20
66,0.10452400892972945,158.88929696286775,1.3485841013324471e-20,1.3459918728655765e-20,1.3485841013324471e-20,1.3511763297993177e-20
67,0.07767251133918768,165.48256960765983,9.280466001222909e-21,9.264221178626484e-21,9.280466001222909e-21,9.296710823819333e-21
68,0.056792508810758584,171.42659336444058,6.876167876669581e-21,6.865038953167993e-21,6.876167876669581e-21,6.88729680017117e-21
69,0.04014250636100761,177.6333305500759,4.020047344018235e-21,4.0141630074586006e-21,4.020047344018235e-21,4.02593168057787e-21
70,0.02635000087320806,187.62940859763327,1.6238074961813851e-21,1.6216179552769503e-21,1.6238074961813851e-21,1.62599703708582e-21
71,0.014999999664723887,209.86898406193973,3.6317052257796334e-22,3.627064215996992e-22,3.6317052257796334e-22,3.636346235562275e-22
