lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-6.806696676825963e-14,-6.806696676825963e-14,-6.806696676825963e-14,-6.806696676825963e-14
1,971.6244310048473,0.36625663400749947,-6.540886348775863e-14,-6.540886348775863e-14,-6.540886348775863e-14,-6.540886348775863e-14
2,956.7542402749618,0.5001096160252074,-7.033186751409102e-14,-7.033186751409102e-14,-7.033186751409102e-14,-7.033186751409102e-14
3,941.8841473755075,0.6358236496946832,-7.11319204088239e-14,-7.11319204088239e-14,-7.11319204088239e-14,-7.11319204088239e-14
4,927.0137936180281,0.7737023136984883,-4.7814190988514245e-14,-4.7814190988514245e-14,-4.7814190988514245e-14,-4.7814190988514245e-14
5,912.1431877107561,0.9140599557728831,-3.429570659903398e-14,-3.429570659903398e-14,-3.429570659903398e-14,-3.429570659903398e-14
6,897.2725265381572,1.056517394691973,-1.511365933835739e-14,-1.511365933835739e-14,-1.511365933835739e-14,-1.511365933835739e-14
7,882.4015480213002,1.200972749516894,-1.1328402748371803e-14,-1.1328402748371803e-14,-1.1328402748371803e-14,-1.1328402748371803e-14
8,867.5303567964003,1.3475120190675405,-8.563521822468608e-15,-8.563521822468608e-15,-8.563521822468608e-15,-8.563521822468608e-15
9,852.6592652163091,1.4962539028284811,-8.502788748324402e-15,-8.502788748324402e-15,-8.502788748324402e-15,-8.502788748324402e-15
10,837.7879949747113,1.6472308870137926,-7.897095792131758e-15,-7.897095792131758e-15,-7.897095792131758e-15,-7.897095792131758e-15
11,822.9164001887356,1.8005751816165532,-7.46093525336472e-15,-7.46093525336472e-15,-7.46093525336472e-15,-7.46093525336472e-15
12,805.5656263644386,1.9827939680123745,-6.933640451971257e-15,-6.933640451971257e-15,-6.933640451971257e-15,-6.933640451971257e-15
13,783.256871457526,2.2224936871622756,-6.31547380749811e-15,-6.31547380749811e-15,-6.31547380749811e-15,-6.31547380749811e-15
14,758.4695103909143,2.4962949930620897,-5.334074610873589e-15,-5.334074610873589e-15,-5.334074610873589e-15,-5.334074610873589e-15
15,733.6809880795391,2.77814138452743,-4.757141982666259e-15,-4.757141982666259e-15,-4.757141982666259e-15,-4.757141982666259e-15
16,708.8908488634015,3.067972755313559,-4.066881410594227e-15,-4.066881410594227e-15,-4.066881410594227e-15,-4.066881410594227e-15
17,684.1004760822683,3.3661126328894038,-3.535518449241331e-15,-3.535518449241331e-15,-3.535518449241331e-15,-3.535518449241331e-15
18,653.1112285285492,3.753393324301299,-3.3265468578641466e-15,-3.3265468578641466e-15,-3.3265468578641466e-15,-3.3265468578641466e-15
19,615.9205705120047,4.2379797038361025,-3.3285164081667667e-15,-3.3285164081667667e-15,-3.3285164081667667e-15,-3.3285164081667667e-15
20,578.7272043823215,4.752775529501931,-3.620120265213741e-15,-3.620120265213741e-15,-3.620120265213741e-15,-3.620120265213741e-15
21,541.5297974405477,5.293982624262083,-4.106695865804394e-15,-4.106695865804394e-15,-4.106695865804394e-15,-4.106695865804394e-15
22,504.3267976709419,5.866525051820845,-4.664522555149448e-15,-4.664522555149448e-15,-4.664522555149448e-15,-4.664522555149448e-15
23,467.1182254346348,6.4783499666903825,-5.056555533942916e-15,-5.056555533942916e-15,-5.056555533942916e-15,-5.056555533942916e-15
