lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.004537874433391e-09,4.004520857691698e-09,4.004537874433391e-09,4.004554891175083e-09
1,971.6244310048473,0.36625663400749947,3.821000043322825e-09,3.820983691106953e-09,3.821000043322825e-09,3.8210163955386975e-09
2,956.7542402749618,0.5001096160252074,3.487248369152724e-09,3.487230786185846e-09,3.487248369152724e-09,3.487265952119603e-09
3,941.8841473755075,0.6358236496946832,2.932677875603884e-09,2.932660092623782e-09,2.932677875603884e-09,2.932695658583986e-09
4,927.0137936180281,0.7737023136984883,2.0936503138340537e-09,2.0936383602863066e-09,2.0936503138340537e-09,2.093662267381801e-09
5,912.1431877107561,0.9140599557728831,1.1595603469976386e-09,1.1595517730709887e-09,1.1595603469976386e-09,1.1595689209242884e-09
6,897.2725265381572,1.056517394691973,4.999083729602055e-10,4.999045945453709e-10,4.999083729602055e-10,4.999121513750401e-10
7,882.4015480213002,1.200972749516894,1.8483320099750158e-10,1.848303688968145e-10,1.8483320099750158e-10,1.8483603309818867e-10
8,867.5303567964003,1.3475120190675405,9.560581624841568e-11,9.560367536796007e-11,9.560581624841568e-11,9.560795712887131e-11
9,852.6592652163091,1.4962539028284811,7.030324415649318e-11,7.030111845930609e-11,7.030324415649318e-11,7.030536985368026e-11
10,837.7879949747113,1.6472308870137926,5.6943915662717413e-11,5.6941941388769384e-11,5.6943915662717413e-11,5.694588993666544e-11
11,822.9164001887356,1.8005751816165532,4.927482746630953e-11,4.927296223249619e-11,4.927482746630953e-11,4.9276692700122866e-11
12,805.5656263644386,1.9827939680123745,4.291322336499535e-11,4.2911489954882355e-11,4.291322336499535e-11,4.291495677510834e-11
13,783.256871457526,2.2224936871622756,3.5900622399262295e-11,3.589904353081042e-11,3.5900622399262295e-11,3.590220126771417e-11
14,758.4695103909143,2.4962949930620897,2.938609818943303e-11,2.938476467078032e-11,2.938609818943303e-11,2.938743170808575e-11
15,733.6809880795391,2.77814138452743,2.2928531758154313e-11,2.292734247265865e-11,2.2928531758154313e-11,2.292972104364998e-11
16,708.8908488634015,3.067972755313559,1.5019902274117744e-11,1.5018885553765095e-11,1.5019902274117744e-11,1.5020918994470392e-11
