lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-1.6538291841077044e-14,-1.6538291841077044e-14,-1.6538291841077044e-14,-1.6538291841077044e-14
1,971.6244310048473,0.36625663400749947,-1.7144082037727368e-14,-1.7144082037727368e-14,-1.7144082037727368e-14,-1.7144082037727368e-14
2,956.7542402749618,0.5001096160252074,-1.688134600455103e-14,-1.688134600455103e-14,-1.688134600455103e-14,-1.688134600455103e-14
3,941.8841473755075,0.6358236496946832,-1.6998922030882663e-14,-1.6998922030882663e-14,-1.6998922030882663e-14,-1.6998922030882663e-14
4,927.0137936180281,0.7737023136984883,-1.4573971333176078e-14,-1.4573971333176078e-14,-1.4573971333176078e-14,-1.4573971333176078e-14
5,912.1431877107561,0.9140599557728831,-9.946100396038309e-15,-9.946100396038309e-15,-9.946100396038309e-15,-9.946100396038309e-15
6,897.2725265381572,1.056517394691973,-6.297564278325115e-15,-6.297564278325115e-15,-6.297564278325115e-15,-6.297564278325115e-15
7,882.4015480213002,1.200972749516894,-5.0038447586393976e-15,-5.0038447586393976e-15,-5.0038447586393976e-15,-5.0038447586393976e-15
8,867.5303567964003,1.3475120190675405,-4.011081962117001e-15,-4.011081962117001e-15,-4.011081962117001e-15,-4.011081962117001e-15
9,852.6592652163091,1.4962539028284811,-2.703532196338037e-15,-2.703532196338037e-15,-2.703532196338037e-15,-2.703532196338037e-15
10,837.7879949747113,1.6472308870137926,-4.162872252105902e-15,-4.162872252105902e-15,-4.162872252105902e-15,-4.162872252105902e-15
11,822.9164001887356,1.8005751816165532,-5.759540040149183e-15,-5.759540040149183e-15,-5.759540040149183e-15,-5.759540040149183e-15
12,805.5656263644386,1.9827939680123745,-6.984948097343698e-15,-6.984948097343698e-15,-6.984948097343698e-15,-6.984948097343698e-15
13,783.256871457526,2.2224936871622756,-7.50006829853221e-15,-7.50006829853221e-15,-7.50006829853221e-15,-7.50006829853221e-15
14,758.4695103909143,2.4962949930620897,-8.369914775695684e-15,-8.369914775695684e-15,-8.369914775695684e-15,-8.369914775695684e-15
15,733.6809880795391,2.77814138452743,-7.949800020661004e-15,-7.949800020661004e-15,-7.949800020661004e-15,-7.949800020661004e-15
16,708.8908488634015,3.067972755313559,-7.923576993772933e-15,-7.923576993772933e-15,-7.923576993772933e-15,-7.923576993772933e-15
17,684.1004760822683,3.3661126328894038,-8.232925690608901e-15,-8.232925690608901e-15,-8.232925690608901e-15,-8.232925690608901e-15
18,653.1112285285492,3.753393324301299,-8.400739044236209e-15,-8.400739044236209e-15,-8.400739044236209e-15,-8.400739044236209e-15
19,615.9205705120047,4.2379797038361025,-7.501985184615296e-15,-7.501985184615296e-15,-7.501985184615296e-15,-7.501985184615296e-15
20,578.7272043823215,4.752775529501931,-6.3087612158229935e-15,-6.3087612158229935e-15,-6.3087612158229935e-15,-6.3087612158229935e-15
21,541.5297974405477,5.293982624262083,-5.537708483243951e-15,-5.537708483243951e-15,-5.537708483243951e-15,-5.537708483243951e-15
22,504.3267976709419,5.866525051820845,-5.001160174675082e-15,-5.001160174675082e-15,-5.001160174675082e-15,-5.001160174675082e-15
23,467.1182254346348,6.4783499666903825,-5.0863986767205145e-15,-5.0863986767205145e-15,-5.0863986767205145e-15,-5.0863986767205145e-15
24,429.9018516259439,7.130616001171602,-5.572199005063386e-15,-5.572199005063386e-15,-5.572199005063386e-15,-5.572199005063386e-15
25,392.6748148107893,7.8276962056910495,-6.444800102885097e-15,-6.444800102885097e-15,-6.444800102885097e-15,-6.444800102885097e-15
26,355.4364121658684,8.582381437087088,-6.0355604874100005e-15,-6.0355604874100005e-15,-6.0355604874100005e-15,-6.0355604874100005e-15
27,312.2568471757569,9.510262026437415,-4.878277668168293e-15,-4.878277668168293e-15,-4.878277668168293e-15,-4.878277668168293e-15
28,266.2024287155883,10.602168136966553,-4.0555493011291064e-15,-4.0555493011291064e-15,-4.0555493011291064e-15,-4.0555493011291064e-15
29,226.40807678064118,11.660990898666412,-4.122224889393127e-15,-4.122224889393127e-15,-4.122224889393127e-15,-4.122224889393127e-15
30,192.52002788560424,12.736811932907898,-4.452278528054304e-15,-4.452278528054304e-15,-4.452278528054304e-15,-4.452278528054304e-15
31,163.6614990234374,13.78656633117675,-6.495976502339193e-15,-6.495976502339193e-15,-6.495976502339193e-15,-6.495976502339193e-15
32,139.11500549316403,14.787671064298221,-1.0917414063504885e-14,-1.0917414063504885e-14,-1.0917414063504885e-14,-1.0917414063504885e-14
33,118.25,15.906170270258151,-1.1153155281565689e-14,-1.1153155281565689e-14,-1.1153155281565689e-14,-1.1153155281565689e-14
34,100.51435089111324,17.24273064490245,-7.18779520673663e-15,-7.18779520673663e-15,-7.18779520673663e-15,-7.18779520673663e-15
35,85.43901824951189,18.813372559902348,-2.2812876470448364e-15,-2.2812876470448364e-15,-2.2812876470448364e-15,-2.2812876470448364e-15
36,72.55786132812501,20.65052603534648,-8.856595054899406e-17,-8.856595054899406e-17,-8.856595054899406e-17,-8.856595054899406e-17
