lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.6694140677101944e-09,1.669409933137234e-09,1.6694140677101944e-09,1.6694182022831546e-09
1,971.6244310048473,0.36625663400749947,1.6254215175859117e-09,1.6254172315654023e-09,1.6254215175859117e-09,1.6254258036064212e-09
2,956.7542402749618,0.5001096160252074,1.581626843594068e-09,1.581622623257567e-09,1.581626843594068e-09,1.5816310639305691e-09
3,941.8841473755075,0.6358236496946832,1.4108586075742085e-09,1.4108543578437007e-09,1.4108586075742085e-09,1.410862857304716e-09
4,927.0137936180281,0.7737023136984883,1.0718728596146931e-09,1.0718692161218598e-09,1.0718728596146931e-09,1.0718765031075264e-09
5,912.1431877107561,0.9140599557728831,7.505909349575647e-10,7.505884484324658e-10,7.505909349575647e-10,7.505934214826637e-10
6,897.2725265381572,1.056517394691973,5.147289812212019e-10,5.147274068301324e-10,5.147289812212019e-10,5.147305556122715e-10
7,882.4015480213002,1.200972749516894,2.8596523535035273e-10,2.8596398438916303e-10,2.8596523535035273e-10,2.859664863115424e-10
8,867.5303567964003,1.3475120190675405,1.8091339698325891e-10,1.8091239421276838e-10,1.8091339698325891e-10,1.8091439975374942e-10
9,852.6592652163091,1.4962539028284811,1.3252672036407473e-10,1.3252604448102566e-10,1.3252672036407473e-10,1.325273962471238e-10
10,837.7879949747113,1.6472308870137926,1.0353806172426585e-10,1.0353702100620283e-10,1.0353806172426585e-10,1.0353910244232888e-10
11,822.9164001887356,1.8005751816165532,8.132552370358101e-11,8.132408381857096e-11,8.132552370358101e-11,8.132696358859104e-11
12,805.5656263644386,1.9827939680123745,6.312985287806505e-11,6.312810664104073e-11,6.312985287806505e-11,6.313159911508939e-11
13,783.256871457526,2.2224936871622756,4.304163660319946e-11,4.3039761586124826e-11,4.304163660319946e-11,4.304351162027409e-11
14,758.4695103909143,2.4962949930620897,2.7991356492464274e-11,2.798926401377035e-11,2.7991356492464274e-11,2.7993448971158198e-11
15,733.6809880795391,2.77814138452743,1.9492285128419492e-11,1.9490297678414327e-11,1.9492285128419492e-11,1.9494272578424658e-11
16,708.8908488634015,3.067972755313559,1.3912979504064857e-11,1.3910998609816414e-11,1.3912979504064857e-11,1.39149603983133e-11
17,684.1004760822683,3.3661126328894038,9.80154782924337e-12,9.799489597820717e-12,9.80154782924337e-12,9.803606060666022e-12
18,653.1112285285492,3.753393324301299,6.985679801199448e-12,6.983579616438389e-12,6.985679801199448e-12,6.987779985960507e-12
19,615.9205705120047,4.2379797038361025,4.832621908270991e-12,4.8307464119748366e-12,4.832621908270991e-12,4.834497404567145e-12
